 	dans	notre	parcelle	il	y	a	des	fleurs	</S>
e	0.59589	0.161934	0.0976593	0.0433802	0.0599041	0.0230894	0.0142654	0.00140289	0.00247462
f	0.0966947	0.0449754	0.635689	0.0168025	0.0212127	0.024955	0.018502	0.134058	0.00711078
u	0.0279011	0.0272483	0.766806	0.0842765	0.0370262	0.0188261	0.00460776	0.0231769	0.0101309
n	0.0266517	0.00782189	0.892552	0.0105446	0.00880506	0.00790475	0.00595964	0.0164943	0.0232665
d	0.0505611	0.0181641	0.809475	0.0302496	0.0179365	0.0182548	0.018367	0.0182591	0.0187327
u	0.209454	0.0516996	0.490948	0.0111549	0.0120286	0.0129421	0.0190927	0.113577	0.0791024
y	0.100862	0.0434251	0.443924	0.194074	0.126431	0.0393786	0.023504	0.00369561	0.0247055
á	0.473381	0.135858	0.206073	0.0657888	0.052308	0.0170127	0.0196497	0.00442601	0.0255031
b	0.196751	0.608813	0.0662706	0.0637833	0.0344508	0.0121805	0.0097957	0.00354706	0.00440766
í	0.081304	0.872894	0.0148263	0.0167308	0.00531618	0.00501967	0.00168693	0.00137047	0.000851628
s	0.0310318	0.940729	0.00333798	0.019038	0.00237513	0.00212907	0.000673342	9.49274e-05	0.000591265
í	0.108086	0.271306	0.0746636	0.160877	0.0292381	0.130851	0.0454795	0.00748435	0.172016
é	0.00349024	0.00522356	0.0255784	0.237892	0.258314	0.258294	0.149566	0.0101683	0.0514736
d	0.0100531	0.0046966	0.0224814	0.0537962	0.13801	0.372017	0.307691	0.027413	0.0638423
í	0.0119722	0.00286341	0.00191322	0.00409566	0.0183986	0.133619	0.333465	0.0406814	0.452992
l	0.0122629	0.0104865	0.00334127	0.02152	0.113768	0.148881	0.353215	0.084668	0.251858
a	0.0214986	0.00925057	0.0113853	0.0281758	0.0366527	0.132909	0.173448	0.106534	0.480147
f	0.00870204	0.0118784	0.00372168	0.00514875	0.0225389	0.040734	0.0602538	0.729603	0.11742
u	0.00415881	0.013072	0.00754583	0.0116308	0.0306914	0.0576774	0.0634875	0.737089	0.0746476
l	0.00381923	0.00345079	0.00453461	0.0072009	0.0880456	0.0447179	0.0489456	0.604818	0.194468
a	0.00406731	0.00102755	0.00566084	0.00638416	0.0398988	0.0702883	0.151174	0.506177	0.215322
</S>	0.00278396	0.00163032	0.00267656	0.00520814	0.0325152	0.0417561	0.155295	0.103133	0.655002
