 	approche-moi	cette	assiette	</S>
t	0.950128	0.0374188	0.0123406	0.000112759
í	0.9736	0.00759237	0.0182107	0.000596606
n	0.80584	0.0398391	0.00498792	0.149332
d	0.975479	0.0150566	0.00322024	0.00624386
z	0.93519	0.0128495	0.00183394	0.0501261
á	0.941537	0.0397374	0.00307255	0.015653
s	0.0887461	0.829703	0.0261515	0.0553992
a	0.122687	0.36206	0.492245	0.0230075
á	0.00583894	0.846489	0.0456255	0.102047
n	0.0167262	0.125398	0.396611	0.461265
i	0.0186604	0.34683	0.591002	0.0435077
d	0.0104251	0.324276	0.0675479	0.597751
í	0.00312668	0.0843438	0.0302251	0.882304
i	0.00120072	0.158079	0.00793155	0.832789
l	0.00805637	0.122703	0.0548762	0.814365
a	0.00563886	0.0616245	0.0173626	0.915374
w	0.00157424	0.186886	0.0116582	0.799882
á	0.00500672	0.470445	0.041016	0.483533
r	0.00654809	0.177845	0.0274389	0.788168
é	0.0515944	0.315726	0.221699	0.41098
</S>	0.0010053	0.0321628	0.00692262	0.959909
