 	j'	ai	besoin	d'	un	guide	</S>
n	0.825603	0.10979	0.0210348	0.0210965	0.020043	0.000714577	0.00171759
g	0.961557	0.0373586	6.0195e-05	0.000571496	0.000394565	3.13382e-05	2.63033e-05
á	0.882081	0.113264	0.00148029	0.00142491	0.00135514	0.000289878	0.000104982
í	0.28646	0.549689	0.0380758	0.0342592	0.0315749	0.00864768	0.0512932
m	0.078204	0.416264	0.443985	0.0192246	0.00849364	0.0124825	0.0213467
i	0.00262052	0.230923	0.655481	0.0463478	0.0233406	0.00304163	0.0382452
k	0.00173567	0.0649293	0.915954	0.00976482	0.00161811	0.000885587	0.00511264
á	0.000113093	0.00956033	0.984802	0.00254677	0.000527032	0.00129635	0.00115409
m	0.00117884	0.0382291	0.865787	0.0479913	0.0232846	0.00643878	0.0170907
b	0.0116649	0.0928306	0.363371	0.323453	0.120675	0.000811454	0.0871946
á	0.0115826	0.0520654	0.472773	0.257566	0.0881008	0.000553586	0.117359
o	0.0211013	0.108133	0.0288979	0.513399	0.311814	0.00642597	0.0102283
l	0.000835823	0.0259493	0.294423	0.335657	0.0965278	0.237434	0.00917258
a	0.00080315	0.0363204	0.191502	0.169739	0.0916342	0.482715	0.0272867
a	0.00133388	0.0741542	0.128149	0.371904	0.204442	0.0980731	0.121945
s	0.00203343	0.0219815	0.00912746	0.406739	0.439277	0.0536629	0.0671783
i	0.00335428	0.0212134	0.0196849	0.126421	0.138676	0.267848	0.422803
n	0.00367433	0.0231786	0.00135661	0.124396	0.456022	0.204006	0.187366
g	0.216655	0.0430781	0.0031457	0.119716	0.387084	0.0833267	0.146994
á	0.0827456	0.0305241	0.00178654	0.115302	0.353038	0.204213	0.21239
k	0.00117868	0.00619072	0.0051648	0.0871956	0.472678	0.175996	0.251597
ó	0.00103772	0.001426	0.010357	0.0307135	0.153636	0.72197	0.0808596
o	0.000272366	0.00106586	0.00726777	0.0307354	0.127269	0.49482	0.33857
</S>	0.00020172	0.00346008	0.00600246	0.0284805	0.105174	0.147944	0.708737
