 	si	tu	attends	encore	un	peu	il	va	venir	</S>
w	0.871248	0.107713	0.0118218	0.000486494	0.0020348	0.00261944	0.00207797	0.00128839	0.000586648	0.000123632
á	0.800077	0.14865	0.0362253	0.0019304	0.00186531	0.00478091	0.00280784	0.00119128	0.00243052	4.11996e-05
á	0.204487	0.235748	0.257197	0.0388309	0.0327108	0.0161911	0.0414455	0.0447623	0.0405144	0.0881132
n	0.0910623	0.295974	0.484182	0.0361177	0.00765543	0.00727554	0.00595263	0.0109722	0.0195883	0.04122
ω	0.0981663	0.459564	0.107132	0.0345338	0.00986546	0.0191949	0.0246493	0.0335822	0.11267	0.100642
o	0.0230446	0.251023	0.423584	0.129892	0.00866308	0.0115914	0.0124795	0.0209658	0.0411366	0.0776191
b	0.00306538	0.0110161	0.579251	0.340737	0.0491703	0.00382434	0.00332695	0.00137525	0.000512506	0.00772101
ó	0.00106947	0.00170205	0.768956	0.152372	0.0513836	0.00511128	0.00628682	0.00136427	0.00121607	0.0105384
n	0.00219913	0.0182369	0.377761	0.281061	0.105889	0.0174351	0.0135905	0.0103914	0.0161678	0.157268
d	0.0216434	0.0379116	0.439153	0.258589	0.0706231	0.0166728	0.0212808	0.0075402	0.00586764	0.120718
í	0.0572494	0.0823566	0.328921	0.258323	0.0644352	0.0263732	0.0442826	0.0156672	0.00928505	0.113107
í	0.041337	0.459787	0.0269201	0.183529	0.0955167	0.0787051	0.0507592	0.0363095	0.0101224	0.0170133
y	0.00156	0.0248764	0.0320341	0.645202	0.221276	0.0273307	0.0131822	0.0116886	0.0116617	0.0111882
a	0.000527371	0.0487008	0.0171923	0.431431	0.27326	0.0770087	0.0339458	0.0248888	0.0173484	0.0756972
a	0.00054068	0.014996	0.0176594	0.175574	0.485463	0.112608	0.0415144	0.0179365	0.00731354	0.126394
m	0.00148963	0.0406574	0.0033799	0.0684031	0.222625	0.398265	0.127503	0.0946543	0.0228812	0.0201426
o	0.00165839	0.00128329	0.00102229	0.00865606	0.115958	0.306202	0.308059	0.111852	0.00484912	0.140459
r	0.000274942	0.000487767	0.00196102	0.0180587	0.19072	0.221495	0.219046	0.254032	0.0375926	0.0563311
é	0.00048185	0.00260187	0.0106501	0.0235956	0.11274	0.328513	0.237624	0.156002	0.0624513	0.06534
w	0.000219729	0.00474006	0.000925142	0.0231104	0.0608998	0.194993	0.185203	0.357571	0.085888	0.0864495
a	0.00279383	0.00492247	0.00444337	0.0151836	0.197308	0.266739	0.262095	0.175328	0.0404467	0.0307394
l	0.000497589	0.00300026	0.00036237	0.00326056	0.0388553	0.143635	0.214957	0.343404	0.133231	0.118796
á	0.00132894	0.0105076	0.00421352	0.0231243	0.0678618	0.0650865	0.0944121	0.0907242	0.18837	0.454371
a	0.00133274	0.00568141	0.00264129	0.0058491	0.0225492	0.0710298	0.112388	0.263815	0.3105	0.204213
y	0.000344211	0.0024046	0.00927561	0.0238553	0.0500902	0.0202989	0.0358572	0.111812	0.470522	0.275539
a	0.000135638	0.00123952	0.0117301	0.0141682	0.0624543	0.122336	0.0764922	0.165645	0.213498	0.3323
a	5.48087e-05	0.000244589	0.00106905	0.00361525	0.0506971	0.0933865	0.108388	0.110033	0.0208571	0.611655
</S>	0.000132821	0.00115079	0.000298329	0.00210289	0.0109389	0.0359208	0.0398993	0.0839596	0.187979	0.637617
