 	qui	va	mettre	cette	marmite	au	feu	</S>
o	0.590132	0.19153	0.12217	0.0195913	0.0569196	0.0180011	0.000842653	0.00081381
k	0.0419615	0.285252	0.0978829	0.0397134	0.511574	0.00301086	0.00489776	0.0157071
a	0.0470616	0.181307	0.138264	0.0573074	0.482733	0.0188832	0.00447598	0.0699679
n	0.0253553	0.457427	0.279374	0.0437851	0.152838	0.0199172	0.00241847	0.0188846
i	0.479501	0.113301	0.128405	0.0761516	0.148126	0.0121195	0.00250991	0.0398863
n	0.410968	0.104126	0.194067	0.107076	0.0590821	0.103769	0.00384521	0.0170664
d	0.0334093	0.0162442	0.0698195	0.263737	0.309222	0.0394728	0.0300557	0.238039
z	0.00861263	0.00596661	0.0122412	0.187775	0.606198	0.0426001	0.0528007	0.0838052
ú	0.00162237	0.00121881	0.00185089	0.0700835	0.889442	0.00811568	0.0114908	0.0161758
n	0.00882566	0.00207565	0.00507846	0.0788529	0.620295	0.216053	0.0157338	0.0530861
g	0.00922535	0.00201404	0.0222299	0.371614	0.449852	0.084658	0.0218197	0.0385879
u	0.0106186	0.00284883	0.0307171	0.35465	0.444722	0.117278	0.0177221	0.0214435
y	0.00736781	0.00452317	0.0508428	0.349233	0.0481614	0.376222	0.0331445	0.130505
é	0.051769	0.00663149	0.0101123	0.130843	0.046857	0.601595	0.10149	0.0507031
ó	0.0135372	0.00420148	0.0236949	0.0826562	0.027143	0.744897	0.0576364	0.0462335
m	0.017479	0.027621	0.0562039	0.138952	0.027772	0.394198	0.168571	0.169203
í	0.00379897	0.0112755	0.00763948	0.0423878	0.00158147	0.107911	0.751932	0.0734734
á	0.0111893	0.00756711	0.0206325	0.101035	0.00328065	0.299156	0.101167	0.455972
n	0.00736752	0.00563905	0.0121962	0.0546972	0.0101012	0.206886	0.0873373	0.615775
d	0.00987248	0.00110034	0.00460963	0.102694	0.035524	0.168265	0.306196	0.371739
a	0.0021821	0.000772273	0.00106118	0.0449372	0.159149	0.0773768	0.151309	0.563213
</S>	0.000467163	0.000158956	0.00132343	0.034423	0.0201428	0.0799843	0.00834234	0.855158
