 	hier	je	n'	ai	pas	pu	dormir	à	cause	des	moucherons	</S>
n	0.647794	0.0738689	0.0277593	0.00469301	0.0174973	0.0314936	0.098311	0.0287136	0.0190328	0.0358963	0.0145219	0.00041809
g	0.130324	0.843349	0.00861452	0.00367854	0.00366747	0.0050576	0.00172741	0.00216384	0.00043853	0.000593401	0.000362054	2.36074e-05
á	0.0695894	0.903288	0.00802163	0.00374851	0.00246141	0.00705964	0.00234828	0.00183514	0.000586822	0.000580849	0.000357837	0.000123005
l	0.526068	0.108304	0.0871143	0.040806	0.0225945	0.0244945	0.0116746	0.0357199	0.0225719	0.0527621	0.0275548	0.040336
a	0.139738	0.286012	0.0767356	0.0828209	0.0231046	0.0221239	0.0192398	0.0587344	0.0480114	0.0907144	0.0136921	0.139073
p	0.441645	0.0843508	0.141103	0.0211815	0.0197065	0.0242355	0.011746	0.0625694	0.0214195	0.0322337	0.0571605	0.0826484
ó	0.527017	0.00941559	0.134809	0.00765659	0.00822846	0.0403589	0.052667	0.0298106	0.0600905	0.00774804	0.0827983	0.0393995
a	0.700601	0.0341292	0.152813	0.012547	0.0145347	0.021496	0.0116732	0.0131126	0.0125611	0.00628871	0.00640539	0.0138384
í	0.0233239	0.0836366	0.335905	0.201055	0.219926	0.0537755	0.0347371	0.0225649	0.00991218	0.00739144	0.000805006	0.00696727
k	0.010597	0.0480977	0.178977	0.213462	0.219023	0.180042	0.0684015	0.0364158	0.0264823	0.0082574	0.00259589	0.00764874
á	0.00571552	0.0122246	0.0671009	0.123238	0.178413	0.22645	0.234732	0.0499494	0.0644821	0.0148958	0.00858163	0.0142178
m	0.0122973	0.0118541	0.0670936	0.172047	0.172571	0.158419	0.133731	0.0333294	0.0754963	0.0225118	0.00902984	0.131621
b	0.00153128	0.0173288	0.060662	0.0883255	0.137388	0.195725	0.0933071	0.183501	0.0703436	0.0335743	0.0229685	0.0953455
i	0.00559753	0.00245309	0.022302	0.0204521	0.0340162	0.134705	0.155772	0.0809852	0.0936934	0.0393886	0.0537643	0.356871
f	0.00274776	0.00760711	0.0556516	0.0619595	0.0881334	0.0822314	0.210468	0.217576	0.122763	0.051207	0.0192153	0.0804407
u	0.00181405	0.00401423	0.0250628	0.0221965	0.0334262	0.0692217	0.172416	0.106417	0.129973	0.034917	0.185482	0.21506
l	0.00162625	0.00131564	0.0208812	0.0255867	0.0697294	0.111479	0.107413	0.1204	0.142511	0.0262595	0.184677	0.188121
u	0.000549455	0.000639322	0.0138762	0.0473988	0.177222	0.148931	0.189271	0.0969999	0.0763596	0.0809709	0.120262	0.0475208
m	0.000243457	0.00165552	0.0115643	0.0666859	0.111242	0.0265134	0.0814717	0.121558	0.149103	0.259371	0.044212	0.12638
í	0.00115553	0.0014103	0.0127384	0.0334299	0.0437178	0.0163404	0.0204206	0.176776	0.117965	0.0965565	0.087094	0.392395
d	0.00155165	0.00287191	0.00636687	0.0190716	0.060171	0.0155171	0.0601112	0.147457	0.136847	0.110139	0.328383	0.111513
z	0.00308725	0.00311784	0.010993	0.0371315	0.0439343	0.0179613	0.0186237	0.103586	0.106738	0.0672648	0.0727068	0.514856
ó	0.01069	0.00300441	0.0281711	0.0331908	0.0680961	0.0500168	0.00964987	0.131277	0.10385	0.0510406	0.124727	0.386286
</S>	0.00165591	0.000330202	0.00910548	0.0240043	0.0473049	0.0728402	0.0482233	0.0663143	0.136361	0.0395167	0.206547	0.347797
