 	la	cola	se	fend	sous	l'	effet	du	soleil	</S>
i	0.471039	0.498649	0.0258694	0.000638092	0.00193955	0.00118805	1.23441e-05	0.000608673	3.20926e-05	2.38255e-05
b	0.0422703	0.942179	0.0135861	0.000795295	0.000460127	0.000110288	0.000142904	0.000236361	8.7475e-05	0.000131901
e	0.0126481	0.947369	0.0326406	0.00127521	0.00185238	0.000229528	0.00193657	0.000574831	0.000366621	0.00110685
s	0.0754196	0.825169	0.0648912	0.00564303	0.0127954	0.00216466	0.00255595	0.000537746	0.000464444	0.0103594
í	0.144433	0.435591	0.0778621	0.0147514	0.0195912	0.0256139	0.0360345	0.0127819	0.00212818	0.231213
l	0.203131	0.0142611	0.589965	0.105552	0.0216939	0.0105054	0.00671992	0.00525247	0.000325217	0.0425948
í	0.115601	0.00297729	0.316183	0.191872	0.0334594	0.0417403	0.0222505	0.0397529	0.00236144	0.233802
i	0.195123	0.00401553	0.366914	0.152132	0.136689	0.0634639	0.00903046	0.0293591	0.00747842	0.0357946
y	0.0047725	0.00593079	0.0766744	0.77309	0.085102	0.00440867	0.0253846	0.00188757	0.000996366	0.0217527
á	0.00550605	0.00484662	0.0248483	0.675141	0.242351	0.00889572	0.0107076	0.00132232	0.00161572	0.0247664
m	0.00276552	0.000156851	0.0130841	0.656012	0.205057	0.00964788	0.0195479	0.0049643	0.00177475	0.0869899
á	0.0293086	0.00197045	0.0351752	0.165374	0.147692	0.315782	0.0756393	0.0264306	0.186339	0.0162882
m	0.00479861	0.000902493	0.0157905	0.100226	0.3225	0.410801	0.0263784	0.0570198	0.0519088	0.0096745
á	0.00113726	0.0028017	0.00150794	0.0133123	0.0364568	0.111543	0.356478	0.0148833	0.437258	0.0246219
m	0.00720837	0.00130457	0.00720907	0.0106034	0.0416273	0.306077	0.118137	0.0513766	0.444068	0.0123888
w	0.000802981	0.000985346	0.000497002	0.00137587	0.0050786	0.0461391	0.331894	0.0119821	0.590437	0.0108078
é	0.00039647	0.00139865	0.000308551	0.000845766	0.0126764	0.0145729	0.02489	0.00171262	0.941366	0.00183279
s	0.0276571	0.00248239	0.00740435	0.010592	0.0496553	0.371985	0.198719	0.145303	0.164958	0.0212434
é	0.0065751	0.00482151	0.00125066	0.00446641	0.037534	0.177651	0.0356166	0.0467161	0.654948	0.0304203
</S>	0.0022942	0.000154258	0.00750541	0.0222652	0.0192304	0.0913963	0.205531	0.249249	0.0275299	0.374845
