 	le	panier	qu'	il	a	fabriqué	pour	transporter	du	poisson	n'	est	pas	solide	</S>
e	0.420475	0.457536	0.0841752	0.011706	0.0081094	0.00395839	0.00172155	0.00223469	0.0019318	0.00288892	0.000634808	0.00224375	0.00192669	0.000437661	2.09111e-05
b	0.12065	0.845479	0.00990803	0.00197482	0.00122195	0.000921329	0.00107793	0.00229849	0.000749083	0.000643678	0.0016007	0.00315681	0.00147846	0.00746867	0.00137051
v	0.0211621	0.945681	0.00942336	0.00296507	0.00160055	0.00763887	0.000479318	0.00140992	0.00190982	0.00430965	0.000971518	0.000460723	0.000225553	0.0010187	0.000743773
ε	0.0431945	0.920049	0.0100817	0.00350213	0.00365891	0.00710098	0.000700992	0.00695356	0.00161423	0.000914052	0.00039293	0.000340715	0.00016855	0.000341613	0.000985813
έ	0.282613	0.560867	0.111446	0.0103789	0.00728365	0.00699006	0.00346788	0.00347034	0.00332142	0.00111658	0.000627346	0.000839897	0.000708234	0.000381689	0.00648807
y	0.0963704	0.0395539	0.419565	0.20866	0.123555	0.00970095	0.0232647	0.00376631	0.00640893	0.00360068	0.00501752	0.00827055	0.00756919	0.00138114	0.0433153
é	0.182257	0.0672548	0.369674	0.168592	0.108738	0.0242313	0.0206785	0.0070321	0.0118168	0.006219	0.00357726	0.00358095	0.00573493	0.00154873	0.0190646
é	0.0667026	0.0151416	0.452335	0.253994	0.125435	0.0260154	0.01284	0.00963552	0.00806413	0.00365719	0.00153668	0.00201415	0.00336642	0.00101393	0.0182483
t	0.0314788	0.0100899	0.0582466	0.31591	0.228539	0.0999106	0.098122	0.0710464	0.0159527	0.00667893	0.0126167	0.0139287	0.00945504	0.012933	0.0150921
ó	0.00679935	0.0243026	0.044467	0.221622	0.154005	0.248657	0.135889	0.0821694	0.0216789	0.0053646	0.0103471	0.00747286	0.00515428	0.0105333	0.0215371
n	0.0189457	0.0381223	0.0674221	0.181713	0.254775	0.244897	0.0614038	0.0691757	0.018215	0.0023658	0.00680183	0.00679187	0.00488096	0.00555836	0.0189319
g	0.0324215	0.0220975	0.0784438	0.159631	0.149606	0.219703	0.142758	0.0777356	0.0212392	0.0076746	0.0101952	0.0112982	0.00652926	0.0105709	0.050096
í	0.064025	0.0407138	0.0703744	0.0715873	0.0902896	0.468616	0.056634	0.0906716	0.0155857	0.00412268	0.00137672	0.00227992	0.00189873	0.00140174	0.0204228
w	0.00844471	0.00185461	0.0677109	0.148838	0.146963	0.0681111	0.288121	0.166785	0.04119	0.0202796	0.00664851	0.00696184	0.00847659	0.00253154	0.0170833
a	0.00544496	0.00530272	0.056076	0.141746	0.132292	0.072126	0.091266	0.217217	0.181285	0.0453759	0.0121539	0.0093463	0.0108358	0.00101008	0.0185223
m	0.00249574	0.00110676	0.0235827	0.0554367	0.0620818	0.0324355	0.312294	0.317303	0.0848228	0.0325933	0.0142648	0.00921153	0.0111101	0.0110143	0.0302465
í	0.0106817	0.00846827	0.00911656	0.00949688	0.023003	0.0787924	0.263841	0.0895304	0.186015	0.245087	0.041061	0.0107273	0.00993292	0.00109288	0.0131536
b	0.00936822	0.00349946	0.0064357	0.0100661	0.0134885	0.0169329	0.201435	0.305346	0.277917	0.0508021	0.0606329	0.01239	0.0076779	0.0174047	0.00660223
é	0.00281699	0.00658595	0.00192274	0.00450279	0.00731572	0.0138334	0.0557801	0.317025	0.392593	0.109041	0.061853	0.00753239	0.00227106	0.0100461	0.00688068
r	0.000463827	0.00084116	0.00122443	0.00677466	0.00896893	0.010579	0.0826025	0.336474	0.24538	0.083164	0.110799	0.0193759	0.0146936	0.04804	0.0306198
a	0.00142827	0.00206957	0.00176367	0.00433798	0.00572411	0.003613	0.120193	0.419719	0.208394	0.056205	0.034017	0.0255696	0.0155217	0.0100122	0.0914316
l	0.00137307	0.000945236	0.00581068	0.00609854	0.0112718	0.00570186	0.113498	0.103893	0.316712	0.153614	0.14354	0.0574198	0.05049	0.00999525	0.0196376
á	0.00644288	0.00281835	0.00427231	0.00552288	0.00631533	0.00378694	0.0698685	0.169947	0.232784	0.0997536	0.11141	0.0916005	0.0747495	0.0312006	0.0895273
s	0.0110983	0.00282385	0.00654361	0.00663466	0.00956153	0.00235533	0.00812217	0.0213508	0.14292	0.268166	0.182685	0.0979253	0.142467	0.0807517	0.0165949
w	0.00442949	0.00306281	0.00552711	0.00658539	0.00591331	0.00218383	0.0304386	0.119737	0.266656	0.234118	0.122543	0.0425248	0.0497085	0.0714824	0.0350891
é	0.00164424	0.000517076	0.000576277	0.000853623	0.000630451	0.000426002	0.00909238	0.0463669	0.154347	0.483542	0.146958	0.0426355	0.0634143	0.0390752	0.00992076
é	0.000394404	0.000360679	0.00121595	0.00147236	0.00238595	0.000486623	0.0151882	0.0200854	0.11349	0.174182	0.254902	0.117432	0.17543	0.0945916	0.0283821
d	0.000741147	0.000145096	0.00281399	0.00358733	0.00328539	0.000190903	0.0140082	0.00588331	0.0173233	0.0399024	0.104285	0.396451	0.252558	0.0737179	0.0851073
i	0.000584188	9.87245e-05	0.000396728	0.000520438	0.000585343	3.8377e-05	0.00991164	0.0091257	0.0170098	0.0524942	0.087968	0.174817	0.0922099	0.126	0.428241
p	0.000426295	5.4986e-05	0.000376867	0.000346749	0.000787812	1.93587e-05	0.00571662	0.0042382	0.0180983	0.0662105	0.11824	0.258573	0.303926	0.154101	0.0688842
á	0.000234331	0.000176531	0.000294773	0.000529728	0.000768379	0.000129196	0.00153898	0.00203302	0.0120436	0.0166366	0.105793	0.0874095	0.110054	0.592158	0.0702004
m	0.000221378	0.000137993	0.000230731	0.000499575	0.000499409	6.41669e-05	0.00118656	0.00183754	0.00761137	0.0315603	0.0674842	0.0462855	0.054309	0.741918	0.0461541
i	0.000500151	0.000308789	0.000319944	0.000581137	0.000972252	0.00105689	0.00702188	0.00400577	0.0598821	0.296847	0.115653	0.156976	0.176621	0.0590746	0.120179
k	0.000827353	0.000134234	0.00118978	0.00108632	0.00116649	0.000319856	0.00354582	0.00149321	0.00912433	0.0248107	0.0500231	0.1073	0.154077	0.237026	0.407876
a	0.000443914	0.000361705	0.000374127	0.000561311	0.00102547	0.000146474	0.0014922	0.00174819	0.00742975	0.00811311	0.0430111	0.062013	0.0835958	0.674383	0.115301
á	0.000220263	0.000153908	0.00015391	0.000182583	0.00018817	0.000110798	0.000432309	0.000545732	0.00296963	0.007107	0.0249083	0.0203516	0.0229179	0.7445	0.175258
</S>	0.000347162	0.000131349	0.0023067	0.00340732	0.00233934	0.00022395	0.00593741	0.0024081	0.00547227	0.0244351	0.0279189	0.0935177	0.0945428	0.225134	0.511878
