 	ils	sont	venus	pour	disputer	les	habits	du	mort	</S>
b	0.740131	0.155198	0.0435603	0.0444556	0.00111977	0.0105753	0.00315517	0.00163969	6.77412e-05	9.81011e-05
á	0.897489	0.0174807	0.0404902	0.0338769	0.000352571	0.00379868	0.00179911	0.00352767	0.000983062	0.00020261
a	0.88991	0.0429021	0.0489747	0.0136718	0.000283539	0.000611555	0.00131926	0.000237161	0.00168247	0.000407243
á	0.101463	0.379097	0.386259	0.0823674	0.00055633	0.00658366	0.00187132	0.00218622	0.0016855	0.0379311
y	0.00378062	0.0601559	0.427492	0.389381	0.0773728	0.0198345	0.00977563	0.00251117	0.00163908	0.00805712
ε	0.00149009	0.0421401	0.614779	0.137353	0.1745	0.013899	0.00212952	0.000774236	0.000653516	0.0122827
i	0.00418464	0.0671479	0.139103	0.265342	0.457063	0.027523	0.0016441	0.0057211	0.00154105	0.0307308
o	0.0262788	0.213114	0.210528	0.259244	0.0785967	0.156105	0.00703323	0.0184883	0.00624755	0.0243649
d	0.00051629	0.00803675	0.0189062	0.149363	0.564898	0.188384	0.0611324	0.00280312	0.00293452	0.00302556
z	2.57843e-05	0.000767094	0.00527086	0.03354	0.907097	0.0307494	0.0108266	0.000775123	0.0010447	0.00990305
o	0.000272119	0.00154856	0.000669819	0.00497617	0.985879	0.00242371	0.00281146	0.000120713	0.000246569	0.00105242
o	0.000344115	0.00325415	0.00589525	0.0158188	0.876962	0.0461849	0.03003	0.00132644	0.000804682	0.0193796
l	6.56352e-05	0.00141871	0.00718364	0.0504052	0.116797	0.764103	0.036899	0.00947331	0.000719625	0.0129354
á	0.000511388	0.00560123	0.0171091	0.0640515	0.0310982	0.431555	0.198401	0.0262797	0.0130668	0.212326
i	0.00533322	0.0228895	0.068368	0.0535382	0.00832542	0.557109	0.153105	0.105534	0.00997891	0.0158183
k	0.000725552	0.00123024	0.00131278	0.00696056	0.0125474	0.0373226	0.842936	0.0276841	0.0508662	0.0184147
á	1.07022e-05	2.85154e-05	2.56593e-05	0.00116118	0.00847679	0.0103568	0.963812	0.00400826	0.00944331	0.00267707
n	7.21637e-05	0.000452765	0.00109462	0.00388572	0.0296009	0.025258	0.887164	0.00855733	0.0161928	0.0277219
d	0.000444796	0.00054376	0.000651199	0.00683473	0.0261464	0.0648038	0.781024	0.0297581	0.0217677	0.0680257
á	0.00542525	0.00413998	0.0107653	0.0208898	0.0296883	0.0930169	0.496742	0.0988829	0.0458111	0.194639
m	0.000722041	0.00331736	0.00357331	0.0134981	0.00535066	0.0938468	0.214142	0.348803	0.0858243	0.230923
ó	0.0044083	0.00870288	0.000762709	0.0170874	0.00142494	0.0254352	0.0408111	0.336424	0.29748	0.267464
w	0.00122843	0.00660104	0.00270451	0.0401059	0.00599471	0.0826911	0.0555354	0.19166	0.590277	0.0232019
é	0.0205356	0.0218531	0.0232106	0.0148898	0.000582724	0.0213343	0.0329932	0.197398	0.603155	0.0640481
e	0.000568089	0.00171012	0.00246857	0.00545386	0.00206484	0.0284172	0.0330902	0.328419	0.421088	0.17672
</S>	0.000230592	0.0049696	0.00187431	0.0210543	0.0041115	0.0267329	0.0402269	0.153224	0.288418	0.459158
