 	nous	avons	ramassé	des	champignons	dans	la	forêt	</S>
b	0.709964	0.273692	0.0043188	0.00470161	0.00166188	0.000873879	0.00270572	0.00170564	0.000377159
í	0.898879	0.0594021	0.0138393	0.014469	0.00178636	0.00170227	0.00856934	0.000640987	0.000711446
s	0.9928	0.00533631	0.00133846	0.000243539	0.000155318	3.05941e-05	2.63467e-05	8.54171e-06	6.09218e-05
í	0.870025	0.0626809	0.0432377	0.00846657	0.00758726	0.0033981	0.00171287	0.000400496	0.00249097
l	0.0358793	0.220472	0.37151	0.0535828	0.0511952	0.013688	0.00783934	0.0081938	0.237639
é	0.00803563	0.102439	0.289116	0.236079	0.0415919	0.0691201	0.0373735	0.00671421	0.209531
t	0.00186387	0.0944418	0.847127	0.0443235	0.0029785	0.00319907	0.00164036	0.000118222	0.00430787
ώ	0.00451292	0.0590027	0.613563	0.160646	0.1177	0.0254003	0.00452441	0.0065811	0.00806999
i	0.0800006	0.0827301	0.44154	0.215947	0.119643	0.0275952	0.00998262	0.00929913	0.0132626
a	0.0261907	0.0850557	0.102197	0.478001	0.117169	0.100726	0.0617261	0.00810011	0.0208335
s	0.00385995	0.0190805	0.0731631	0.191114	0.281297	0.346172	0.0551976	0.0211927	0.00892371
έ	0.00233906	0.0207055	0.150331	0.0831594	0.278944	0.356881	0.058949	0.0142415	0.0344498
r	0.000549794	0.00344324	0.0410203	0.0637575	0.353027	0.35378	0.0976411	0.0230785	0.0637025
i	0.00178451	0.00504315	0.0460221	0.155584	0.216656	0.324781	0.184213	0.0231921	0.0427241
s	0.000155467	0.00561636	0.0133662	0.0845118	0.0611883	0.512022	0.266373	0.0283663	0.0283998
á	0.0114228	0.00914753	0.0315678	0.0355817	0.0989378	0.204347	0.141114	0.256183	0.211698
k	0.0063784	0.00563944	0.000957429	0.00483353	0.010253	0.0552136	0.107926	0.795022	0.0137768
ώ	0.00331726	0.000285048	0.0002888	0.00200089	0.0215749	0.0475589	0.0178808	0.89383	0.0132637
</S>	0.000612783	5.41189e-05	0.000696719	0.00301464	0.0246983	0.0313006	0.0224263	0.899518	0.0176786
