 	la	machette	doit	être	tranchanteookoo	</S>
o	0.879565	0.102982	0.0119932	0.0047017	0.000440558	0.000317325
k	0.0211031	0.964344	0.00953665	0.000862933	0.00383508	0.000318424
w	0.0123558	0.941804	0.00405183	0.00166291	0.0393495	0.00077596
á	0.00579697	0.924443	0.0435987	0.0167309	0.00848509	0.000945314
í	0.0726484	0.409488	0.309997	0.0457088	0.00800561	0.154153
k	0.117908	0.0168013	0.674841	0.157964	0.00211413	0.0303722
á	0.0316137	0.00928446	0.767428	0.153781	0.0104354	0.0274575
a	0.196976	0.00915303	0.461528	0.290936	0.00914562	0.0322613
o	0.0284493	0.00161513	0.42474	0.478265	0.00617941	0.0607508
d	0.00210802	0.0120887	0.127857	0.68001	0.166549	0.0113874
í	0.00237258	0.00280764	0.127505	0.445298	0.236671	0.185346
l	0.0128755	0.000500556	0.0441607	0.373787	0.146393	0.422283
a	0.00294463	0.000191744	0.108558	0.565296	0.0834991	0.23951
m	0.0132643	0.00135513	0.0461053	0.200231	0.527882	0.211162
y	0.0039463	0.00131092	0.00245319	0.0282029	0.509618	0.454468
ώ	0.000214755	0.00114064	0.00108096	0.0066894	0.916227	0.0746476
n	3.97312e-05	0.00025863	0.00845422	0.108341	0.470689	0.412217
g	0.00386919	0.00257499	0.0590693	0.31639	0.36609	0.252006
ω	0.00158021	0.00243779	0.0211047	0.0414015	0.625506	0.30797
</S>	0.0006245	0.000637202	0.0106958	0.0345867	0.115476	0.83798
