 	l'	événement	a	fait	grand	bruit	</S>
i	0.710949	0.245743	0.0230424	0.00521525	0.0109073	0.0038361	0.00030712
b	0.170211	0.788771	0.00896892	0.0123894	0.00487083	0.0140303	0.000759298
h	0.0298234	0.959174	0.00297958	0.00147301	0.00056383	0.00526546	0.000720437
ώ	0.0481955	0.914756	0.00202374	0.00901132	0.00529712	0.0137034	0.00701275
ω	0.693043	0.273351	0.0126846	0.00261696	0.00937579	0.00313845	0.00578995
d	0.454181	0.267805	0.212498	0.0212261	0.0254568	0.0024141	0.0164185
í	0.386173	0.143538	0.110327	0.0339594	0.0303611	0.00738103	0.288261
i	0.29637	0.0969081	0.419724	0.0395908	0.0350127	0.00619164	0.106202
í	0.0537367	0.072707	0.322224	0.379188	0.0765981	0.0231994	0.0723472
k	0.0455215	0.0760295	0.323369	0.310556	0.109891	0.0573375	0.0772963
y	0.00527341	0.0628461	0.0408233	0.60921	0.0913943	0.130903	0.0595502
e	0.00907854	0.0622241	0.0486274	0.552228	0.148131	0.114933	0.0647778
l	0.00987118	0.0328872	0.128109	0.390838	0.143151	0.173487	0.121657
o	0.0108441	0.0205234	0.0599434	0.462014	0.141102	0.149781	0.155792
b	0.0118275	0.00937693	0.0276639	0.0423099	0.126997	0.585311	0.196513
h	0.030305	0.0339617	0.0434948	0.0866483	0.132479	0.599145	0.0739657
ó	0.00251779	0.0169154	0.00379915	0.0744495	0.0551369	0.709964	0.137217
ó	0.00244503	0.00722389	0.009327	0.0625775	0.160202	0.533123	0.225102
m	0.00813678	0.00617316	0.0187671	0.0473452	0.314147	0.231795	0.373637
b	0.0706215	0.0677399	0.0320132	0.0303667	0.299827	0.176922	0.322509
v	0.0213427	0.0384275	0.00571583	0.0427807	0.255644	0.388489	0.2476
a	0.00551097	0.0253906	0.00483063	0.0419263	0.091782	0.424737	0.405823
m	0.000852542	0.00196703	0.00485052	0.0502652	0.0772542	0.160882	0.703928
b	0.0794497	0.0320172	0.0186467	0.0143487	0.4001	0.200481	0.254956
v	0.0425788	0.0254837	0.00528374	0.0390065	0.146449	0.310395	0.430803
a	0.0253551	0.0151974	0.00229423	0.0468641	0.0923403	0.219868	0.598081
</S>	0.0057527	0.00356952	0.00286495	0.0177145	0.0736933	0.0806294	0.815776
