 	cette	manière	de	tenir	le	fil	fatigue	les	mains	</S>
e	0.214666	0.205471	0.16685	0.261703	0.0211428	0.0196788	0.0542327	0.0053062	0.0127059	0.0382438
k	0.000313817	6.51379e-05	0.0027293	0.534039	0.428336	0.0100765	0.0239731	0.000201283	0.000217014	4.92911e-05
á	0.00140407	0.000168099	0.00214748	0.813725	0.0863236	0.00675505	0.0864199	0.000332582	0.00221945	0.00050476
r	0.000124938	0.000559855	0.016338	0.804483	0.111676	0.016098	0.0471296	0.00112341	0.000243312	0.00222362
í	0.0148332	0.00887798	0.0651368	0.138753	0.454294	0.226697	0.0363716	0.0190095	0.003616	0.0324117
r	0.134248	0.0524469	0.129899	0.0339492	0.152011	0.346067	0.0461816	0.057033	0.0141596	0.0340045
í	0.00642812	0.00676771	0.00895822	0.00884762	0.243582	0.243852	0.0792306	0.0244915	0.00222974	0.375613
y	0.50351	0.0620787	0.162625	0.0315866	0.0641146	0.0614982	0.0293166	0.0304892	0.00745889	0.047322
á	0.147192	0.0503272	0.175285	0.0539038	0.199826	0.0346251	0.0683728	0.0430697	0.00183855	0.225559
s	0.0574625	0.0211899	0.0755326	0.145427	0.408046	0.148027	0.0567502	0.0195286	0.00498738	0.063048
i	0.0432531	0.0239869	0.0674661	0.110356	0.333795	0.243849	0.0219771	0.0137564	0.00268006	0.138879
n	0.0188423	0.00416451	0.0283118	0.0330426	0.312389	0.453277	0.0591703	0.0126563	0.0117462	0.0663998
g	0.0479933	0.0709781	0.0547008	0.0106381	0.194911	0.399652	0.0275803	0.0431807	0.0104608	0.139904
a	0.0260278	0.113869	0.0541553	0.0157216	0.200954	0.375039	0.0718143	0.0121642	0.00779891	0.122455
y	0.00938785	0.0210475	0.175691	0.0312433	0.153432	0.373988	0.100385	0.0956764	0.00582975	0.0333198
é	0.308677	0.134757	0.0980331	0.0217429	0.112927	0.0917818	0.0313172	0.100496	0.00401869	0.0962483
y	0.117522	0.0513715	0.059402	0.03682	0.155621	0.185823	0.129361	0.180319	0.0411017	0.0426588
é	0.0900385	0.22526	0.110869	0.0776106	0.197759	0.118728	0.0440103	0.0868477	0.00446126	0.0444153
e	0.0148476	0.0253789	0.069465	0.0100463	0.144123	0.161109	0.0498705	0.365154	0.00988654	0.15012
k	0.000825043	0.00109533	0.00853514	0.017767	0.0676562	0.0601927	0.669872	0.0360994	0.0235111	0.114446
ώ	5.20564e-05	3.60594e-05	0.000508674	0.00316337	0.0128422	0.00918562	0.938043	0.00256138	0.016088	0.0175196
b	6.25156e-05	0.000244873	0.00266915	0.00339707	0.032687	0.0305375	0.761653	0.0304246	0.0861735	0.0521506
h	0.0112192	0.00359415	0.0397292	0.0310781	0.0558647	0.0393703	0.346718	0.0724156	0.100764	0.299247
ώ	0.00309147	0.00783331	0.0123527	0.00194228	0.0300404	0.0746968	0.239009	0.0944711	0.417844	0.118719
s	0.00433766	0.00434111	0.00953973	0.000439039	0.00332982	0.00876255	0.0289955	0.661427	0.148274	0.130554
ώ	0.0700751	0.01675	0.0340019	0.0115772	0.0166189	0.0388953	0.0238969	0.187766	0.164292	0.436127
a	0.00634198	0.00597335	0.0178532	0.00740685	0.0110882	0.012072	0.00854334	0.35075	0.301353	0.278618
b	0.00311286	0.00248508	0.0317566	0.0839453	0.103212	0.0801761	0.0439502	0.163793	0.281453	0.206115
ώ	0.000440766	0.000561924	0.00567553	0.00377296	0.00619499	0.0214112	0.0244928	0.0647697	0.858586	0.0140937
ω	7.51822e-05	0.000163824	0.000850774	0.000223012	0.000864228	0.00356482	0.0355939	0.0319623	0.68575	0.240952
</S>	0.00599412	0.00216057	0.0125414	0.00293464	0.030039	0.0154567	0.0125139	0.342425	0.0759874	0.499947
