 	un	poulet	charnu	est	mangé	à	la	sauvette	pourquoi	pas	aussi	une	alouette	</S>
t	0.801284	0.14641	0.000374518	0.00332368	0.000695853	0.0101079	0.00700599	0.00256848	0.0156628	0.00828366	0.00268685	0.00136312	0.000218434	1.45276e-05
s	0.13547	0.848981	0.000174077	0.00171367	0.000289259	0.00126165	0.00246386	0.0001948	0.000815597	0.00320552	0.00244517	0.0014472	0.0013115	0.000227416
ó	0.017987	0.959494	0.00363624	0.00130507	0.00318383	0.00185186	0.00289332	0.00178154	0.000260725	0.000880886	0.00549709	0.00071752	0.000262336	0.000248685
s	0.025478	0.93883	0.00627988	0.00347246	0.000939477	0.00193967	0.00130948	0.000535508	0.00125661	0.00373306	0.00745148	0.00148206	0.00194996	0.00534251
ó	0.0970942	0.610399	0.0815213	0.0201716	0.0116306	0.0136737	0.0053161	0.0116597	0.0194047	0.00868671	0.0141996	0.0186523	0.00280827	0.0847826
y	0.383237	0.0647652	0.301788	0.0635836	0.0146595	0.0231119	0.00921757	0.00600974	0.0385742	0.00591971	0.00619884	0.0144466	0.0088081	0.05968
e	0.49589	0.182993	0.0744777	0.0265407	0.012711	0.00963738	0.0206587	0.0779943	0.0318485	0.00414986	0.00527562	0.0313458	0.00118796	0.0252895
e	0.437259	0.0308642	0.148559	0.0961534	0.0169686	0.0181384	0.0375207	0.0557869	0.0662173	0.00572585	0.00585037	0.0331823	0.00436144	0.0434122
d	0.022011	0.00473336	0.639033	0.0984345	0.164763	0.0177741	0.0040143	0.00280605	0.00140939	0.00673318	0.00850925	0.00388087	0.00241886	0.0234793
í	0.0012668	8.72587e-05	0.80752	0.0194035	0.131276	0.0124091	0.00523147	0.00270266	0.000497142	0.000831546	0.00129108	0.00157985	8.66563e-05	0.0158162
l	0.00132483	0.000131817	0.872382	0.0256189	0.0452235	0.0104316	0.00785511	0.00345039	0.00196696	0.00538531	0.00420905	0.00219329	0.000753152	0.0190741
i	0.00446836	0.000801513	0.14305	0.314527	0.185562	0.0746954	0.0813162	0.0797749	0.0217282	0.0102866	0.00621146	0.0189498	0.00164761	0.0569805
s	0.00801736	0.00280455	0.0807049	0.0802198	0.289014	0.0493266	0.0712612	0.211214	0.0112181	0.00975707	0.0190161	0.0168862	0.00955353	0.141007
u	0.00996433	0.00218709	0.138262	0.0465124	0.259618	0.0419322	0.185813	0.244255	0.00558978	0.0106697	0.019476	0.013996	0.00184634	0.0198783
n	0.00241466	0.000288999	0.0305853	0.0192389	0.149433	0.0514259	0.239876	0.432783	0.00557539	0.00967048	0.0139577	0.00914165	0.00104647	0.0345635
u	0.00210366	0.000669122	0.00385854	0.0228774	0.0570918	0.0824395	0.336401	0.39873	0.0551063	0.011863	0.0109041	0.0110276	0.000828445	0.00609885
á	0.00305408	0.000280708	0.00533818	0.136517	0.0192227	0.198584	0.192847	0.106353	0.25686	0.033974	0.0229029	0.0102158	0.00152149	0.0123291
d	0.00232009	0.000355707	0.0355783	0.0734398	0.106652	0.17578	0.147438	0.0976322	0.0650541	0.170416	0.0925253	0.0205516	0.0058903	0.00636648
z	0.00132768	7.32928e-05	0.0327832	0.0442508	0.190898	0.136997	0.119533	0.0200964	0.0516677	0.154928	0.0831924	0.0302119	0.00527243	0.128768
é	0.00275077	4.45764e-05	0.0113757	0.0172044	0.119549	0.0720941	0.266261	0.340825	0.042492	0.0441046	0.0516133	0.0228281	0.000292269	0.00856591
t	0.000831754	0.000151185	0.0960637	0.039782	0.0453712	0.0683603	0.0718087	0.0415354	0.0385728	0.272465	0.224617	0.0449517	0.0140608	0.0414276
ó	0.000687281	0.00139759	0.00311482	0.011746	0.00740709	0.0274324	0.0785989	0.0655694	0.0233196	0.231587	0.408538	0.0868731	0.00608714	0.0476418
t	0.000198852	0.000318794	0.00678602	0.0116056	0.0104491	0.0290652	0.0255029	0.0165654	0.0216544	0.189773	0.376011	0.103199	0.0259109	0.18296
o	0.000682263	0.00292895	0.00126537	0.00413996	0.00165533	0.0147973	0.0391828	0.04995	0.0296997	0.175561	0.486314	0.117853	0.00795102	0.0680183
k	0.000373584	0.000381591	0.000891436	0.0056878	0.00316295	0.018279	0.0283175	0.0170991	0.0397066	0.151047	0.454432	0.160401	0.0243643	0.0958553
u	0.000838643	0.00195514	0.000479596	0.00217121	0.000332943	0.00797839	0.00934095	0.00188896	0.0128262	0.188981	0.60069	0.0898005	0.0127733	0.0699435
s	0.00146337	0.000214796	0.000270589	0.00127599	0.00331971	0.0108701	0.029336	0.0152806	0.00974761	0.176776	0.594668	0.0997264	0.0144454	0.0426049
u	0.00445618	0.000994661	0.00192272	0.0014227	0.00543978	0.0303566	0.187341	0.402926	0.0350413	0.061342	0.198783	0.0590124	0.00405733	0.00690348
a	0.000172003	4.29421e-05	0.000270885	0.00229321	0.000704453	0.0071403	0.00973915	0.00587835	0.089373	0.104003	0.122641	0.274275	0.0783398	0.305127
b	0.00285903	0.000283506	0.00942976	0.0264969	0.00718233	0.0286856	0.0126537	0.00190791	0.0222039	0.135383	0.0822677	0.265797	0.270119	0.13473
έ	0.000139961	5.48712e-05	0.000124204	0.00353426	0.000142094	0.00949376	0.00250144	3.15558e-05	0.00299737	0.175496	0.139718	0.0486075	0.590697	0.0264622
l	0.000841428	1.32846e-05	0.000146636	0.00546266	0.00076255	0.0300705	0.0140129	0.000351905	0.0255525	0.0849156	0.0671415	0.132419	0.256904	0.381405
i	0.00088454	0.000128247	0.000344718	0.00649575	0.000945077	0.0181254	0.0429497	0.00564606	0.104215	0.207613	0.112154	0.291148	0.0879328	0.121417
</S>	0.000331766	2.29722e-05	0.000343578	0.00326885	0.000372152	0.00681204	0.011243	0.00229132	0.0342598	0.0287166	0.0259367	0.216537	0.191271	0.478593
