 	ce	cheveu	est	celui	de	ta	femme	ce	n'	est	pas	un	poil	</S>
l	0.229701	0.555155	0.0812673	0.014785	0.0163835	0.0143067	0.00279611	0.0081101	0.0107216	0.0126433	0.0268008	0.0232315	0.00060644	0.00349104
e	0.141908	0.479953	0.0184255	0.0455077	0.0538187	0.172705	0.0177499	0.0146019	0.0121724	0.00946116	0.0180232	0.0121308	0.0026152	0.000927431
s	0.0462447	0.503859	0.0358972	0.0941473	0.0455869	0.0452917	0.0404321	0.0582877	0.0380074	0.0217437	0.0175745	0.00996018	0.00929349	0.0336737
u	0.00760131	0.643963	0.034322	0.0532887	0.0188185	0.0217381	0.0969168	0.0338998	0.0159381	0.00905823	0.00617783	0.00170047	0.00525348	0.0513241
é	0.0664745	0.42477	0.0464187	0.137528	0.0293371	0.0544322	0.0135347	0.0352405	0.0194292	0.0218987	0.0233671	0.0126053	0.0571761	0.057787
d	0.297588	0.0840035	0.172801	0.09758	0.0446758	0.0792588	0.0158228	0.0293274	0.0273748	0.0250653	0.0276695	0.0277648	0.00816596	0.0629019
í	0.338697	0.0663768	0.101242	0.0393	0.0154085	0.0167721	0.00554116	0.0241503	0.0201016	0.0172708	0.0274803	0.0131841	0.0177185	0.296757
l	0.112142	0.0418165	0.243195	0.0830568	0.0504352	0.0852747	0.0277707	0.0427068	0.0459088	0.0229899	0.0230283	0.039468	0.0151834	0.167023
á	0.0835121	0.0113968	0.125099	0.0884232	0.0301582	0.0284831	0.0118064	0.0408011	0.0488099	0.0251579	0.0284858	0.0198812	0.00871569	0.44927
m	0.14275	0.0113103	0.113661	0.0767491	0.0649756	0.103964	0.179618	0.0838332	0.049037	0.0276252	0.0234211	0.0384786	0.0114384	0.0731381
w	0.00385697	0.000396309	0.0056722	0.0117401	0.00704581	0.00280477	0.943648	0.0170385	0.00444306	0.000932017	0.00040158	0.000498921	0.000478195	0.00104313
á	0.00217519	0.00234454	0.0048986	0.0430812	0.0957951	0.0126675	0.644783	0.0927388	0.0469661	0.0191745	0.0104077	0.00359505	0.0076786	0.0136938
s	0.315723	0.0140212	0.0154209	0.0318861	0.100357	0.140502	0.234771	0.057999	0.0298656	0.0103595	0.0130299	0.0138429	0.000939197	0.0212824
í	0.0795317	0.026225	0.0380629	0.245193	0.103258	0.0679237	0.049267	0.0516151	0.0261632	0.0227114	0.0299864	0.0174239	0.021657	0.220981
y	0.0326069	0.00176101	0.132259	0.106973	0.112552	0.152004	0.0409353	0.14968	0.0895119	0.0504451	0.0264515	0.0795456	0.00618015	0.0190934
a	0.14864	0.012415	0.146403	0.216622	0.101103	0.0697324	0.0925393	0.106409	0.0347292	0.0151445	0.00463679	0.00821928	0.0330332	0.010373
n	0.0253883	0.00343663	0.0371875	0.0799385	0.116933	0.371421	0.0301256	0.151773	0.0851251	0.0347053	0.0113185	0.0295999	0.0153133	0.00773357
ω	0.00467307	0.0178711	0.00767652	0.073206	0.0919864	0.427361	0.0820222	0.103767	0.0354525	0.0234273	0.0248051	0.0256522	0.00292422	0.0791748
é	0.000389416	0.000178104	0.0141332	0.0245677	0.0497882	0.031518	0.0240154	0.281883	0.213483	0.136801	0.0762351	0.0987113	0.0139783	0.034318
d	0.0266688	0.00358845	0.0109928	0.0430599	0.0966281	0.142269	0.0207508	0.152741	0.155669	0.161097	0.0582502	0.0615316	0.0539951	0.012758
í	0.0123479	0.00535061	0.00643464	0.0369233	0.0762068	0.0406182	0.0131106	0.128869	0.162095	0.151572	0.100057	0.0522291	0.0549701	0.159215
o	0.0040629	0.000306474	0.00773926	0.0227033	0.0503138	0.0719113	0.00417162	0.0569554	0.150323	0.14291	0.0953755	0.163203	0.0971017	0.132923
d	0.00114567	0.00290103	0.00116737	0.00598767	0.0175982	0.0630063	0.00987197	0.038425	0.0646556	0.141829	0.135735	0.127429	0.323807	0.0664405
z	0.000696744	0.00167902	0.002592	0.0087288	0.0182323	0.0226769	0.00574651	0.0283595	0.0507688	0.132801	0.107158	0.0755055	0.389576	0.155479
á	0.00134776	0.0081676	0.00615142	0.0328839	0.06928	0.127401	0.118729	0.133086	0.0503852	0.0973782	0.0500333	0.022417	0.26276	0.0199798
l	0.00184818	0.000422767	0.00321957	0.00532071	0.0174086	0.0232982	0.00143622	0.0331677	0.0818813	0.090166	0.0788191	0.0872223	0.37265	0.20314
e	0.000604969	0.000492386	0.00312912	0.0076333	0.0153111	0.0199345	0.00112392	0.0387786	0.0888107	0.116286	0.139021	0.0898422	0.258009	0.221023
n	0.00112118	0.000110424	0.00120648	0.0017824	0.00533011	0.0278461	0.00218011	0.0348911	0.0525041	0.0961076	0.100659	0.150738	0.352796	0.172728
g	0.00448226	0.0135602	0.00186452	0.0133692	0.0194238	0.16341	0.0122672	0.0341617	0.0330646	0.0498964	0.17463	0.121205	0.0400398	0.318626
u	0.000203315	0.0040949	0.000976259	0.00648477	0.00983074	0.186389	0.0114716	0.0356519	0.0484324	0.0544314	0.124255	0.116786	0.05661	0.344382
n	9.89228e-05	0.000504933	0.000109642	0.00252618	0.0114186	0.0751406	0.00520624	0.0390961	0.0310098	0.0654448	0.157361	0.0846959	0.110609	0.416779
g	0.00260863	0.00110491	0.000479353	0.00375781	0.00893837	0.0722382	0.00376763	0.0315106	0.0297937	0.086781	0.275727	0.134768	0.0783935	0.270131
a	0.0010151	0.00138973	0.000368441	0.00402415	0.0132475	0.0556142	0.00733547	0.0377481	0.0262613	0.0527704	0.191507	0.0761913	0.102854	0.429674
k	0.000991546	0.000185944	0.00131896	0.0022082	0.0065092	0.0232817	0.00126305	0.0327717	0.0601704	0.0782001	0.137875	0.133083	0.0263536	0.495788
a	0.00114818	0.0020616	0.00239719	0.00195947	0.0121038	0.0212918	2.89851e-05	0.00982721	0.0373156	0.0900377	0.294069	0.108202	0.133812	0.285745
á	0.000246834	0.000252943	0.000473408	0.000527591	0.00313972	0.0122991	0.00012474	0.0102573	0.0316963	0.0429113	0.0560802	0.0437047	0.0905735	0.707712
</S>	0.00179922	8.73456e-05	0.00767856	0.00696365	0.00630587	0.00394501	0.000563492	0.0150912	0.0395813	0.0343964	0.0529917	0.0471972	0.0347666	0.748633
