 	cette	jeune	fille	a	une	beauté	</S>
m	0.740669	0.104849	0.136466	0.0112819	0.00470693	0.00157247	0.000454207
w	0.0831266	0.183374	0.711646	0.0113437	0.00304186	0.00142194	0.0060457
á	0.00890217	0.0915818	0.899317	5.11282e-05	2.47001e-05	6.19256e-05	6.16381e-05
n	0.54152	0.238946	0.205916	0.00454933	0.000664009	0.001732	0.00667223
a	0.0940541	0.362558	0.296854	0.037921	0.0065019	0.00709466	0.195017
o	0.869537	0.0556621	0.0314321	0.0196625	0.00850229	0.00437598	0.0108283
y	0.49718	0.0217677	0.41335	0.0336066	0.0141876	0.0148794	0.00502866
ú	0.800456	0.0224035	0.1609	0.00656021	0.00202433	0.00178667	0.00586896
r	0.961859	0.0242653	0.00189434	0.000884965	0.00199145	0.000675839	0.00842924
u	0.93839	0.0146339	0.0286318	0.00379188	0.00450358	0.00202847	0.0080208
w	0.222955	0.066703	0.053319	0.432427	0.149699	0.0143003	0.0605969
ó	0.105026	0.008879	0.0397234	0.400128	0.191907	0.0394146	0.214922
a	0.0626646	0.00524334	0.00722428	0.591733	0.194799	0.0119876	0.126349
d	0.0132165	0.000186604	0.00232476	0.550109	0.347987	0.0195662	0.0666096
í	0.0599598	0.0359328	0.0270896	0.293685	0.209102	0.0187366	0.355494
l	0.054883	0.0131814	0.00442238	0.114087	0.465503	0.0925044	0.255419
i	0.00337251	0.0024467	0.0012919	0.0958756	0.285899	0.0773285	0.533786
l	0.0268358	0.00508374	0.00446421	0.075754	0.181426	0.603536	0.1029
ώ	0.0287311	0.00312591	0.00177357	0.0539148	0.238915	0.602037	0.0715025
n	0.00379123	0.00164672	0.000615372	0.0625512	0.189367	0.689574	0.0524542
g	0.00985808	0.000924057	0.00269958	0.0575909	0.191669	0.642723	0.0945363
ω	0.0317544	0.0298682	0.0189237	0.0824643	0.158917	0.410746	0.267327
</S>	0.00506046	0.000641186	0.000219814	0.0189807	0.102255	0.318803	0.55404
