 	ingobha	haït	les	enfants	des	autres	parce	qu'	elle	est	stérile	</S>
i	0.770949	0.061416	0.124463	0.00930104	0.0116298	0.00696303	0.00355509	0.0077394	0.00212091	0.00155603	0.000172443	0.00013419
n	0.955553	0.024649	0.00149206	0.000156669	0.00170467	0.0045581	0.00208737	0.00104026	0.00160407	0.00156952	0.000712896	0.00487228
g	0.829872	0.0431709	0.0273229	0.0322189	0.0188895	0.0170148	0.0119541	0.00611196	0.00450651	0.00105282	0.00343541	0.00444984
o	0.98753	0.00514162	0.00125845	0.00195312	0.00062972	0.000700563	0.000500242	0.000291729	0.000251335	5.43501e-05	0.000353196	0.00133516
b	0.923692	0.029776	0.00674054	0.00533569	0.00474876	0.00424611	0.00286217	0.00211915	0.00173093	0.000951136	0.00303062	0.0147674
h	0.583114	0.0664343	0.0232728	0.00260535	0.0155007	0.0114191	0.0413847	0.0396849	0.0303865	0.00895077	0.00477056	0.172477
a	0.844112	0.0226757	0.0199732	0.0081859	0.00633593	0.00386651	0.0134661	0.0189862	0.0148935	0.00196573	0.00254852	0.0429911
l	0.443105	0.0456347	0.0864281	0.00973809	0.101354	0.0411925	0.0433353	0.0380634	0.0487825	0.0603545	0.0021913	0.0798217
á	0.0979811	0.0525237	0.0638413	0.0223973	0.0876386	0.0389686	0.078077	0.0644851	0.106639	0.0482001	0.0121705	0.327078
a	0.0672105	0.151732	0.172127	0.12234	0.0550312	0.0360651	0.0690713	0.0707629	0.0913083	0.0359764	0.00870778	0.119667
b	0.0860877	0.799566	0.0410305	0.00940005	0.0119229	0.0202103	0.00508804	0.00288197	0.00503068	0.00640075	0.00326789	0.00911322
h	0.0147823	0.961033	0.0136969	0.00168422	0.00108832	0.00604454	0.000403942	0.000145694	0.000145111	0.000162081	8.01648e-05	0.000734033
i	0.0249012	0.963614	0.00707431	0.00021828	0.000407646	0.00191191	0.000213885	3.9583e-05	4.21828e-05	0.00011816	0.000106503	0.00135222
n	0.0328935	0.856957	0.0664806	0.00273227	0.00474082	0.00954462	0.0024183	0.000846362	0.000935934	0.00235682	0.00316613	0.0169274
á	0.0695672	0.648023	0.204907	0.00220944	0.0105064	0.00846348	0.00811234	0.0045592	0.00344644	0.00369263	0.000920848	0.0355921
b	0.00305475	0.0533376	0.713171	0.145294	0.0321285	0.011932	0.0114118	0.0104528	0.00716179	0.00322871	0.000993887	0.00783322
á	0.000601569	0.0427531	0.275114	0.661984	0.00520651	0.00890087	0.00205088	0.00143853	0.00119868	0.000252374	0.00014581	0.000353437
n	8.21576e-05	0.00516399	0.0974922	0.865092	0.00353271	0.0149262	0.00262876	0.00388329	0.00519343	0.000755528	0.000158566	0.00109117
a	0.00172713	0.0109768	0.115063	0.780763	0.0113881	0.0105631	0.00824188	0.00992924	0.0173695	0.00207031	0.000557636	0.0313508
b	0.00111389	0.0198395	0.609657	0.0804297	0.192865	0.0359507	0.0121102	0.0113836	0.0129029	0.0143199	0.00200702	0.00742139
á	0.00442046	0.0305658	0.433957	0.300287	0.100242	0.062028	0.0289442	0.0168643	0.00889825	0.00369063	0.000430453	0.00967181
a	0.000707717	0.00194058	0.136993	0.261557	0.212564	0.163681	0.0899891	0.0616054	0.0478958	0.0102509	0.00279306	0.0100227
b	0.00561597	0.0369534	0.0487166	0.0332733	0.375602	0.423632	0.0305968	0.00958341	0.00664157	0.012992	0.00390658	0.0124869
i	0.00974512	0.214364	0.0663792	0.0381071	0.047256	0.585606	0.0190915	0.0051512	0.00269683	0.0023166	0.00580554	0.00348081
a	0.0184258	0.126856	0.194465	0.0333004	0.101665	0.38597	0.0308694	0.00370534	0.00201575	0.00567613	0.012164	0.0848867
t	0.000284767	0.00121764	0.0474508	0.0136613	0.343804	0.214299	0.174079	0.125056	0.0436899	0.0223239	0.00174831	0.0123858
s	0.00108952	0.00350759	0.0656959	0.0558426	0.0653564	0.0633291	0.312932	0.254255	0.114108	0.0119818	0.00839515	0.0435068
í	0.00104734	0.00412875	0.0969225	0.020278	0.105116	0.154583	0.257058	0.190405	0.0466254	0.0133407	0.0218636	0.0886323
n	0.000297731	0.00176244	0.0643779	0.0611276	0.0828402	0.151742	0.215774	0.200562	0.0805833	0.00940063	0.00490753	0.126624
a	0.00215612	0.00261982	0.0470124	0.133017	0.110753	0.0756053	0.187134	0.180248	0.0883969	0.0112035	0.0128528	0.149001
w	0.000109743	0.000115939	0.00980915	0.00630468	0.127661	0.103601	0.254334	0.256807	0.150276	0.0570788	0.00354975	0.0303528
a	0.00143975	0.00110995	0.0193018	0.0169535	0.079021	0.0418387	0.210833	0.306357	0.226618	0.0415272	0.010685	0.0443153
a	0.000374104	0.000255892	0.00421658	0.00352651	0.0557551	0.0594847	0.164552	0.307631	0.245848	0.0921023	0.00976085	0.0564933
d	0.00382067	0.00387832	0.0091354	0.00163333	0.0481646	0.1379	0.0522608	0.0431554	0.143471	0.404547	0.0202897	0.131744
í	0.00715104	0.00186903	0.0117987	0.000498744	0.0743708	0.113575	0.107063	0.0510115	0.0840775	0.188335	0.0417088	0.318541
e	0.000333281	0.000210603	0.00305824	0.000307101	0.0191557	0.05811	0.06408	0.092273	0.122683	0.364114	0.0252967	0.250379
n	0.00113663	0.00296768	0.00480829	0.00167836	0.00822084	0.0381176	0.0375282	0.0373911	0.0749582	0.210747	0.354733	0.227713
g	0.00378247	0.00280627	0.00764384	0.0019664	0.0225212	0.0392001	0.0539689	0.0385637	0.0968886	0.144374	0.304806	0.283478
o	0.000213282	0.000399333	0.00893192	0.0097959	0.0248573	0.0345752	0.0458677	0.0428858	0.0873462	0.0709903	0.616309	0.057828
m	0.000102453	0.000245114	0.00432984	0.000998829	0.00957418	0.0108983	0.0237859	0.0143548	0.0123031	0.0235752	0.707749	0.192083
b	0.00338795	0.0010976	0.00329378	0.000770405	0.0222832	0.0356199	0.0879396	0.0511614	0.0698237	0.093941	0.364335	0.266346
a	0.00485938	0.00771188	0.00693546	0.00489996	0.0145659	0.0472842	0.0792987	0.0542507	0.0483325	0.0207508	0.279674	0.431437
</S>	0.000146109	0.00037331	0.00257962	0.000340004	0.0150967	0.021661	0.0679934	0.0998593	0.0975275	0.15335	0.108266	0.432807
