 	de	vous	deux	qui	se	fatigue	avant	l'	autre	</S>
s	0.772487	0.136191	0.0383942	0.0098917	0.0178882	0.0175046	0.00282311	0.00423197	0.000344688	0.000243753
á	0.431283	0.0669685	0.107008	0.215504	0.0429707	0.0209742	0.0219196	0.0478492	0.0339053	0.0116178
b	0.509793	0.19439	0.0545882	0.213468	0.00956481	0.00555969	0.003672	0.00170552	0.00690489	0.000354337
í	0.181375	0.554487	0.131913	0.0341844	0.0280887	0.0113847	0.0178692	0.00614749	0.0144113	0.0201391
n	0.0839116	0.848179	0.0270451	0.00485854	0.0103961	0.00151368	0.00035514	0.00232428	0.00200417	0.0194125
í	0.496634	0.176412	0.0520928	0.0304601	0.0466995	0.00573704	0.00352025	0.0121408	0.0105471	0.165757
á	0.209465	0.167839	0.246886	0.208708	0.0795226	0.0306547	0.00142089	0.0284221	0.0026099	0.024471
b	0.0338953	0.0361264	0.220872	0.251711	0.118628	0.195891	0.0780371	0.0252733	0.00857106	0.0309954
a	0.0152535	0.0369606	0.257238	0.121155	0.261232	0.252102	0.0220258	0.0125635	0.00291713	0.0185521
á	0.0227429	0.0188579	0.242089	0.145063	0.210689	0.149613	0.0507846	0.0209649	0.0109291	0.128267
o	0.0207727	0.0481498	0.200999	0.222416	0.2484	0.197067	0.0100503	0.0233873	0.00211931	0.0266387
k	0.00104977	0.000186892	0.0311159	0.066712	0.0870263	0.242184	0.537787	0.0093355	0.0153595	0.0092428
ώ	0.00255126	0.00057789	0.0215085	0.0448112	0.0571538	0.345559	0.469499	0.00434287	0.0290903	0.024906
b	0.00151531	0.00168718	0.0128831	0.0687324	0.0832311	0.668863	0.0556422	0.0261485	0.0137741	0.0675235
h	0.081292	0.184145	0.0579035	0.0518412	0.0993619	0.352139	0.0426561	0.0551005	0.00701087	0.0685499
i	0.0309	0.0258797	0.022034	0.0887481	0.106628	0.245921	0.138148	0.0240673	0.0127804	0.304893
o	0.017089	0.0130838	0.0260537	0.048554	0.367442	0.329148	0.0174691	0.12039	0.00496757	0.0558027
b	0.00280233	0.000344851	0.0152028	0.0180372	0.0433388	0.0912886	0.668925	0.059774	0.0837375	0.0165494
o	0.0016105	0.000203915	0.00939889	0.00919458	0.0783114	0.253841	0.515983	0.0356562	0.0486237	0.0471767
s	0.000601175	0.000185039	0.00427535	0.0109096	0.0403431	0.142104	0.680399	0.0210269	0.0170083	0.0831481
ó	0.00218087	0.000253309	0.00251219	0.0146155	0.0320312	0.142518	0.411986	0.172736	0.116939	0.104227
n	0.00635621	0.00302519	0.014928	0.0451769	0.138892	0.104421	0.0239552	0.42047	0.0335729	0.209203
d	0.0356704	0.0201922	0.0134029	0.0309524	0.0303103	0.025859	0.00273886	0.156366	0.257693	0.426815
a	0.00775622	0.00566096	0.00702262	0.0180538	0.0083988	0.00854349	0.00778674	0.175437	0.298579	0.46276
</S>	0.000615147	0.000343361	0.00211442	0.0248428	0.0178968	0.0264997	0.00546719	0.210025	0.291877	0.420319
