 	les	petits	enfants	imitent	leurs	pères	</S>
b	0.534276	0.456378	0.00428296	0.0024347	0.00224805	0.000302504	7.80888e-05
á	0.257221	0.575253	0.115426	0.000451626	0.0507849	8.09794e-05	0.000781848
n	0.152582	0.803945	0.0338452	0.000180615	0.00915184	0.000139643	0.000156449
a	0.0913102	0.900113	0.00602104	0.000360963	0.0010464	3.71615e-05	0.00111136
b	0.325402	0.333746	0.252936	0.0200885	0.0408799	0.00203106	0.0249169
á	0.166987	0.353601	0.326793	0.00472114	0.111613	0.00026647	0.0360187
n	0.0793527	0.165431	0.666232	0.017198	0.0308776	0.00406437	0.0368436
d	0.192345	0.581043	0.117367	0.0143719	0.0272869	0.000422945	0.0671625
z	0.155935	0.388391	0.313261	0.0647241	0.00649872	0.0075573	0.0636335
é	0.239173	0.464189	0.0436793	0.226196	0.00188283	0.00333553	0.0215443
s	0.474158	0.286476	0.0622692	0.126167	0.00749313	0.00435147	0.0390846
i	0.491966	0.205022	0.135295	0.11868	0.00731403	0.00187663	0.039846
b	0.0425428	0.0333471	0.578543	0.25307	0.0616259	0.011765	0.0191067
á	0.339892	0.088015	0.43521	0.0109476	0.0984743	0.000579178	0.0268823
a	0.148282	0.154523	0.249324	0.0839172	0.304807	0.0156118	0.0435356
m	0.00239386	0.000984979	0.0467331	0.791081	0.0360226	0.0168956	0.105889
e	0.00301438	0.00387152	0.00722064	0.945258	0.0250248	0.00122894	0.0143813
s	0.000839026	8.29786e-05	0.00381278	0.955145	0.00299418	0.000432396	0.0366937
á	0.00145739	0.000195225	0.00214334	0.928197	0.00556198	0.00684899	0.0555957
á	0.00225647	0.0018832	0.0062984	0.178081	0.456691	0.0741497	0.28064
a	0.00418317	0.00402097	0.00730329	0.0437305	0.775615	0.129014	0.0361327
t	0.0223394	0.00738044	0.00840163	0.088192	0.381568	0.40212	0.0899987
á	0.00204422	0.000677333	0.00348629	0.0333576	0.0307934	0.750003	0.179638
á	0.00142445	0.000293947	0.00400462	0.0122958	0.114297	0.700421	0.167263
á	0.00232075	0.000619344	0.00380694	0.0030888	0.613231	0.24429	0.132643
b	0.0218651	0.00220024	0.00886119	0.0415749	0.198656	0.193846	0.532997
á	0.0172363	0.0192668	0.039682	0.0125044	0.452186	0.162254	0.29687
a	0.00254699	0.00203131	0.00674477	0.00333639	0.589651	0.199318	0.196372
</S>	0.00136764	0.000476558	0.00217879	0.00232637	0.287904	0.123061	0.582686
