 	il	est	brimé	par	son	chef	</S>
o	0.198774	0.280799	0.304878	0.116632	0.0679188	0.00387951	0.0271188
k	0.00669465	0.0210059	0.0412917	0.0292744	0.0237975	0.834688	0.0432476
o	0.0063724	0.0112799	0.0137204	0.0295038	0.0139689	0.852316	0.0728388
n	0.000780822	0.0127206	0.0220355	0.0235594	0.0293725	0.880085	0.0314465
d	0.116526	0.0783707	0.201216	0.0758307	0.0405491	0.404964	0.0825433
z	0.116152	0.0863493	0.167509	0.0419138	0.0106114	0.514468	0.0629968
i	0.095109	0.0717794	0.326771	0.0336528	0.0081952	0.397901	0.0665913
á	0.11791	0.12458	0.205749	0.12928	0.340698	0.0206448	0.061138
k	0.0146524	0.0177279	0.0331231	0.108456	0.405828	0.213867	0.206345
y	0.00159077	0.00564737	0.0228508	0.157948	0.581129	0.0419949	0.188838
e	0.0180663	0.0135394	0.0344761	0.191871	0.508783	0.164674	0.0685906
w	0.00706239	0.0297956	0.0690554	0.143461	0.188868	0.0775017	0.484257
á	0.0370297	0.0156867	0.0190262	0.13284	0.173488	0.0030081	0.618922
o	0.0270916	0.0127101	0.0178838	0.0680518	0.266366	0.0193656	0.588531
b	0.00195379	0.00495581	0.00708129	0.0576416	0.108979	0.182939	0.636449
e	0.00962232	0.0316915	0.0466242	0.252087	0.189408	0.0841791	0.386388
</S>	0.000122802	0.00155892	0.00386776	0.0375735	0.0531163	0.0466051	0.857156
