 	les	enfants	se	trouvent	dans	la	maison	</S>
b	0.370468	0.595282	0.0289243	0.0011054	0.00189341	0.00201332	0.000266937	4.67635e-05
á	0.0364919	0.951478	0.0109297	0.0003725	0.000219427	0.00044353	1.518e-05	4.99685e-05
n	0.0560772	0.906104	0.0318897	0.00308927	0.00128449	0.00066544	5.41952e-05	0.000836023
a	0.141731	0.824173	0.00888279	0.000856865	0.00132576	0.000811317	0.00201935	0.0201992
á	0.240561	0.0688957	0.458995	0.147686	0.0297589	0.0146966	0.00401173	0.0353946
d	0.0701476	0.00322562	0.383509	0.34827	0.1453	0.0207298	0.00476023	0.0240577
i	0.00391199	0.000287754	0.0591761	0.780879	0.110872	0.00485438	0.00172577	0.0382936
s	0.0257488	0.000640488	0.103759	0.41417	0.371689	0.0547411	0.00364752	0.0256036
á	0.00828072	0.000135484	0.0204097	0.373829	0.410244	0.144119	0.0256773	0.0173044
n	0.0273337	0.00210124	0.0589221	0.254839	0.169968	0.319283	0.118722	0.0488321
d	0.104919	0.00418239	0.0263598	0.0183795	0.0631245	0.051015	0.71243	0.0195903
é	0.0101027	0.00446307	0.00627608	0.0102089	0.0454112	0.036868	0.876494	0.0101757
e	0.0154514	0.000284637	0.0869942	0.0509963	0.312334	0.300848	0.149973	0.0831177
</S>	0.00252253	1.92415e-05	0.0244859	0.0275155	0.277292	0.449581	0.0652497	0.153334
