 	j'	ai	acheté	un	livre	de	cathéchisme	</S>
n	0.895159	0.0384811	0.000446751	0.0358607	0.00774513	0.0124996	0.00828179	0.0015255
g	0.861747	0.126105	0.00135968	0.00777601	0.000151311	0.000863022	0.00198014	1.77606e-05
á	0.835846	0.150998	0.0106202	0.00178731	7.77269e-05	0.000212007	0.000420153	3.83902e-05
í	0.100338	0.403128	0.0308802	0.0899524	0.00985943	0.0523857	0.0165527	0.296903
s	0.00149802	0.0260471	0.963672	0.00520275	0.0015558	0.000864218	0.00017447	0.000985402
ó	0.00416544	0.146705	0.844682	0.00199701	0.000990499	0.000325206	0.000337503	0.000797287
m	0.00767929	0.31294	0.540545	0.0385914	0.0397507	0.00937709	0.0457761	0.00534103
b	7.46233e-05	0.00387811	0.797952	0.0646469	0.117943	0.006654	0.00493221	0.00391946
i	0.0016182	0.0485031	0.0878754	0.643677	0.0703391	0.0461397	0.0196219	0.0822254
l	0.00617953	0.152169	0.0109062	0.610246	0.153356	0.0508064	0.00729904	0.00903775
e	0.00289946	0.0199629	0.0489594	0.209509	0.479885	0.0718318	0.0123136	0.154639
k	0.000473581	0.0415893	0.0722826	0.219575	0.512594	0.0400404	0.0231421	0.0903028
á	1.41751e-05	0.000198102	0.00219218	0.100446	0.875824	0.00964253	0.00529493	0.00638817
s	0.000208686	0.00292988	0.00736831	0.256252	0.573249	0.0449492	0.0140608	0.100982
i	2.951e-05	0.000833747	0.00406243	0.10096	0.864935	0.0115417	0.003217	0.0144206
l	2.69833e-05	0.00452087	0.00398336	0.156026	0.298773	0.428268	0.0386719	0.0697289
á	0.000422216	0.00183307	0.00090313	0.051724	0.128948	0.320962	0.0730191	0.422188
p	0.000812201	0.00838749	0.000737924	0.0153742	0.0698995	0.348854	0.500396	0.0555392
ó	3.18079e-05	0.000111322	6.84266e-05	0.0049899	0.314943	0.0700437	0.567252	0.0425594
s	1.65378e-05	0.000481169	0.00159844	0.0130273	0.479377	0.11243	0.230169	0.1629
á	1.02282e-05	0.000252411	0.00334009	0.0100011	0.504309	0.0970114	0.16692	0.218155
o	0.00022143	0.00126949	0.000319172	0.00806046	0.0105033	0.335219	0.272077	0.37233
y	1.46596e-05	0.00133612	0.00237684	0.00631977	0.0301456	0.151856	0.686047	0.121904
é	3.89756e-05	0.00249071	0.0584535	0.00433309	0.00895937	0.10256	0.74837	0.0747941
b	3.69539e-05	0.00103466	0.00300378	0.0018692	0.00300084	0.104991	0.4992	0.386863
h	5.89066e-06	0.000128249	0.000204177	0.0136457	0.0557678	0.344747	0.406738	0.178763
á	0.000136782	0.000195417	0.000730922	0.0171081	0.0344506	0.130878	0.483684	0.332816
n	7.09035e-05	0.0024936	0.000652593	0.0169326	0.00680527	0.164438	0.167558	0.641049
z	0.00275624	0.00324308	0.000985852	0.0247518	0.0111142	0.116439	0.481213	0.359496
a	0.0150311	0.00213232	0.00275624	0.00887623	0.00991474	0.108042	0.556656	0.296591
m	3.04937e-05	3.3502e-05	7.13965e-05	0.00164949	0.00271138	0.0710494	0.255709	0.668745
b	0.00409557	0.000649949	3.01442e-05	0.00970242	0.00173972	0.158503	0.656296	0.168983
é	0.00149801	0.00119444	0.000191757	0.0192017	0.00222255	0.0600418	0.596759	0.318891
</S>	0.000161583	0.00111983	0.000109277	0.0113095	0.0059848	0.167974	0.056986	0.756355
