 	celui	qui	pêche	dans	mon	étang	doit	payer	</S>
o	0.675798	0.282995	0.0135249	0.0185852	0.00479133	0.00162599	0.00255412	7.52696e-05	5.02645e-05
l	0.173281	0.342425	0.435254	0.0301547	0.00680034	0.00788521	0.0017049	0.00131664	0.00117882
ώ	0.051872	0.111823	0.728097	0.0352004	0.00365296	0.0184528	0.00285131	0.0370275	0.0110234
b	0.105167	0.183752	0.536715	0.0461821	0.00655621	0.0390634	0.005336	0.0459584	0.0312695
h	0.0467768	0.0607748	0.617177	0.0774954	0.0135138	0.00531249	0.0264407	0.00258917	0.14992
i	0.212085	0.151695	0.413706	0.123328	0.0419192	0.00749969	0.00876061	0.00115301	0.0398542
s	0.0584219	0.192917	0.150839	0.489267	0.0316778	0.0237392	0.0217984	0.000485059	0.0308551
á	0.0498672	0.0812476	0.0182869	0.119836	0.470616	0.228172	0.0117742	0.000269114	0.0199311
e	0.0221431	0.0129158	0.00344789	0.122899	0.161551	0.646873	0.0193067	0.000913918	0.00994921
t	0.00439612	0.00898104	0.0285789	0.270252	0.270888	0.333454	0.04222	0.020198	0.0210326
ó	0.00410528	0.00801562	0.0193986	0.13245	0.0413029	0.668718	0.0625877	0.0182764	0.0451447
n	0.00215895	0.00359676	0.0338791	0.0821814	0.0194509	0.787309	0.0345112	0.013023	0.0238899
g	0.0146207	0.026647	0.0497433	0.114023	0.0846394	0.555106	0.0632157	0.0284644	0.0635412
o	0.00207557	0.00318542	0.00254577	0.00519883	0.0564883	0.89412	0.0114964	0.00241703	0.0224731
y	0.00741776	0.0154802	0.00381753	0.0696619	0.215743	0.193604	0.445085	0.00704564	0.0421446
á	0.0712594	0.0400286	0.00213032	0.128442	0.340355	0.230933	0.150453	0.00944816	0.0269502
n	0.00622733	0.00523006	0.00104622	0.095783	0.352025	0.161316	0.333333	0.0318317	0.0132069
g	0.000338646	0.000636924	0.000103053	0.00395525	0.876514	0.0817156	0.0307037	0.000224725	0.00580786
á	0.00155584	0.00566714	0.000559028	0.00515406	0.547272	0.221728	0.119811	0.0162743	0.0819786
l	0.00108827	0.00158226	0.000707306	0.00806262	0.0741975	0.0159491	0.79169	0.0435372	0.0631863
á	0.00301062	0.00394872	0.00847372	0.0144015	0.0438172	0.0125908	0.280017	0.108038	0.525703
a	0.00238976	0.00317372	0.00385259	0.0417174	0.104653	0.023441	0.320296	0.169091	0.331385
f	0.000790844	0.00301465	0.00855308	0.00600145	0.00419647	0.00493428	0.0259238	0.770363	0.176222
u	8.85548e-05	0.000918969	0.0183104	0.00337704	0.000742084	0.000827389	0.00835264	0.925881	0.0415023
r	3.84012e-05	7.15608e-05	0.00118945	0.00264919	0.000354035	0.000507339	0.000868802	0.959927	0.0343942
a	0.00874826	0.015185	0.00272884	0.0631053	0.217836	0.0364498	0.0985603	0.274399	0.282987
</S>	0.000603334	0.00209952	0.000807446	0.00883832	0.0734495	0.00731276	0.155768	0.054637	0.696484
