 	aucun	homme	n'	est	venu	hier	</S>
l	0.930398	0.0283735	0.00815721	0.0092459	0.0216248	0.000590799	0.00160988
a	0.388739	0.166244	0.217352	0.130697	0.036189	0.00348437	0.0572948
a	0.506953	0.283107	0.115129	0.0373575	0.0225276	0.00292533	0.0320008
p	0.208109	0.138734	0.0716687	0.0934162	0.0578399	0.00761675	0.422616
ó	0.106239	0.194139	0.176378	0.110827	0.0336159	0.0527505	0.32605
a	0.225811	0.335073	0.191365	0.0538797	0.0236238	0.00800975	0.162238
s	0.0464811	0.584241	0.146627	0.0940996	0.0234203	0.00202906	0.103101
i	0.00789884	0.264051	0.351202	0.141437	0.0473686	0.006562	0.18148
i	0.129131	0.341198	0.208961	0.134656	0.0743434	0.00751783	0.104193
b	0.158269	0.274467	0.176445	0.146646	0.102947	0.0277289	0.113496
a	0.371675	0.295435	0.155924	0.103828	0.0397456	0.0111389	0.022253
a	0.139429	0.218214	0.199291	0.176834	0.0505293	0.00355041	0.212152
i	0.0261981	0.122676	0.11646	0.390252	0.203635	0.00577066	0.135008
p	0.00866365	0.0726537	0.110794	0.135622	0.237227	0.317945	0.117095
ω	0.00568355	0.0569204	0.153439	0.175574	0.137961	0.360241	0.110181
ώ	0.00607839	0.050196	0.144968	0.254545	0.234979	0.152784	0.156449
í	0.00612799	0.0287269	0.0288175	0.167122	0.373569	0.0655443	0.330092
d	0.0234241	0.0528288	0.0682664	0.103186	0.387916	0.083931	0.280448
z	0.000870123	0.0129435	0.0151997	0.033696	0.0769868	0.0416234	0.818681
e	0.00304999	0.10595	0.204427	0.204666	0.0755037	0.200755	0.205649
ω	0.00167151	0.00776965	0.0204748	0.140097	0.338869	0.126671	0.364448
y	0.0306231	0.0522015	0.0335071	0.0475924	0.185301	0.353448	0.297327
a	0.000382827	0.0143094	0.0347664	0.023036	0.151678	0.247358	0.528468
a	9.73151e-05	0.00318744	0.00362905	0.0100783	0.0458426	0.0425209	0.894644
k	0.00115798	0.012167	0.0143139	0.0901441	0.0929566	0.0266515	0.762609
a	0.0130548	0.00989776	0.019346	0.0520343	0.29922	0.184292	0.422156
á	0.00112976	0.00231571	0.0025954	0.0151446	0.050649	0.0377118	0.890454
</S>	0.0130623	0.0584844	0.0282566	0.10187	0.0521186	0.0226634	0.723545
