 	l'	enseignant	a	classé	les	élèves	en	groupes	</S>
o	0.961239	0.0341883	0.00150403	5.29069e-05	0.00233955	0.000187649	0.000150786	0.000328357	9.79285e-06
y	0.0261761	0.954191	0.0112215	0.00591013	9.26814e-05	0.000122486	8.88676e-05	0.0017079	0.000489392
é	0.337496	0.62645	0.0152398	0.0126473	0.0024171	1.93243e-05	0.000658573	0.00384206	0.00122942
s	0.0368208	0.836858	0.0427932	0.0328716	0.00803341	0.000343449	0.00586259	0.0132482	0.0231685
i	0.32287	0.409595	0.19989	0.031208	0.00749388	0.00206639	0.00532095	0.00553128	0.0160252
i	0.131054	0.0594917	0.624059	0.0787055	0.0485172	0.0233145	0.0111085	0.00110092	0.0226488
á	0.0162957	0.0017218	0.631802	0.278799	0.0263044	0.00226247	0.0164763	0.00146259	0.0248761
b	0.000715104	0.00324393	0.0478304	0.898391	0.0156253	0.0203269	0.0061827	0.00270072	0.00498343
h	0.00138705	0.000247109	0.0242603	0.900279	0.0202792	0.031339	0.0170392	0.000360243	0.00480913
i	0.00892822	0.00162582	0.0183269	0.939117	0.0205741	0.00758911	0.0031817	0.000226961	0.00042986
i	0.00900548	0.00052111	0.0494308	0.626808	0.165937	0.0455723	0.0390058	0.0118818	0.0518377
b	0.0036492	5.67984e-05	0.00918769	0.00326751	0.451553	0.441391	0.0587355	0.00618451	0.0259748
á	0.000630253	1.5047e-05	0.000615227	0.00187502	0.0530533	0.912954	0.0178378	0.00517197	0.00784699
n	0.00406066	2.75784e-05	0.00159664	0.000909819	0.0856293	0.845498	0.0390158	0.00580688	0.0174552
a	0.00393946	0.000147586	0.000998629	0.000985783	0.179011	0.735997	0.0339668	0.0081021	0.0368517
m	0.000808215	4.47311e-05	0.0378882	0.0112778	0.275424	0.124008	0.525471	0.00453579	0.0205422
í	0.00285764	0.000128117	0.00594972	0.00579552	0.0348876	0.0113629	0.373962	0.0376054	0.527451
k	0.00154474	0.000829296	0.00303322	0.00898096	0.00928324	0.0164315	0.267284	0.532875	0.159738
u	9.50862e-05	7.72652e-05	0.000155432	0.00300033	0.000933877	0.00100672	0.0164048	0.943358	0.0349684
n	0.000813705	0.000313228	0.000253755	0.00574841	0.00615346	0.000900444	0.0164426	0.927061	0.0423134
g	0.00301581	0.000113625	0.000451733	0.00299568	0.00915074	0.000593028	0.0188876	0.895273	0.0695185
a	0.0006751	1.30825e-05	0.000227597	0.000343967	0.017271	0.00922395	0.0100511	0.853471	0.108723
</S>	0.00252457	0.000138342	0.00217128	0.00220355	0.00896047	0.000403141	0.0831895	0.104424	0.795985
