 	il	se	promène	dans	le	village	</S>
w	0.879222	0.109295	0.0018655	0.00304184	0.00278583	0.0029612	0.000828508
a	0.905594	0.076408	0.00135975	0.00766462	0.00787431	0.000919909	0.00017914
l	0.335835	0.630121	0.0227849	0.00559814	0.00290773	0.000224564	0.00252869
á	0.0783232	0.298135	0.0656657	0.089167	0.0935159	0.00147731	0.373716
a	0.377896	0.308407	0.0967805	0.0333811	0.0888252	0.00180957	0.0929007
b	0.00598657	0.239509	0.727912	0.0186952	0.00260943	0.00178371	0.0035034
h	0.00485873	0.0654085	0.913624	0.0139432	0.0013341	3.30488e-05	0.000798757
é	0.000588214	0.0161866	0.973672	0.00767631	0.00141824	8.40612e-05	0.000374646
m	0.0587776	0.19067	0.655963	0.0683421	0.0169402	0.00135946	0.00794728
b	0.00757368	0.0372178	0.374732	0.270746	0.0708729	0.0027306	0.236126
á	0.0345734	0.0463979	0.384871	0.244311	0.0828023	0.00113072	0.205913
s	0.0144769	0.007598	0.010638	0.376565	0.573619	0.0103116	0.00679222
á	0.012396	0.00926391	0.0382913	0.158231	0.67938	0.00904207	0.0933957
p	0.047024	0.00905921	0.0117447	0.0565738	0.309051	0.536562	0.0299853
o	0.00392645	0.00130371	0.00282183	0.0162045	0.0155426	0.954801	0.00540001
o	0.000638551	0.00171942	0.00936432	0.103774	0.0555329	0.802702	0.0262685
</S>	0.000210999	0.00092242	0.00179175	0.121218	0.168736	0.0739139	0.633206
