 	donne-	lui	de	l'	eau	dans	ce	gobelet	rouge	</S>
p	0.354776	0.2205	0.193833	0.13059	0.0426495	0.0313461	0.0208897	0.0035356	0.00169038	0.000190066
έ	0.491278	0.137627	0.0741055	0.0838239	0.0624032	0.0337967	0.025225	0.0751861	0.0133587	0.00319622
w	0.0264353	0.171177	0.303705	0.21421	0.0618884	0.0590201	0.0115658	0.0285238	0.0221563	0.101318
a	0.090373	0.279385	0.201058	0.114495	0.0316426	0.0510358	0.0116256	0.0111332	0.0360499	0.173202
m	0.0341803	0.123924	0.306234	0.169351	0.074281	0.0332997	0.0128224	0.00163262	0.00641197	0.237863
á	0.103486	0.150778	0.077873	0.224694	0.322915	0.0306951	0.0504889	0.00100739	0.0182463	0.0198163
a	0.0204159	0.0720443	0.155924	0.233136	0.374006	0.0549646	0.0412004	0.0166902	0.00724425	0.0243742
m	0.0040795	0.0138528	0.0634984	0.110925	0.284171	0.368573	0.0500263	0.0666434	0.00732358	0.0309069
ó	0.00176685	0.0106758	0.0303502	0.108211	0.445888	0.117613	0.215017	0.0186742	0.0133716	0.0384324
k	0.00721694	0.00943243	0.0491823	0.139033	0.108983	0.198369	0.146796	0.25484	0.0429926	0.0431549
ώ	0.000370757	0.00161059	0.0132235	0.0285229	0.0294894	0.141574	0.0303287	0.661864	0.042333	0.0506825
b	0.000867268	0.0111431	0.0980806	0.120845	0.0624126	0.0712817	0.042452	0.505963	0.0597869	0.0271685
h	0.00378309	0.0252018	0.0257901	0.0433819	0.0411263	0.104535	0.0445568	0.478961	0.0397706	0.192894
i	0.00104024	0.0236944	0.050526	0.0980196	0.0383346	0.0529637	0.052762	0.426647	0.152131	0.103882
y	0.00210208	0.00834215	0.0152973	0.0279097	0.0202293	0.127227	0.481585	0.0713707	0.15755	0.0883874
a	0.00882137	0.014571	0.0373704	0.0477914	0.0132814	0.0309956	0.128773	0.00655494	0.548421	0.16342
t	0.00159792	0.00160027	0.0074305	0.0112621	0.00413464	0.0079391	0.0687341	0.00761026	0.841159	0.0485321
s	0.00162894	0.00294204	0.0101482	0.0102127	0.00740975	0.0195008	0.0239585	0.047518	0.798085	0.0785964
ω	0.000333909	0.00123939	0.00301526	0.00421398	0.00117998	0.017327	0.0286624	0.058939	0.815329	0.0697598
w	0.000192201	0.00249334	0.00419364	0.00532641	0.00209621	0.0123714	0.0441218	0.0495326	0.697299	0.182374
ú	0.01904	0.0708914	0.034309	0.0319581	0.0317407	0.0558715	0.0489059	0.0819736	0.476362	0.148948
u	0.00144123	0.00303715	0.00615079	0.00903794	0.00171364	0.0298225	0.132446	0.0138479	0.283916	0.518587
</S>	0.0120874	0.0221665	0.0495285	0.0259445	0.00820748	0.0878292	0.0525796	0.0101968	0.145764	0.585696
