 	il	apporta	un	beau	cabri	à	ses	beaux-parents	</S>
w	0.937704	0.013067	0.00363209	0.0176775	0.0108364	0.011431	0.00366915	0.00188659	9.58552e-05
a	0.817043	0.0118759	0.0100496	0.0308424	0.111728	0.011558	0.00534282	0.00153496	2.48425e-05
a	0.247415	0.428395	0.0897231	0.0304261	0.0237156	0.0831039	0.0310695	0.00344607	0.0627059
b	0.06314	0.789014	0.0705867	0.0195057	0.0110123	0.0105483	0.00995003	0.00637173	0.0198712
é	0.0199768	0.885134	0.042118	0.0343533	0.00371239	0.00357345	0.0043291	0.00158019	0.00522262
r	0.0196566	0.508878	0.195976	0.0433953	0.00969393	0.0204094	0.033726	0.0141837	0.154081
í	0.0629613	0.156707	0.332304	0.0170147	0.0138276	0.0238817	0.0323146	0.000432997	0.360556
a	0.0356945	0.267561	0.409676	0.16358	0.0523177	0.0249787	0.0155146	0.00824649	0.0224299
b	0.00838679	0.12488	0.592955	0.20036	0.0244659	0.0146905	0.0118963	0.00940569	0.0129599
v	0.000886272	0.0609008	0.182621	0.708262	0.0330414	0.0066215	0.00236565	0.00393502	0.00136622
ú	0.000328711	0.0804145	0.0488373	0.812198	0.0418047	0.00800405	0.00480101	0.00222998	0.00138209
ε	0.00171213	0.0193266	0.259719	0.594557	0.0463039	0.0395277	0.013641	0.0054349	0.0197781
ε	0.00376318	0.00697107	0.316735	0.503039	0.0198006	0.091487	0.0271807	0.00952151	0.021502
b	0.00302119	0.0175125	0.335879	0.294124	0.104308	0.14466	0.0524205	0.0149783	0.033096
v	0.000938224	0.0397099	0.14131	0.669202	0.0381164	0.0339765	0.0225389	0.0359936	0.0182137
έ	0.000210173	0.0220329	0.0459869	0.773448	0.0485319	0.0369229	0.0252791	0.0394666	0.00812191
y	0.000550536	0.00268468	0.0933354	0.209125	0.0148367	0.189014	0.111275	0.0201321	0.359047
á	0.0314569	0.00705182	0.218401	0.0632584	0.0399114	0.295446	0.151801	0.00321103	0.189463
m	0.0159723	0.00046836	0.0332086	0.024566	0.085498	0.469655	0.206832	0.103349	0.0604508
b	0.00358548	0.00144995	0.0135629	0.0213692	0.492415	0.0844589	0.144055	0.000930762	0.238173
ó	5.99589e-05	0.000339408	0.00362653	0.0118902	0.942848	0.0139328	0.0140419	0.00154796	0.0117134
s	0.000164691	0.00372257	0.0107934	0.0310972	0.896034	0.0122039	0.0141132	0.0107793	0.0210921
i	0.00954396	0.00195621	0.0264332	0.0171814	0.445624	0.192513	0.0776071	0.0111001	0.218041
</S>	0.00282276	0.00164846	0.0111851	0.010484	0.0067984	0.195444	0.208771	0.0478269	0.515019
