 	il	l'	a	rangé	au-dessous	</S>
w	0.787494	0.182757	0.023152	0.00398933	0.00248967	0.000118203
a	0.869687	0.0706273	0.0207961	0.0350526	0.00344281	0.000394209
á	0.20131	0.689679	0.0945092	0.00555834	0.00368691	0.00525567
k	0.0467546	0.677562	0.226327	0.0149773	0.00543389	0.0289452
a	0.051328	0.297494	0.492907	0.00874163	0.00639011	0.143139
n	0.00321434	0.174252	0.801121	0.0102082	0.00399519	0.00720882
i	0.0705319	0.28385	0.586433	0.0142974	0.0102129	0.0346747
m	0.216551	0.207776	0.270304	0.177729	0.109244	0.0183955
ú	0.00371914	0.00593139	0.0294943	0.926977	0.010265	0.0236134
a	0.00244468	0.0161168	0.1971	0.756939	0.00826848	0.0191307
m	0.00905892	0.0187129	0.210681	0.083486	0.324643	0.353418
ó	0.00128631	0.00323875	0.0332001	0.0269919	0.293503	0.64178
t	0.00289609	0.00674536	0.0299725	0.0529775	0.744246	0.163163
s	0.00150286	0.00485012	0.00887639	0.00165545	0.930886	0.0522289
é	0.000431658	0.00106699	0.00347119	0.000915795	0.919925	0.074189
</S>	0.00021288	0.000882179	0.00329308	0.000669408	0.562283	0.432659
