 	cela	a	l'	apparence	d'	un	homme	mais	c'	est	un	esprit	</S>
e	0.461473	0.424484	0.0652996	0.00877199	0.00734409	0.00499962	0.00899154	0.00500055	0.00539014	0.00194505	0.00575312	0.00029862	0.000248773
d	0.0224528	0.639965	0.0467603	0.0235618	0.00361292	0.00429632	0.00374317	0.0264024	0.00551701	0.016144	0.0401359	0.162589	0.00481941
í	0.0187582	0.222236	0.0746055	0.312077	0.0203	0.0228763	0.00652973	0.0385537	0.00690783	0.00490924	0.00981513	0.233398	0.0290329
m	0.00599294	0.0436079	0.10722	0.369041	0.0283016	0.0144353	0.00661166	0.0083407	0.00744298	0.0089535	0.0185238	0.1931	0.188428
b	0.0234933	0.0629111	0.185408	0.426973	0.105209	0.0773323	0.0428556	0.0339377	0.013737	0.00435175	0.0016727	0.000994461	0.0211245
v	0.0151295	0.0266325	0.091488	0.5824	0.0440978	0.0452297	0.0428687	0.0211223	0.0043642	0.00312757	0.00284368	0.00210372	0.118592
a	0.0085785	0.0144445	0.0580274	0.566167	0.0533273	0.0613709	0.0280174	0.0211492	0.00319278	0.00271272	0.00286338	0.0048059	0.175343
l	0.00779075	0.0118613	0.0885247	0.33093	0.112366	0.075539	0.106995	0.0398226	0.0183634	0.0125389	0.00584968	0.014252	0.175167
a	0.0211892	0.0287776	0.0621902	0.1035	0.166602	0.199107	0.0722011	0.107334	0.0257322	0.0164153	0.011472	0.0129953	0.172483
m	0.0151283	0.00643945	0.0191715	0.00795633	0.169539	0.275727	0.25552	0.102122	0.0847581	0.0135029	0.0233322	0.00329169	0.0235119
o	0.0143426	0.00692712	0.0148323	0.00338862	0.0259395	0.20203	0.320387	0.0940274	0.0774908	0.0202306	0.0257573	0.00390519	0.190742
r	0.0191022	0.0486158	0.0326712	0.00461838	0.0359097	0.100611	0.114695	0.24583	0.109192	0.0244452	0.147747	0.0484623	0.0681005
o	0.012989	0.0353364	0.0400359	0.0136848	0.0378663	0.186	0.136165	0.342661	0.0987011	0.0067578	0.0145342	0.0132383	0.0620307
n	0.00366629	0.00525225	0.00865328	0.00187214	0.00838172	0.125827	0.112883	0.441228	0.157638	0.00633252	0.0238803	0.0127033	0.0916826
d	0.00634549	0.0128807	0.020321	0.0124416	0.0241399	0.0645381	0.0453037	0.389262	0.14141	0.0163257	0.0302959	0.0197836	0.216953
z	0.00118847	0.00361418	0.00575064	0.00411522	0.00563463	0.0274447	0.02383	0.364743	0.135427	0.0533037	0.0516765	0.0898827	0.23339
á	0.000313283	0.00204034	0.00309567	0.00320036	0.00641693	0.0403169	0.0243372	0.553645	0.0637603	0.036557	0.0321932	0.0788609	0.155263
á	0.00249182	0.0020808	0.00858795	0.00421023	0.0238175	0.0201728	0.0384887	0.101953	0.215432	0.0864313	0.124255	0.0261487	0.34593
é	0.00331135	0.00452515	0.0190678	0.00314141	0.0191317	0.012698	0.0109083	0.0259034	0.132267	0.270433	0.331772	0.0606377	0.106203
d	0.00298064	0.00484296	0.0134955	0.0133112	0.0287686	0.0101087	0.00432689	0.0101926	0.0142245	0.137226	0.36696	0.272726	0.120837
í	0.000313512	0.00131722	0.00755422	0.0107835	0.0200528	0.00993754	0.00349414	0.00681792	0.011199	0.126514	0.12838	0.357231	0.316405
o	0.00214963	0.000829935	0.00704358	0.00304308	0.0151646	0.00932319	0.00828401	0.0214207	0.0557585	0.223771	0.386135	0.117899	0.149178
k	0.000107894	0.000440247	0.0029648	0.0109027	0.00447472	0.00373481	0.00177657	0.00261858	0.00115005	0.00833008	0.0650292	0.787859	0.110612
w	1.01815e-05	6.94737e-05	0.000559439	0.0161688	0.00120822	0.00132006	0.000589826	0.00107405	0.000758795	0.0140123	0.0829264	0.808821	0.0724817
é	0.000634951	0.00125378	0.00280546	0.0149342	0.00646159	0.00723764	0.00539015	0.0154921	0.00713294	0.0585152	0.079745	0.46937	0.331027
</S>	4.29082e-05	2.39855e-05	0.000320881	0.00363147	0.00262062	0.00444065	0.00321304	0.0078831	0.0110516	0.0836591	0.122762	0.31434	0.446011
