 	les	aubergines	sont	cuites	</S>
t	0.63393	0.326657	0.0369164	0.0010035	0.00149355
s	0.49042	0.471186	0.0245243	0.00991737	0.00395291
a	0.208841	0.772237	0.00239684	0.00546142	0.0110636
n	0.161675	0.552158	0.0141257	0.0100728	0.261969
g	0.298941	0.507844	0.0367257	0.00731523	0.149173
í	0.129266	0.807895	0.0110916	0.00386972	0.0478779
é	0.0916651	0.149069	0.672351	0.0378982	0.0490157
m	0.0315578	0.0607348	0.426821	0.329765	0.151121
i	0.0422356	0.00275926	0.188521	0.476389	0.290095
s	0.00283848	0.00194164	0.0121072	0.728724	0.254389
á	0.00502721	0.00231038	0.0173687	0.795077	0.180216
á	0.0162982	0.00364747	0.0685165	0.374578	0.53696
o	0.0284294	0.0237222	0.32714	0.318766	0.301943
b	0.0184815	0.00394672	0.0159968	0.753879	0.207696
h	0.0340702	0.00351378	0.0934676	0.684591	0.184357
í	0.0161197	0.000703678	0.0142483	0.371883	0.597046
a	0.0018221	0.000918995	0.00466222	0.0378359	0.954761
</S>	0.0737328	0.0167874	0.137249	0.10627	0.66596
