 	si	je	vends	ma	parcelle	qui	boudera	contre	moi	</S>
w	0.92938	0.0242471	0.0216268	0.00702811	0.0119574	0.00234746	0.000977025	0.00230964	0.000112651	1.38712e-05
á	0.909769	0.0413107	0.00386679	0.0274515	0.00274325	0.00352425	0.000506283	0.00717724	0.00363321	1.82344e-05
á	0.287383	0.201519	0.0913343	0.0535124	0.101019	0.035185	0.0637226	0.0237977	0.0280463	0.114481
n	0.329085	0.50469	0.0282672	0.0237286	0.00615375	0.0149048	0.00500922	0.0114265	0.00743694	0.0692984
g	0.217375	0.688073	0.000823737	0.048798	0.00258044	0.00529564	9.47475e-05	0.00512626	0.0227752	0.00905804
á	0.0283125	0.850944	0.0104594	0.049148	0.00418991	0.003684	0.000526362	0.00556958	0.0391788	0.00798716
i	0.0454903	0.265572	0.146771	0.15626	0.0450047	0.0707042	0.0170881	0.0751427	0.0277529	0.150214
k	0.0154709	0.0904789	0.802124	0.0304053	0.0227336	0.00728437	0.0127773	0.00224959	0.00137571	0.0151004
i	0.0019701	0.00629898	0.951932	0.00272311	0.00927794	0.00312733	0.0164264	0.00145891	0.00212729	0.00465761
r	0.00155107	0.00825657	0.920009	0.0175204	0.0252795	0.00585321	0.0090052	0.00217144	0.00111894	0.00923464
í	0.0165483	0.0176128	0.705431	0.0526308	0.131651	0.00624656	0.010876	0.00647846	0.00172156	0.0508029
e	0.0539066	0.19478	0.104537	0.386065	0.12685	0.0706101	0.00410417	0.0246404	0.00494498	0.0295626
f	0.0119198	0.0173447	0.172601	0.244416	0.335067	0.0678263	0.0488888	0.013731	0.0124887	0.0757173
u	0.00506726	0.00267808	0.233887	0.0689684	0.367339	0.109078	0.0898419	0.0255063	0.0369453	0.0606893
n	0.000774474	0.00173421	0.124394	0.0508065	0.45008	0.0352639	0.141323	0.0135117	0.0102642	0.171849
d	0.00738915	0.00427572	0.0626306	0.0697119	0.688197	0.024623	0.0364433	0.0146876	0.00582486	0.0862166
u	0.00938884	0.0142091	0.052533	0.155942	0.617417	0.0392141	0.0151057	0.0160448	0.0135118	0.0666338
y	0.0067626	0.0197064	0.025568	0.161423	0.298839	0.394808	0.0430732	0.0291822	0.00190883	0.0187283
á	0.00510751	0.0253351	0.00527548	0.393685	0.267617	0.175238	0.0369026	0.04408	0.0261083	0.0206511
n	0.0144867	0.0189176	0.00208828	0.30195	0.11645	0.204164	0.104613	0.134246	0.0942032	0.00888159
g	0.00757978	0.0191293	0.000310121	0.420909	0.0584638	0.111774	0.00524798	0.0919537	0.265435	0.0191971
á	0.00902935	0.0390731	0.000660346	0.247832	0.106602	0.126386	0.024246	0.0784085	0.310655	0.0571071
o	0.0010051	0.00199169	0.00117609	0.0276792	0.0528752	0.428362	0.062223	0.347609	0.045631	0.0314475
f	3.6781e-05	0.000424061	0.00387534	0.00173742	0.00531862	0.0373234	0.903557	0.0291804	0.00862072	0.00992618
u	8.15089e-05	0.000492466	0.0112788	0.0031382	0.013887	0.0742461	0.748005	0.055154	0.0176335	0.0760837
u	0.000147541	0.000109427	0.00087169	0.00177165	0.0101812	0.0189314	0.899165	0.0211929	0.0023801	0.0452492
n	0.000126116	0.000434758	0.0012346	0.00451413	0.0186054	0.142851	0.156962	0.402774	0.0482266	0.224272
g	0.000675043	0.000669179	0.000403844	0.0199923	0.0488283	0.102736	0.127952	0.387397	0.159112	0.152235
u	0.00117969	0.000805267	0.000127723	0.0233892	0.0682989	0.0552634	0.0432708	0.268304	0.435717	0.103643
l	0.000141824	0.000590475	0.000243611	0.00576155	0.00979197	0.086155	0.0301852	0.445921	0.104462	0.316748
a	0.00179113	0.00363973	0.00214124	0.00842524	0.0228214	0.0702508	0.0246218	0.178926	0.179364	0.508019
n	0.000485188	0.000842947	0.000297718	0.00385828	0.00415894	0.0244072	0.0102666	0.222112	0.370053	0.363518
g	0.00179238	0.00861752	0.000135476	0.0246823	0.00548376	0.0119827	0.00272412	0.0741862	0.793641	0.0767547
á	0.000643177	0.00267941	6.29167e-05	0.00618544	0.00422522	0.0103636	0.00273093	0.0488687	0.766204	0.158036
n	0.00052612	0.000643355	0.000547203	0.00344048	0.00610402	0.0189947	0.00985312	0.286924	0.354222	0.318745
d	0.000863614	0.0034199	0.000349576	0.00820376	0.00858058	0.0139512	0.00552665	0.0608468	0.500959	0.397299
a	0.00033571	0.00134209	0.000182142	0.00345754	0.0062599	0.00391447	0.00681908	0.0338699	0.36472	0.579099
</S>	4.48423e-05	0.000124598	0.000546131	0.00136603	0.0147802	0.0219482	0.0339267	0.0483971	0.110583	0.768283
