 	il	va	te	poser	ce	problème	aujourd'	hui	</S>
w	0.59457	0.338764	0.0336275	0.000392628	0.00488662	0.00987224	0.0142622	0.00326109	0.000364076
a	0.450251	0.153238	0.190794	0.0031169	0.0711712	0.0477329	0.0677299	0.015095	0.000871424
l	0.162198	0.462988	0.156691	0.0525405	0.109604	0.0152595	0.0348379	0.000705084	0.00517631
á	0.0733913	0.112406	0.0748352	0.0358607	0.132824	0.0488603	0.0851851	0.0107465	0.425891
a	0.213114	0.270081	0.279536	0.0464099	0.0438629	0.0156692	0.0287858	0.0160622	0.0864777
m	0.0206816	0.115715	0.0372254	0.752377	0.0202282	0.018646	0.00661354	0.00195581	0.0265569
a	0.00266874	0.020753	0.00195358	0.937801	0.0166552	0.0139694	0.00139668	0.000123719	0.00467899
á	0.0238882	0.0526303	0.0115761	0.799123	0.0625908	0.0164777	0.0072016	0.000100783	0.0264112
n	0.0387513	0.0235078	0.305682	0.0465554	0.400873	0.0688558	0.0855762	0.0171842	0.0130142
ω	0.0364268	0.0197408	0.781787	0.0609602	0.0798292	0.00642639	0.00516602	0.000411515	0.00925219
i	0.0152753	0.0197041	0.12872	0.0594046	0.503741	0.12855	0.10605	0.00202042	0.0365341
b	0.00975718	0.00454862	0.0434954	0.054039	0.192465	0.323995	0.216862	0.0660098	0.0888281
h	0.0063134	0.0032478	0.00349175	0.0476836	0.0324096	0.604275	0.0659393	0.21098	0.0256598
ώ	0.00243046	0.00316173	0.00312686	0.118131	0.0432725	0.673039	0.0614601	0.0425613	0.052817
ω	0.00565284	0.00272497	0.01883	0.00716597	0.200029	0.273192	0.425494	0.025663	0.0412475
d	0.00242925	0.00132424	0.00509034	0.00916772	0.119979	0.334406	0.366163	0.058447	0.102994
í	0.00587047	0.00493087	0.002229	0.0378706	0.149036	0.176044	0.216876	0.0274299	0.379712
i	0.00490625	0.00314383	0.00850289	0.0160791	0.112567	0.10033	0.282443	0.238807	0.23322
p	0.00288961	0.00322478	0.0037168	0.0253802	0.0761954	0.106772	0.242566	0.229169	0.310087
á	0.00217836	0.00289702	0.00100782	0.00134864	0.0289216	0.0766225	0.15735	0.587154	0.14252
b	0.00115911	0.000741325	0.000811938	0.000521277	0.0106924	0.0358222	0.0453407	0.73521	0.169701
h	0.00199022	0.000178801	0.000637938	0.00041688	0.0115918	0.0538881	0.0690791	0.56643	0.295787
a	0.00358835	0.00320782	0.000427711	0.00207237	0.0151331	0.0854724	0.0894038	0.251847	0.548847
</S>	0.00107703	0.00137208	0.000781633	0.00369001	0.0538648	0.0773432	0.210225	0.0420259	0.60962
