 	la	nuit	la	blancheur	de	l'	habit	du	prêtre	me	fait	peur	</S>
p	0.158293	0.275777	0.146774	0.184691	0.173891	0.03931	0.00608848	0.0122965	0.00174054	0.000479588	0.000500779	0.000136115	2.13994e-05
f	0.0179373	0.134483	0.033463	0.784431	0.0115924	0.0072297	0.00583065	0.00250288	0.00153466	0.000247199	0.000204582	0.00045345	9.03247e-05
ú	0.0123323	0.186991	0.0568002	0.583231	0.0376132	0.0162764	0.0654157	0.015618	0.0229338	0.000183444	0.000495258	0.00165973	0.000449624
ú	0.0168667	0.0601333	0.108784	0.673997	0.0715424	0.0216094	0.0197849	0.0162719	0.00868591	8.46016e-05	0.000440659	0.00117105	0.000627391
y	0.127975	0.0447275	0.531883	0.11524	0.111981	0.0275663	0.00768503	0.0054979	0.00167774	0.000874322	0.00436785	0.000751879	0.0197721
ó	0.290152	0.0164663	0.140342	0.0392877	0.175708	0.114148	0.0250534	0.0600926	0.0294729	0.0274022	0.0359971	0.00356576	0.0423113
k	0.24903	0.0207977	0.128597	0.0868995	0.0501798	0.0928573	0.0988374	0.0712415	0.0876363	0.04688	0.028272	0.00725143	0.031519
á	0.0362268	0.0353183	0.0403281	0.260311	0.0230558	0.0386786	0.423022	0.027943	0.100737	0.00092993	0.00103363	0.00767367	0.00474234
n	0.0251899	0.0919729	0.0576196	0.34792	0.0485043	0.0703378	0.251117	0.0153218	0.0555712	0.00469675	0.00106947	0.00577835	0.0249004
d	0.0307922	0.0753868	0.0415026	0.0683762	0.0377203	0.0824996	0.529532	0.019325	0.0445054	0.0255153	0.00342011	0.00133453	0.0400905
á	0.0633431	0.0131231	0.0304335	0.024339	0.0405868	0.0987593	0.514904	0.043225	0.0686372	0.0677021	0.00490886	0.000750431	0.0292877
m	0.017777	0.00259651	0.043929	0.0118286	0.272724	0.436569	0.05534	0.0680081	0.0243857	0.0271494	0.0221504	0.00236643	0.015176
á	0.0237658	0.000456318	0.0395657	0.00646707	0.112591	0.113067	0.136104	0.335826	0.0966213	0.0183296	0.0421768	0.0221067	0.0529225
p	0.02572	0.0135447	0.0261239	0.0094036	0.0391604	0.106477	0.178308	0.270382	0.255617	0.0227833	0.0189516	0.0200979	0.0134291
έ	0.000464415	0.000843612	0.00217036	0.0169463	0.0169681	0.0345385	0.171485	0.135469	0.600617	0.00223689	0.00654889	0.0051896	0.00652301
l	0.00191294	0.00202386	0.00398285	0.0502459	0.0343815	0.0308479	0.103788	0.185479	0.390605	0.015822	0.0269848	0.0153718	0.138554
ε	0.000846942	0.00239823	0.00269754	0.0320082	0.024131	0.0377439	0.282197	0.120112	0.410815	0.0174706	0.0088489	0.00585824	0.0548727
l	0.00202183	0.000215717	0.00461276	0.00133237	0.0849196	0.122211	0.0228736	0.395586	0.125166	0.124916	0.0876275	0.00824798	0.0202691
a	0.00771597	0.00321694	0.00500808	0.00243026	0.027446	0.0445896	0.0547835	0.197936	0.316878	0.0955779	0.0856106	0.01388	0.144927
k	0.00399597	0.00155926	0.00441226	0.00196598	0.0135396	0.0205122	0.0095575	0.260629	0.276746	0.179827	0.149366	0.0271975	0.0506924
ó	0.0004555	0.00853753	0.0026411	0.0137858	0.00690877	0.0180115	0.0497592	0.109376	0.726373	0.0108761	0.0132156	0.0284183	0.0116405
l	0.000220373	0.00225474	0.000747124	0.024916	0.0103601	0.0107417	0.0614222	0.114166	0.58434	0.0213692	0.0341454	0.0538333	0.0814842
i	0.000428498	0.00558396	0.000934613	0.0194211	0.0103398	0.0146506	0.0848099	0.130421	0.476192	0.0542985	0.048578	0.0441401	0.110201
y	0.00154606	0.00075758	0.00211018	0.00127305	0.0119948	0.0172869	0.0045551	0.0893521	0.0624487	0.259969	0.376396	0.0749008	0.0974099
έ	0.0327391	0.0055845	0.0105191	0.00617976	0.036691	0.0312857	0.0107756	0.230889	0.193525	0.104171	0.20409	0.0829667	0.0505849
ε	0.0123059	0.0027994	0.00359598	0.00221746	0.0167121	0.0236578	0.00416508	0.0667846	0.0467107	0.255277	0.320213	0.052764	0.192797
p	0.00139861	0.00436276	0.00536062	0.00438272	0.00355626	0.00564195	0.0118491	0.0419372	0.0608555	0.014597	0.23616	0.505778	0.10412
έ	6.05589e-05	0.00140582	0.000827722	0.0204659	0.00287244	0.00393235	0.0219828	0.0457452	0.0870643	0.00777955	0.208942	0.330914	0.268007
n	0.0154226	0.00838593	0.0054063	0.00524608	0.00859986	0.0128093	0.0055268	0.133608	0.0988233	0.18573	0.223541	0.131602	0.165298
g	0.0118536	0.00754368	0.00622956	0.010226	0.0197171	0.0268554	0.00858479	0.0930008	0.0527016	0.46818	0.0703434	0.182287	0.0424773
á	0.013804	0.00420642	0.00382998	0.00725443	0.0097641	0.025463	0.029874	0.0760249	0.0714695	0.56677	0.0422945	0.0426287	0.106617
b	0.00116143	0.000218955	0.00219632	0.00854909	0.00669767	0.00384982	0.00508075	0.0564261	0.048776	0.049565	0.13642	0.291645	0.389413
ώ	0.00269592	0.00693489	0.0087764	0.00803846	0.0114974	0.00883124	0.000517367	0.00934416	0.0143973	0.0510644	0.0673153	0.781808	0.0287786
m	0.00129329	0.00124723	0.000476621	0.00159904	0.0020554	0.00215714	0.00069889	0.0260126	0.0330419	0.0777798	0.0459852	0.589008	0.218645
ώ	0.00266266	0.000406778	0.00839414	0.00217118	0.0116968	0.00215104	0.000311508	0.064844	0.0147007	0.00940518	0.17826	0.394289	0.310707
</S>	0.00090231	0.000786003	0.00370676	0.00118795	0.0098706	0.00420548	0.00133004	0.0244018	0.00861769	0.0201777	0.291898	0.110541	0.522375
