 	on	a	blanchi	la	maison	</S>
w	0.971523	0.0237834	0.000969178	0.00344097	0.000210569	7.27442e-05
a	0.856677	0.0643406	0.00909221	0.0594428	0.00601962	0.00442744
á	0.385192	0.587457	0.00721187	0.015287	0.00265873	0.00219385
m	0.0647525	0.739149	0.11411	0.0234446	0.00347971	0.0550647
i	0.0146131	0.512386	0.314461	0.0484158	0.00629356	0.10383
k	0.00138782	0.0741681	0.8795	0.0188335	0.00645649	0.019654
a	0.00128566	0.00983728	0.946954	0.0283309	0.00138006	0.0122118
n	0.0022604	0.0151829	0.947503	0.0271951	0.0021428	0.00571597
á	0.0583644	0.0677141	0.830376	0.0248093	0.00263959	0.0160963
n	0.0571793	0.184173	0.222028	0.479558	0.0403295	0.0167316
d	0.00845092	0.00608647	0.0468291	0.119035	0.74829	0.0713086
é	0.000184381	0.00127461	0.011019	0.057928	0.891966	0.0376282
e	0.000282117	0.0058181	0.0479054	0.225109	0.527002	0.193884
l	0.000982397	0.017978	0.0508692	0.439389	0.181961	0.308821
ε	0.00130441	0.00594894	0.133891	0.25636	0.228814	0.373682
p	0.0030474	0.00968946	0.0766292	0.430684	0.210057	0.269893
έ	0.0149402	0.00569863	0.18937	0.490317	0.12001	0.179664
m	0.00178594	0.00135322	0.149284	0.392981	0.116676	0.337919
b	0.000703562	0.00122954	0.0711301	0.210532	0.255522	0.460883
έ	0.00328452	0.00292769	0.163971	0.428403	0.20819	0.193223
</S>	0.00151092	0.00746796	0.0398629	0.197042	0.275775	0.478341
