 	es-tu	devenu	législateur	de	cette	localité	</S>
n	0.833177	0.0695892	0.0264097	0.0401976	0.024628	0.00185811	0.00414065
ω	0.989925	0.00605569	0.000354194	0.00145122	0.00200469	6.00477e-05	0.00014963
o	0.512247	0.396838	0.0425155	0.0218514	0.0197143	0.00134889	0.00548541
b	0.00589898	0.551775	0.219099	0.0482608	0.0300227	0.0260985	0.118846
h	0.000308957	0.385931	0.528595	0.0423646	0.00831631	0.00403796	0.0304462
i	0.000209041	0.235331	0.727217	0.0272601	0.00476188	0.000859139	0.00436197
l	0.0075711	0.0539107	0.802731	0.0959033	0.0106394	0.00135738	0.0278872
í	0.0136599	0.139173	0.538574	0.111255	0.0494479	0.00342124	0.144468
e	0.144846	0.143421	0.241919	0.310123	0.109714	0.00727055	0.0427069
k	0.00130453	0.0846903	0.431159	0.374681	0.0339227	0.0410573	0.0331859
w	2.3665e-05	0.00879929	0.905661	0.0555691	0.000983417	0.0237977	0.00516604
ε	0.0001835	0.0158409	0.827025	0.128994	0.00447319	0.00216146	0.0213213
r	0.000163711	0.0214288	0.482874	0.368976	0.0369722	0.00446199	0.0851224
ε	0.00125605	0.01238	0.552778	0.159904	0.0452662	0.0381238	0.190292
m	0.00079245	0.0215035	0.00830592	0.444595	0.434501	0.0262837	0.0640181
b	0.0017386	0.0187311	0.0128918	0.23125	0.418266	0.0153343	0.301789
a	0.001003	0.0173067	0.111137	0.520719	0.209856	0.0245901	0.115389
e	0.00214228	0.0104314	0.207193	0.49042	0.202956	0.0209698	0.0658877
y	4.15754e-05	0.0187144	0.0137587	0.170677	0.349465	0.0694503	0.377893
á	0.000805896	0.0459898	0.00403182	0.0943715	0.294514	0.290038	0.270249
p	0.00265334	0.00638753	0.000701571	0.020402	0.142031	0.740272	0.087553
o	0.000123243	0.000418023	0.00151919	0.00526755	0.00745659	0.929855	0.0553608
o	0.000157708	0.000708097	0.00171632	0.00583554	0.00498145	0.880342	0.106259
y	0.000250818	0.0146833	0.00383423	0.0399602	0.168483	0.0268932	0.745896
é	0.00363902	0.122069	0.0046941	0.143022	0.399749	0.0739054	0.252921
</S>	0.00344884	0.0166559	0.00202147	0.0345931	0.230746	0.0286611	0.683874
