 	otomba	a	chassé	de	chez	lui	les	enfants	qu'	il	a	hérité	de	son	frère	aîné	</S>
o	0.893503	0.0778902	0.00319791	0.00684111	0.00644106	0.00191892	0.00298023	0.00147344	0.00169033	0.00127785	0.00101291	0.00125291	0.000183531	0.000112197	5.5858e-05	0.000149913	1.89253e-05
t	0.958022	0.0367279	0.00180182	0.000198145	0.00011771	8.04635e-05	6.65146e-05	8.48556e-06	8.3521e-05	0.000134724	0.000140646	0.00103282	0.000147637	0.000136387	0.000137916	0.000778353	0.00038492
ó	0.735538	0.0907148	0.121792	0.00410255	0.00132305	0.00397606	0.00291166	0.00105574	0.00342669	0.00412788	0.00543115	0.00623497	0.00318615	0.00356897	0.00178954	0.00872809	0.00209252
m	0.956496	0.0247667	0.00868489	0.000624262	0.0003827	0.000384854	0.000269917	0.000139424	0.000491608	0.000392369	0.000274095	0.00158609	0.000365763	0.000351869	0.000297131	0.000841566	0.00365069
b	0.916119	0.0193506	0.0246081	0.00770902	0.000993229	0.00291137	0.00212987	0.000581986	0.00219007	0.00368569	0.00135674	0.00040413	0.00175871	0.00341407	0.00239994	0.00268288	0.00770484
a	0.757878	0.0791001	0.0424911	0.0114797	0.00883229	0.01806	0.00889192	0.0116949	0.00639444	0.00599391	0.00434131	0.0142338	0.00378777	0.00418748	0.00161733	0.0026846	0.0183318
á	0.198702	0.625632	0.0422878	0.037162	0.00424258	0.0123648	0.00736122	0.00783908	0.00747178	0.00698221	0.00910584	0.00650664	0.00522371	0.00563056	0.00564958	0.000682481	0.0171563
m	0.10689	0.350663	0.375955	0.0228165	0.00626325	0.00787511	0.00328066	0.00170475	0.00429426	0.00592823	0.0205996	0.0264249	0.00816615	0.0126235	0.0194422	0.00457989	0.0224933
i	0.016442	0.291269	0.533337	0.0433141	0.0108153	0.0119939	0.00572331	0.00177064	0.00297805	0.00493987	0.0169959	0.0204197	0.00466693	0.00848327	0.0122992	0.00453336	0.0100185
p	0.0207614	0.180052	0.640749	0.0336606	0.0123216	0.00923768	0.00643831	0.00122025	0.00116267	0.00231221	0.00587753	0.0085826	0.00565461	0.00637086	0.00875518	0.00498927	0.051854
f	0.00524958	0.0188075	0.723265	0.0767433	0.0122697	0.0238418	0.00997259	0.00497686	0.00329862	0.005137	0.0098937	0.00571461	0.0126076	0.0164814	0.0169771	0.00978429	0.0449792
u	0.0259271	0.0267954	0.613033	0.15936	0.0188056	0.0265598	0.0172503	0.00497288	0.00432342	0.00590325	0.00712847	0.00466128	0.00940625	0.0147244	0.0105178	0.00754189	0.0430896
m	0.00663168	0.00410276	0.4678	0.291874	0.0815212	0.0339751	0.0282692	0.006538	0.0023802	0.00745631	0.00518947	0.00156889	0.00348779	0.00675389	0.00585983	0.00426764	0.042324
b	0.000530066	0.0037766	0.0773075	0.542676	0.224429	0.0725168	0.057949	0.00504845	0.00416097	0.00298009	0.000525148	9.26627e-05	0.00072596	0.00159516	0.00112941	0.000457828	0.00409971
ú	0.00308713	0.00406432	0.179161	0.297747	0.393866	0.0473974	0.0525649	0.00941024	0.00127973	0.00123	0.000404097	0.00023358	0.000753939	0.00114429	0.000635124	0.00080621	0.00621575
s	0.000691315	0.00964714	0.0350138	0.553276	0.150649	0.115104	0.0746817	0.00698603	0.00803876	0.00511582	0.0086936	0.00339682	0.00838705	0.00514061	0.00507862	0.00115513	0.00894513
á	0.00323187	0.00932987	0.041617	0.524356	0.137971	0.0754718	0.0821905	0.00138971	0.0113986	0.0136002	0.0148474	0.00808813	0.0173659	0.00975218	0.00608847	0.00518189	0.0381193
b	0.00170131	0.00273303	0.00357735	0.236324	0.258386	0.183817	0.183114	0.038383	0.0155068	0.0123568	0.0337455	0.00867002	0.00674401	0.00484446	0.00427615	0.00154983	0.0042706
á	0.00305058	0.00529298	0.0287639	0.0578154	0.247432	0.112471	0.155778	0.260965	0.0173284	0.0115317	0.0287556	0.00920403	0.0106096	0.0116695	0.00437951	0.0120837	0.0228694
n	0.000473719	0.00164037	0.00729534	0.0356744	0.114333	0.115566	0.171723	0.475146	0.0124514	0.0137273	0.0136895	0.00399588	0.0031665	0.0059452	0.00198891	0.00347075	0.0197134
a	0.00689888	0.00630152	0.00898159	0.0476896	0.243061	0.171564	0.111548	0.0461284	0.033895	0.0396973	0.0156978	0.0771615	0.0152855	0.0150045	0.00409878	0.0131646	0.143822
b	0.000238223	0.00345222	0.00206146	0.0868343	0.0412928	0.223456	0.270182	0.0604203	0.0505394	0.0431786	0.100996	0.0549389	0.0226534	0.0139493	0.00828652	0.00303408	0.0144856
á	0.00151552	0.0108031	0.0128593	0.0231837	0.0228288	0.0956209	0.0970867	0.144963	0.192586	0.118706	0.149408	0.0426749	0.034546	0.0239628	0.00831086	0.00280119	0.0181434
á	0.00216896	0.00320806	0.00106149	0.0103136	0.016664	0.0310398	0.0860163	0.265006	0.0919746	0.110401	0.18079	0.0759332	0.0465361	0.0311821	0.0112753	0.00464397	0.0317856
y	0.00107224	0.00462918	0.00133374	0.00352004	0.00254865	0.00478404	0.0115191	0.0060877	0.0296297	0.0343031	0.181497	0.597683	0.0673735	0.0200002	0.0123837	0.00591108	0.0157243
í	0.00162969	0.000996283	0.000608269	0.00385954	0.00240326	0.00697788	0.00886602	0.00123333	0.0187828	0.0469466	0.18855	0.582993	0.0790073	0.0203646	0.008465	0.0070058	0.0213107
á	0.000548774	0.000221915	0.000267023	0.00392344	0.00446626	0.0171588	0.0267835	0.0138678	0.0806137	0.13535	0.285285	0.231305	0.0870927	0.0354459	0.0165156	0.00316374	0.0579903
o	0.000225361	0.000707689	0.000606498	0.00743008	0.00561205	0.014886	0.0215317	0.0161953	0.151929	0.112715	0.104032	0.183219	0.211401	0.0966502	0.0514385	0.00624947	0.0151705
n	0.0098571	0.00564716	0.00458075	0.00360381	0.00220985	0.00166195	0.00437924	0.00147075	0.00728899	0.00909313	0.0415558	0.215536	0.2759	0.172219	0.120764	0.0866732	0.037559
y	0.00100693	0.00100319	0.000336597	0.00304398	0.00435768	0.0018223	0.00456789	0.000460237	0.00448233	0.0107695	0.0185999	0.675299	0.170355	0.0405777	0.0136345	0.0195432	0.0301403
e	0.00126136	0.000998251	0.00208423	0.0051314	0.00848915	0.0051345	0.0142231	0.00279356	0.00527751	0.0156144	0.0404367	0.481087	0.164821	0.0520744	0.0194743	0.144708	0.0363918
b	0.000323347	0.000643172	0.00175392	0.00501563	0.0104428	0.00406296	0.0140885	0.00105417	0.00869728	0.00945663	0.0311295	0.363946	0.270948	0.0409732	0.023361	0.172613	0.0414914
h	7.40531e-05	0.000240773	0.0045605	0.0052268	0.00390244	0.0128321	0.0278281	0.00593202	0.028658	0.0466002	0.0330548	0.0747512	0.185586	0.101875	0.0463056	0.050413	0.372158
í	0.00240895	0.00161941	0.0267358	0.0266633	0.0243817	0.0435752	0.103673	0.0294345	0.0559271	0.0733668	0.0278719	0.0507159	0.132021	0.10935	0.0301971	0.0530395	0.209019
l	0.000229659	0.000972816	0.000622707	0.00429571	0.00150763	0.00783014	0.0105457	0.00574787	0.088862	0.0665434	0.0543141	0.120648	0.234084	0.177831	0.124605	0.0168574	0.0845029
a	0.000254761	0.00110578	0.00114246	0.00303951	0.00145031	0.00537857	0.00615794	0.00154387	0.0210888	0.0171731	0.0200711	0.153297	0.275581	0.185178	0.0869517	0.021572	0.199014
w	0.000570447	0.000478674	0.000245291	0.00425477	0.00239638	0.00708946	0.00819163	0.00550039	0.0433879	0.0627055	0.0215702	0.056704	0.219438	0.248469	0.168002	0.0728564	0.0781396
a	0.00238326	0.00120469	0.00350551	0.00590525	0.00645556	0.0221203	0.0267377	0.0372654	0.0726433	0.111286	0.0677891	0.0645811	0.109737	0.220669	0.114587	0.0512972	0.0818319
</S>	0.000342396	0.000104623	0.000197315	0.000759558	0.000421389	0.00274298	0.00359525	0.0029098	0.0328309	0.0259865	0.0218244	0.0399155	0.260021	0.260512	0.203974	0.0129807	0.130882
