 	cet	homme	qui	arrive	a	le	pouvoir	mystique	d'	abattre	les	éléphants	</S>
i	0.405265	0.561395	0.0109543	0.00289366	0.00155551	0.00725523	0.00740811	0.000287448	0.00109732	0.00105906	0.000764101	1.52035e-05	4.93177e-05
b	0.118332	0.788769	0.0119791	0.00343689	0.00556182	0.00673987	0.0403534	0.00974878	0.00307052	0.00414601	0.000672092	0.00566217	0.0015283
a	0.0086089	0.924844	0.00143151	0.00121666	0.0012836	0.00297298	0.0439733	0.001719	0.00133421	0.0117056	0.000240165	0.000587866	8.24719e-05
a	0.024239	0.862168	0.00491	0.00514774	0.00431197	0.0116634	0.0503083	0.00242163	0.0046855	0.0227353	0.0017049	0.000854686	0.00484944
l	0.388947	0.0862116	0.170514	0.11911	0.0333155	0.0163546	0.00943458	0.0302843	0.0198346	0.022392	0.012414	0.00181699	0.0893713
í	0.106531	0.0192244	0.0809789	0.0851102	0.0632557	0.0326385	0.0151802	0.0980538	0.0803393	0.0301653	0.0566916	0.0435291	0.288302
í	0.0882965	0.11992	0.231318	0.174682	0.0601497	0.040539	0.0151104	0.0241649	0.0412701	0.019532	0.0468174	0.0369444	0.101256
y	0.00149782	0.00194091	0.0830838	0.43949	0.353698	0.0343241	0.0185617	0.0232622	0.0103054	0.0130434	0.00572843	0.00261549	0.0124491
a	0.0128416	0.00450722	0.226215	0.348509	0.26897	0.0346614	0.0141734	0.016849	0.00754873	0.00216304	0.00524106	0.0136456	0.044675
a	0.012648	0.00343698	0.111042	0.348427	0.322682	0.0486719	0.0128383	0.0274622	0.0126636	0.0046335	0.0127724	0.00744225	0.0752804
d	0.0044584	0.00643193	0.142684	0.155508	0.238536	0.265348	0.0670956	0.0307137	0.0197935	0.00691723	0.0306079	0.00761717	0.0242893
í	0.0039599	0.00063511	0.0508722	0.0790052	0.48631	0.20607	0.0660813	0.0364145	0.00998444	0.00198008	0.0107664	0.0197387	0.0281827
í	0.00106127	0.00100172	0.0463882	0.0387127	0.135533	0.162483	0.154756	0.239163	0.0523681	0.0171759	0.031735	0.035214	0.0844079
d	0.00179218	0.0043928	0.0320009	0.0407022	0.160282	0.185778	0.205558	0.241484	0.0474198	0.0341365	0.0169914	0.0156291	0.0138334
í	0.00382771	0.000516836	0.00943673	0.0151403	0.28903	0.211022	0.147106	0.16114	0.0309726	0.00616315	0.0170035	0.0294574	0.0791837
l	0.000889812	0.000265381	0.0163852	0.023224	0.102558	0.125912	0.134511	0.34289	0.103227	0.0326971	0.0315395	0.034885	0.0510151
i	0.0003901	0.000597681	0.0120731	0.0275217	0.0886489	0.0745068	0.0538416	0.39061	0.100741	0.0197455	0.0233626	0.0266262	0.181335
b	0.00132685	0.00123154	0.00213546	0.00288763	0.014585	0.0730398	0.254937	0.354379	0.104335	0.044194	0.00836048	0.10005	0.0385393
h	0.000640611	0.00115104	0.000638134	0.00231956	0.0184952	0.091923	0.381697	0.10786	0.0793317	0.29064	0.00385162	0.014319	0.00713355
á	0.000272023	0.000161298	6.58752e-05	0.0012467	0.00820815	0.0571426	0.416347	0.0502174	0.0519248	0.399574	0.00320172	0.00278944	0.00884909
n	0.000353696	9.48555e-05	0.000289323	0.00160097	0.0151435	0.0924903	0.268138	0.289369	0.141391	0.099007	0.0125844	0.00325471	0.0762838
d	0.0029244	0.00112541	0.00191307	0.00287897	0.014209	0.110798	0.299518	0.233624	0.140004	0.053235	0.0144172	0.0174191	0.107934
á	0.00490923	0.000521236	0.00195387	0.00166029	0.0105568	0.0576418	0.121059	0.331883	0.202232	0.0375045	0.0121902	0.0228754	0.195013
l	0.00194464	0.000249456	0.00348981	0.00480724	0.00913896	0.0386805	0.0140876	0.225907	0.330379	0.166295	0.157536	0.0117863	0.0356999
í	0.00322121	0.00137368	0.00469114	0.00765786	0.0162759	0.0259289	0.0109462	0.235283	0.183447	0.101462	0.0999014	0.114667	0.195145
b	0.00399674	0.000808555	0.00624007	0.00395773	0.00605446	0.0220522	0.0117256	0.0973182	0.176413	0.259765	0.196425	0.171085	0.0441583
o	0.00044504	0.00155433	0.00265176	0.00397079	0.00886314	0.029349	0.0159462	0.0210129	0.0938035	0.687058	0.102957	0.0280268	0.0043612
m	0.000446005	0.000349001	0.000759546	0.00212497	0.0117838	0.0368112	0.048748	0.0552022	0.097288	0.7099	0.0169175	0.00985203	0.00981802
a	0.0291348	0.00882933	0.00263089	0.0018973	0.0062929	0.0369824	0.015563	0.0645546	0.16122	0.181842	0.175516	0.0885124	0.227025
l	0.00068083	5.56998e-05	0.000918784	0.00187669	0.004928	0.0124556	0.00591692	0.052312	0.0967936	0.25795	0.224771	0.0497769	0.291564
á	0.00231962	0.00134416	0.00172084	0.00464527	0.0120178	0.0136976	0.00755495	0.0608928	0.0732975	0.0960377	0.150102	0.171238	0.405131
n	0.0045399	0.000738106	0.00821801	0.00495152	0.00454042	0.0138079	0.00346693	0.0106029	0.0373349	0.0335243	0.444779	0.359415	0.0740814
d	0.00176445	0.000233851	0.000858149	0.000562678	0.00152468	0.00697409	0.00249724	0.011003	0.0427509	0.0298043	0.19373	0.650833	0.0574633
z	0.000249596	0.000132413	0.000731322	0.000299823	0.000485493	0.0016179	0.00109123	0.00257566	0.00801409	0.00651646	0.0295006	0.866443	0.0823428
ω	7.84215e-05	1.89436e-05	2.58954e-05	3.37096e-05	0.000216605	0.00135956	0.00190974	0.00407456	0.0181352	0.00364952	0.0224477	0.765159	0.182891
i	0.000238696	3.20285e-05	3.07735e-05	7.14092e-05	0.00069395	0.01079	0.00873082	0.00674504	0.0332787	0.016955	0.0250706	0.491761	0.405602
</S>	6.48593e-05	7.71769e-06	4.35586e-05	5.19979e-05	0.000162158	0.00148154	0.000684086	0.00372135	0.0208624	0.0230182	0.185754	0.168627	0.595522
