 	les	pluies	mettent	fin	à	la	saison	sèche	</S>
a	0.873345	0.108745	0.00285712	0.00674675	0.00394781	0.00249575	0.00143872	0.00039661	2.69314e-05
m	0.364614	0.597182	0.0223703	0.00514811	0.0021822	0.00365431	0.00231607	0.0016687	0.000863922
b	0.23091	0.483741	0.159086	0.0447752	0.0233701	0.0117292	0.00424065	0.000570389	0.0415771
v	0.0347375	0.247576	0.697541	0.00999244	0.00430247	0.00215753	0.000919394	4.19082e-05	0.00273115
ú	0.0920278	0.333963	0.553569	0.0104648	0.00359519	0.00216604	0.000435875	5.27605e-05	0.00372582
á	0.244017	0.671134	0.0794564	0.00312815	0.000608201	0.000567268	0.000192725	2.23931e-05	0.000873669
b	0.318429	0.288226	0.0931375	0.181655	0.0317862	0.0124328	0.0173252	0.00244543	0.0545624
á	0.293164	0.0406561	0.0865111	0.117497	0.148094	0.0748559	0.108749	0.0367532	0.0937191
a	0.278034	0.106692	0.295021	0.113316	0.066309	0.0315466	0.0266231	0.019978	0.0624797
t	0.0553632	0.0616419	0.173443	0.492405	0.103834	0.0623995	0.011509	0.00408224	0.0353222
u	0.00913228	0.0368363	0.750511	0.0878625	0.0450667	0.0377801	0.00546744	0.00542001	0.0219236
b	0.0190263	0.0332055	0.816587	0.0357555	0.0245673	0.0349937	0.0029819	0.00477413	0.0281085
h	0.20688	0.016016	0.274888	0.101919	0.202305	0.126315	0.022875	0.0236862	0.0251159
ú	0.0246922	0.00683435	0.140073	0.163789	0.265087	0.134706	0.0574097	0.0231258	0.184283
s	0.00901858	0.00465957	0.0514147	0.350316	0.311904	0.15075	0.0743418	0.0100288	0.0375667
á	0.00338371	0.00113832	0.0256624	0.127884	0.347606	0.291839	0.117888	0.024495	0.0601028
e	0.00946186	0.00409535	0.0025517	0.107459	0.343237	0.291626	0.186352	0.0476881	0.00752934
b	0.00316378	0.0105518	0.0084397	0.0894304	0.126671	0.396568	0.108102	0.242116	0.0149573
h	0.00533995	0.00913901	0.0164125	0.109041	0.130169	0.227915	0.0649303	0.419673	0.0173808
ó	0.00202071	0.00464143	0.126465	0.211986	0.177325	0.264926	0.05232	0.115721	0.0445956
y	0.00226438	0.00180561	0.0280776	0.0931437	0.140836	0.206641	0.219535	0.191	0.116696
á	0.0311759	0.00984424	0.0153564	0.0551643	0.119172	0.224569	0.191219	0.204375	0.149124
</S>	0.0177417	0.00911468	0.00421968	0.0295302	0.0574602	0.0617878	0.255634	0.379386	0.185126
