 	le	cabri	broute	l'	herbe	mais	moi	je	ne	mange	pas	les	cabris	</S>
m	0.847291	0.0953069	0.00386312	0.0116869	0.0066601	0.00819318	0.0126198	0.00156552	0.00516463	0.000566109	0.00279703	0.00335467	0.000844723	8.64991e-05
b	0.0405253	0.944058	0.00265811	0.00528225	0.0019249	0.000681383	0.00149873	0.000697183	0.000452989	0.000199484	0.000343527	0.00102721	0.000107273	0.000543375
ó	0.0589533	0.930786	0.0025099	0.0032032	0.00144809	0.000914723	0.000511002	0.00129285	4.53749e-05	3.00863e-05	1.9936e-05	8.84458e-05	0.000142595	5.46091e-05
s	0.0145016	0.984238	0.00089167	0.00018526	4.62142e-05	3.42561e-05	7.68132e-06	1.33115e-05	4.7322e-06	1.64079e-05	2.13436e-06	4.88593e-06	6.22129e-06	4.80161e-05
i	0.504451	0.305484	0.117988	0.0179004	0.00903023	0.00719912	0.00177427	0.00215548	0.00202201	0.00414778	0.00251641	0.00330816	0.00135789	0.0206654
l	0.648626	0.120208	0.0911622	0.0792315	0.0160507	0.00382216	0.00700503	0.00254751	0.00662623	0.00404182	0.00415271	0.0043141	0.00143554	0.0107769
á	0.0996397	0.00466361	0.0328713	0.0631128	0.0502083	0.0474921	0.0636848	0.0537755	0.0849543	0.0418057	0.0731172	0.063931	0.00168688	0.319057
a	0.714565	0.0026202	0.0559109	0.0635707	0.0477619	0.0211955	0.0211609	0.0163931	0.0134534	0.00380679	0.00747099	0.0145277	0.00117596	0.0163872
d	0.0269905	0.0027774	0.858563	0.0281499	0.0143384	0.0116394	0.00115675	0.00459042	0.00590068	0.0276106	0.00589138	0.0022345	0.00208706	0.00807035
z	0.00715662	0.00199612	0.748544	0.0379377	0.0289642	0.00535368	0.000627541	0.000750558	0.00772338	0.125965	0.0115391	0.00312499	0.00219247	0.0181249
á	0.028849	0.00267079	0.848478	0.0427776	0.0293727	0.0164801	0.000630824	0.000370429	0.00348912	0.0182836	0.00256848	0.000745982	0.00126176	0.00402145
á	0.0093639	0.000663027	0.0950061	0.186204	0.202929	0.0385483	0.0204997	0.00424846	0.0554156	0.08171	0.0857206	0.0736592	0.00615366	0.139878
m	0.021218	0.00141691	0.045682	0.239963	0.363632	0.110152	0.123168	0.0289082	0.0232279	0.0112621	0.00573605	0.00876104	0.00373111	0.013142
b	0.0254022	0.0117727	0.00181561	0.176332	0.515913	0.140447	0.0642724	0.0225536	0.018384	0.0019638	0.00361327	0.00459249	0.00172931	0.0112086
v	0.00930882	0.00697004	0.00230576	0.197835	0.648232	0.107434	0.00248975	0.0069884	0.00302478	0.00124312	0.00171994	0.00191043	0.00402147	0.00651723
u	0.00832523	0.0196202	0.00641956	0.158842	0.532131	0.183985	0.00419518	0.0110749	0.00575266	0.00322881	0.00449312	0.00758983	0.00596544	0.0483764
m	0.00635456	0.000712228	0.0378781	0.167907	0.357611	0.26202	0.0169393	0.00936422	0.0287536	0.0305056	0.0185045	0.0080726	0.00468907	0.0506877
b	0.0598075	0.00177036	0.00191518	0.198731	0.367418	0.158374	0.0572543	0.0250582	0.0389188	0.00148758	0.0183162	0.0360283	0.00251882	0.0324009
v	0.074978	0.00199363	0.00611032	0.107074	0.390895	0.355642	0.00456864	0.00438428	0.00893645	0.00254466	0.0116259	0.00454464	0.00120577	0.0254962
ú	0.0118839	0.00132974	0.00244971	0.0548007	0.3454	0.458096	0.0208735	0.0292751	0.00881591	0.00167157	0.00633844	0.00628373	0.00109419	0.0516871
n	0.000740334	0.000140429	0.0111512	0.103708	0.327697	0.204652	0.0530788	0.0196697	0.135961	0.0463714	0.0287094	0.0219473	0.00649617	0.039678
d	0.00893745	0.00248471	0.00357662	0.111436	0.323966	0.335699	0.0650256	0.0333735	0.0359589	0.00457835	0.00569793	0.0092505	0.000855753	0.0591603
z	0.000866228	0.000733155	0.00673102	0.0424478	0.232087	0.500851	0.0769159	0.0813831	0.0259321	0.00561745	0.00283444	0.00439425	0.00124804	0.0179588
á	0.000560014	0.000776992	0.00812496	0.0425096	0.22486	0.486322	0.0235699	0.0362667	0.0365012	0.0119194	0.0162349	0.0135158	0.00160418	0.0972347
á	0.00201711	8.74453e-05	0.00198775	0.0475756	0.0704637	0.0582867	0.448275	0.0879099	0.188502	0.0244205	0.0205645	0.0216165	0.00152214	0.0267712
n	0.00183152	0.00039505	0.00246035	0.00956452	0.0089707	0.0128665	0.0974159	0.129941	0.312416	0.312024	0.0492829	0.034893	0.00951514	0.0184227
g	0.00128483	0.000195041	0.000349159	0.00601108	0.0101931	0.02632	0.238253	0.611208	0.0578049	0.00756088	0.00504343	0.00823617	0.000181606	0.0273585
á	0.000204583	0.00139466	0.000786894	0.0118366	0.0493035	0.112435	0.0951804	0.676652	0.0219366	0.00661822	0.00573176	0.00944292	0.002105	0.00637205
