 	cette	femme	a	sevré	son	enfant	prématurément	pour	reprendre	les	relations	sexuelles	</S>
o	0.91057	0.0574071	0.00200243	0.00164319	0.0108313	0.00429837	0.00367045	0.00707342	0.000714239	0.00101063	0.000618944	1.32802e-05	0.000146564
y	0.151886	0.823241	0.0124334	0.0065557	0.000618227	0.000394566	0.00027049	0.000478502	7.75185e-05	0.000485333	0.000955601	0.000128744	0.00247492
ú	0.71959	0.271997	0.000555259	0.00274012	0.00345887	0.000408524	2.82978e-05	1.73396e-05	7.01073e-05	2.80923e-05	0.000908844	5.12996e-05	0.000146382
r	0.946431	0.0363756	0.000417193	0.000319272	0.00967667	0.00386939	0.000464544	0.000323234	6.35645e-05	0.000155459	0.000489557	0.000180592	0.00123389
ú	0.928138	0.0141758	0.00358693	0.00164262	0.0288837	0.0136884	0.00254381	0.00322461	0.000408728	0.000736705	0.000517294	0.000841185	0.00161246
w	0.339259	0.254511	0.255069	0.0358307	0.0254789	0.00335491	0.00312162	0.0141495	0.000701041	0.0115808	0.0074857	0.00179469	0.0476632
ó	0.198	0.0126172	0.275974	0.140008	0.0318454	0.0162359	0.041969	0.0355053	0.00539641	0.0366677	0.0759048	0.0121914	0.117685
á	0.0288192	0.00209421	0.867998	0.040991	0.0118877	0.00154911	0.00190308	0.0082207	0.000445838	0.00908909	0.00437064	0.000820501	0.0218108
m	0.00212035	0.000301562	0.178689	0.721763	0.0109387	0.000514501	0.00152216	0.0011537	0.00197217	0.00513647	0.0169674	0.00855675	0.0503645
i	0.0166601	0.0025882	0.625462	0.266334	0.0250566	0.00322186	0.0129918	0.00253231	0.014311	0.0107323	0.00135659	0.00321995	0.0155341
k	0.00931592	0.000608343	0.0365625	0.818825	0.0666863	0.00465789	0.00421789	0.00192768	0.0204225	0.00651066	0.00548158	0.010254	0.0145301
y	0.000791625	4.68319e-06	0.0114182	0.957306	0.00842885	0.000114881	0.00124261	0.000531727	0.00107731	0.00390927	0.000729516	0.00156112	0.0128846
é	0.00562816	0.000256119	0.0207777	0.8564	0.0312958	0.00356202	0.0123297	0.00171408	0.0267696	0.00507823	0.00936516	0.00614651	0.0206769
n	0.00442265	4.71149e-05	0.101686	0.419335	0.0945276	0.0257031	0.0918138	0.0190777	0.0686765	0.0837743	0.0230387	0.00353426	0.0643637
a	0.0186067	0.000113371	0.0171415	0.181619	0.210826	0.0596269	0.208253	0.0405031	0.109555	0.0615173	0.0586507	0.00742144	0.0261666
m	0.0036835	1.37691e-05	0.00884995	0.0135888	0.10909	0.0353529	0.43658	0.0919648	0.11644	0.0714732	0.102451	0.00573698	0.00477508
w	0.000917734	0.000873116	0.00016768	0.000284982	0.00629024	0.0987593	0.115471	0.0194198	0.679459	0.0099501	0.00320363	0.0582825	0.00692121
á	0.000114228	0.000202885	6.64535e-06	1.46996e-05	0.000406768	0.0986864	0.00770517	0.000799916	0.872641	0.000319297	7.66101e-05	0.0189716	5.52884e-05
n	0.00215298	3.80274e-05	0.000203312	0.000288876	0.00931254	0.146418	0.260639	0.029256	0.509274	0.011653	0.00335059	0.0258009	0.00161296
a	0.00561277	0.000614441	0.00227227	0.0012704	0.0127725	0.144606	0.060768	0.0400687	0.452321	0.0470583	0.036177	0.154855	0.0416028
</S>	0.00487502	3.18323e-05	0.00614032	0.00529152	0.0213536	0.00208879	0.0330678	0.206756	0.00577219	0.18751	0.39696	0.0224776	0.107674
