 	il	a	augmenté	ses	cultures	</S>
w	0.92435	0.0733016	0.000368899	0.00147685	0.000414761	8.74155e-05
a	0.74253	0.228689	0.000282582	0.0282715	0.000155794	7.13874e-05
á	0.124503	0.811006	0.0572574	0.00592644	8.36131e-05	0.00122384
m	0.0209514	0.21807	0.74403	0.00864377	0.00268094	0.00562411
i	0.0241659	0.261465	0.59129	0.0492656	0.000598492	0.073215
n	0.00140369	0.00780077	0.98449	0.00190837	0.000906357	0.00349094
y	0.00298289	0.0192309	0.966147	0.00345796	0.000348482	0.00783248
á	0.0487902	0.321808	0.582306	0.0132095	0.00409237	0.029794
á	0.0689728	0.229648	0.0973581	0.324948	0.0527793	0.226293
s	0.0249242	0.0353892	0.00727211	0.906259	0.020581	0.00557496
á	0.0253667	0.038143	0.0258053	0.850067	0.00383949	0.0567783
a	0.252624	0.0585017	0.0148804	0.598345	0.0176535	0.0579956
k	0.00329702	0.00673765	0.0349996	0.185943	0.741852	0.0271704
ú	0.000389546	0.000162892	0.000332881	0.0127875	0.970815	0.0155124
b	0.000441464	0.000156859	0.00224751	0.0122701	0.957713	0.0271713
h	0.106115	0.0393386	0.0191213	0.337627	0.30694	0.190858
á	0.00772779	0.00139097	0.00106837	0.0759615	0.405428	0.508424
m	0.018836	0.0182691	0.00944141	0.571812	0.0947465	0.286895
á	0.203695	0.0238782	0.00166343	0.436971	0.00536419	0.328428
w	0.0770957	0.0509397	0.00263285	0.556007	0.051707	0.261618
a	0.167376	0.0910556	0.00131371	0.531465	0.020673	0.188117
</S>	0.00496967	0.00206991	0.00200699	0.070369	0.0527677	0.867817
