 	la	nuit	notre	mère	nous	récite	des	contes	</S>
l	0.63062	0.331083	0.0296609	0.00214286	0.00417562	0.0010686	0.00103994	8.72994e-05	0.000121573
a	0.391725	0.578169	0.00867309	0.00970293	0.00570997	0.000926816	0.00344921	0.000365355	0.00127838
k	0.29661	0.561885	0.0180582	0.074926	0.00650306	0.0229259	0.00429002	0.000971461	0.0138305
ó	0.00693687	0.977194	0.00108338	0.000243295	0.000729237	0.00871254	0.00111413	0.00196817	0.00201845
l	0.0172072	0.965544	0.00574633	0.00156372	0.00127444	0.00306582	0.0013766	0.00138575	0.00283575
i	0.104557	0.861726	0.0122255	0.00142352	0.000861489	0.0114344	0.00163922	0.000771566	0.00536121
n	0.288174	0.277943	0.209045	0.123426	0.0183862	0.0170699	0.0370885	0.00393581	0.024932
g	0.102829	0.0947342	0.325538	0.280388	0.0242059	0.0443207	0.0101447	0.00309564	0.114744
ó	0.0291783	0.02058	0.26137	0.636961	0.0176731	0.028085	0.00224899	0.000170412	0.0037328
o	0.0451935	0.0354885	0.227215	0.368025	0.0535461	0.215757	0.0308347	0.00170295	0.0222376
l	0.0760425	0.0448	0.338926	0.227609	0.0445187	0.217787	0.0378941	0.0080843	0.00433906
á	0.0342256	0.0104864	0.412382	0.0674665	0.0523082	0.212107	0.0356703	0.0114478	0.163907
a	0.021623	0.00339598	0.406488	0.0709881	0.360156	0.103679	0.0174424	0.00538705	0.0108402
k	0.0139589	0.0167318	0.0376791	0.0734163	0.238037	0.461232	0.0854879	0.0389742	0.0344826
y	0.00163455	0.0195151	0.00658892	0.0027102	0.0297903	0.655886	0.143982	0.0766074	0.063285
a	0.0112688	0.0373349	0.0148055	0.00201724	0.0204766	0.52281	0.165775	0.113468	0.112044
b	0.0020658	0.00118921	0.0424963	0.00377465	0.186616	0.13625	0.280744	0.0881529	0.258711
í	0.00385671	0.0210052	0.0693813	0.000503713	0.178815	0.184241	0.21274	0.146683	0.182774
s	0.000971734	0.00121562	0.15857	0.00273909	0.568389	0.0388162	0.0983208	0.0988883	0.0320894
í	0.0170337	0.00765762	0.13623	0.00031377	0.0748516	0.290495	0.239619	0.120907	0.112891
i	0.00130201	0.000364361	0.0341226	0.00310922	0.275702	0.0186065	0.419081	0.170107	0.0776047
s	0.0107538	0.0107965	0.00421308	0.00236995	0.02465	0.0184098	0.180918	0.655419	0.0924695
í	0.00589374	0.00224287	0.00928612	0.00130828	0.0410029	0.00884971	0.305732	0.362931	0.262753
m	0.000626155	0.00015108	0.0243054	0.00120703	0.130963	0.00577235	0.111512	0.308726	0.416737
á	0.004802	0.000981273	0.0145908	0.00580674	0.0405939	0.00197452	0.506378	0.110474	0.314399
</S>	0.0143542	0.00176728	0.0708608	0.00687341	0.0516228	0.00360633	0.0929733	0.185363	0.572579
