 	je	fais	rebondir	le	ballon	</S>
n	0.809776	0.15617	0.0151159	0.00977179	0.00709495	0.00207072
g	0.990063	0.00734135	0.000359234	0.000455587	0.00153932	0.000241525
á	0.954352	0.0306969	0.00401835	0.00253084	0.0079749	0.000427081
l	0.457047	0.321822	0.0188669	0.0427159	0.034498	0.12505
í	0.377104	0.340646	0.0332795	0.0428553	0.00802497	0.19809
i	0.257869	0.324888	0.178623	0.0405541	0.0493118	0.148754
d	0.00188611	0.165605	0.822024	0.00395413	0.00242402	0.00410692
e	0.000624639	0.0351413	0.958769	0.00370433	0.000825923	0.00093506
n	0.0304157	0.123814	0.785996	0.0288016	0.0024557	0.0285174
d	0.00551499	0.0490258	0.571113	0.176101	0.00994053	0.188306
í	0.000786365	0.0113237	0.442369	0.0728942	0.0189191	0.453708
s	0.0194478	0.0937245	0.380793	0.253544	0.196953	0.055537
á	0.00326562	0.0459253	0.547947	0.0569031	0.09747	0.248489
d	0.00512286	0.0125985	0.037657	0.0933306	0.799291	0.0519996
i	0.00260155	0.00272657	0.0177741	0.0306322	0.785806	0.160459
n	5.135e-05	0.00109593	0.0110435	0.0853981	0.785002	0.117409
g	0.000249093	0.00147959	0.02244	0.0792127	0.651499	0.24512
a	0.000875713	0.00149779	0.0136514	0.0325528	0.516368	0.435054
</S>	0.000622483	0.00485203	0.0104126	0.319732	0.0599369	0.604444
