 	la	marmite	que	maman	a	nettoyée	est	renversée	</S>
n	0.256448	0.692994	0.0347071	0.00693342	0.00541355	0.000714314	0.00227894	9.51413e-05	0.000415136
z	0.104651	0.886458	0.0061272	0.00182273	0.000514347	5.26849e-05	6.62551e-05	0.000180982	0.000126772
ú	0.00747562	0.937398	0.00539303	0.0477868	0.000732532	0.000225252	0.000203355	0.000458148	0.000326902
n	0.214174	0.665677	0.0417943	0.0158015	0.0161749	0.0100049	0.00213714	0.0254214	0.00881543
g	0.377059	0.0861001	0.00373545	0.00199891	0.023617	0.100437	0.0129089	0.0687281	0.325415
u	0.22595	0.509026	0.00906851	0.0095008	0.00833342	0.00249479	0.00265189	0.0824711	0.150503
y	0.136737	0.0773584	0.376343	0.0652734	0.11223	0.0281109	0.0491105	0.012512	0.142325
é	0.305857	0.169184	0.365239	0.065721	0.0282796	0.0216398	0.0184167	0.00292569	0.0227368
é	0.054193	0.0256598	0.721945	0.0666417	0.0675603	0.0252393	0.0175478	0.00177492	0.0194381
s	0.0123247	0.00560439	0.0130466	0.0837006	0.0933235	0.560195	0.155865	0.0191189	0.0568217
o	0.00218773	0.00014436	0.00104442	0.000852675	0.0196078	0.94692	0.0211583	0.000831177	0.00725309
s	0.0147744	0.000569883	0.00192973	0.00267211	0.0199786	0.8479	0.0412521	0.0439946	0.026929
í	0.0581711	0.00513724	0.0132926	0.00268991	0.0494695	0.42646	0.141137	0.120861	0.182781
m	0.0123284	0.00321556	0.195688	0.0306639	0.202458	0.137288	0.395735	0.0090765	0.0135472
a	0.0320007	0.000869005	0.0837707	0.0121077	0.594187	0.074325	0.127801	0.000817187	0.0741209
á	0.0076308	0.000612457	0.052322	0.0422127	0.495128	0.0471546	0.171946	0.00904373	0.17395
é	0.0012579	0.000743071	0.00335612	0.00845889	0.133314	0.104512	0.616612	0.081475	0.0502709
d	0.00200008	0.000613492	0.000792726	0.00405362	0.0529559	0.173876	0.465208	0.238849	0.0616521
i	0.00374482	0.000144109	0.000561526	0.00017517	0.0432402	0.263895	0.489796	0.0440841	0.15436
e	0.000935381	4.07279e-05	0.00023886	4.06126e-05	0.0145798	0.229386	0.464354	0.233165	0.0572599
k	0.000460045	0.00020113	0.000186331	0.000247011	0.00437685	0.00667631	0.0323697	0.847076	0.108407
ú	8.30965e-05	3.65281e-05	2.01311e-05	2.62014e-06	0.000185531	0.00207383	0.00432637	0.950803	0.0424694
m	0.000841502	1.70088e-05	1.73391e-05	1.74921e-05	0.000669803	0.0119133	0.005849	0.956312	0.0243623
b	0.16463	0.0059482	0.249028	0.0034595	0.0353554	0.0281112	0.102881	0.0687206	0.341866
ú	0.0026529	0.000512075	0.00412697	0.000117953	0.00436539	0.100316	0.0401396	0.35909	0.488679
s	0.00161199	0.000164425	0.000659971	2.89296e-05	0.00467709	0.00165061	0.0517021	0.205996	0.733509
á	0.0249707	0.00327129	0.0101163	0.000672945	0.0211998	0.0384849	0.167125	0.333134	0.401025
k	0.0120331	0.00244751	0.068005	0.00301336	0.0319111	0.0157058	0.0708432	0.405165	0.390876
u	0.000530232	0.000606977	0.00119983	6.204e-05	0.00113015	0.0011695	0.00805458	0.548221	0.439026
m	0.00359079	0.000296088	0.0001551	7.85186e-05	0.00327197	0.0100631	0.0141126	0.713924	0.254508
b	0.0406501	0.00150724	0.0244876	0.00101673	0.0138261	0.0189748	0.0421168	0.0936839	0.763737
u	0.00758536	0.000675751	0.00290421	0.000149962	0.00511127	0.0288398	0.0364462	0.291487	0.626801
s	0.00388826	0.000440873	0.00286306	0.000236784	0.0137626	0.00359138	0.0536463	0.103371	0.8182
a	0.0101251	0.00217723	0.00478219	0.000234799	0.012282	0.0151657	0.096266	0.0674724	0.791495
</S>	0.00388179	0.000986302	0.0291229	0.000805883	0.0181259	0.00663074	0.0454135	0.0964991	0.798534
