 	cet	homme	est	un	brigand	</S>
m	0.702607	0.288188	0.0057049	0.00316245	0.000218638	0.000118621
o	0.872381	0.0518711	0.044621	0.0155216	0.00206868	0.0135366
r	0.827594	0.0907542	0.0118151	0.00966826	0.0209596	0.0392085
o	0.731326	0.0555402	0.00632539	0.0127555	0.178812	0.0152412
w	0.775076	0.133982	0.0498647	0.0145909	0.00265449	0.023832
ú	0.343978	0.0563099	0.261143	0.100267	0.0201342	0.218169
u	0.118201	0.0403721	0.507538	0.112691	0.0137526	0.207446
a	0.0443373	0.0132352	0.633837	0.236833	0.0217829	0.0499744
d	0.0116597	0.00773548	0.540335	0.317327	0.0906536	0.0322898
i	0.00454366	0.00252681	0.225549	0.289427	0.136955	0.340999
l	0.00290584	0.000552104	0.128934	0.565605	0.101007	0.200996
a	0.00225625	0.00233287	0.160646	0.228489	0.132568	0.473708
p	0.00567959	0.00585921	0.0776196	0.113926	0.541319	0.255596
ó	0.0035696	0.0231993	0.0469602	0.0629548	0.726723	0.136593
s	0.000643559	0.00224049	0.0355164	0.0780952	0.769349	0.114156
á	0.00345441	0.0090784	0.0875663	0.187759	0.553348	0.158793
i	0.00552259	0.00680287	0.0556211	0.108275	0.338623	0.485155
t	0.003119	0.0057569	0.0305001	0.0842018	0.394733	0.481689
u	0.00605168	0.00657134	0.0278482	0.132947	0.624321	0.202261
m	0.00607562	0.00062749	0.0122565	0.0933585	0.422529	0.465153
b	0.0170598	0.00205365	0.0265002	0.164716	0.249172	0.540499
a	0.0222057	0.00409103	0.0193927	0.0769434	0.211295	0.666072
</S>	0.00309504	0.00189179	0.0905278	0.134489	0.0625708	0.707425
