 	la	taille	de	la	guêpe	est	petite	</S>
i	0.555802	0.236584	0.124118	0.0450521	0.024838	0.0104499	0.00248589	0.000670399
l	0.119966	0.735873	0.0405697	0.0432962	0.0396008	0.00465946	0.0112662	0.00476875
έ	0.134117	0.430454	0.0874084	0.111623	0.151119	0.0188312	0.0171064	0.0493415
έ	0.145422	0.448364	0.119132	0.078731	0.0234712	0.0196804	0.0430395	0.12216
l	0.268946	0.138191	0.30769	0.0769255	0.0441363	0.040616	0.00779475	0.1157
í	0.104132	0.0952324	0.138034	0.0648312	0.0318086	0.0461174	0.0317083	0.488136
k	0.286504	0.0856001	0.202937	0.124013	0.107112	0.048957	0.0243739	0.120502
ú	0.0386114	0.0444123	0.0467406	0.110752	0.685199	0.0184618	0.020527	0.0352965
n	0.0094338	0.00874631	0.012425	0.093086	0.863027	0.0054887	0.00529948	0.00249406
d	0.0760416	0.0494066	0.106319	0.348807	0.363345	0.0119141	0.0199878	0.024178
z	0.0593933	0.0345713	0.10407	0.408908	0.306972	0.00648102	0.0157123	0.063893
ε	0.0459515	0.02857	0.0582972	0.182168	0.666337	0.00541911	0.00466954	0.00858811
í	0.0682102	0.0205641	0.155304	0.146071	0.0334059	0.490912	0.0310974	0.0544344
d	0.0265022	0.0143086	0.077116	0.0892862	0.0268516	0.623933	0.0856225	0.0563798
í	0.00798372	0.0012366	0.00951594	0.0232744	0.00277523	0.160194	0.154424	0.640596
i	0.00873001	0.00112231	0.0309435	0.0648015	0.0239096	0.331488	0.235356	0.30365
t	0.00916747	0.00809938	0.0086576	0.0165408	0.0181805	0.0791552	0.503704	0.356495
í	0.00241054	0.00595654	0.00886934	0.0275555	0.0593764	0.103778	0.519244	0.27281
i	0.00131693	0.00148024	0.00616582	0.0179837	0.0721361	0.0833012	0.328326	0.48929
s	0.00283292	0.00163618	0.00823345	0.0230414	0.0240364	0.120833	0.540629	0.278757
í	0.00352706	0.00293255	0.0128697	0.0317818	0.0192197	0.0503367	0.476216	0.403116
</S>	0.00138254	0.000726908	0.00441102	0.00712851	0.00333863	0.0592991	0.261111	0.662603
