 	les	feuilles	bougent	avec	le	vent	</S>
k	0.579802	0.418374	0.000361708	0.000731646	0.000483363	0.000237646	1.01519e-05
á	0.231888	0.747299	0.00221181	0.00847369	0.0081446	0.000991772	0.000990469
s	0.04496	0.921494	0.0121301	0.00734395	0.00382469	0.00165813	0.0085891
i	0.160886	0.744367	0.0777634	0.00871529	0.00303928	0.000436487	0.00479282
y	0.302856	0.353431	0.269319	0.0373451	0.0164487	0.00143572	0.0191647
é	0.133284	0.136308	0.670511	0.025455	0.0131444	0.00772988	0.0135672
e	0.410858	0.0906641	0.344057	0.0646842	0.0340501	0.00404531	0.0516416
t	0.019133	0.0135017	0.27576	0.493259	0.0635495	0.0172478	0.117549
s	0.00411004	0.0130257	0.441954	0.40877	0.0701329	0.0357433	0.0262636
í	0.0155472	0.0106701	0.110115	0.690528	0.130739	0.00982326	0.0325774
n	0.0102897	0.012231	0.139989	0.425266	0.185055	0.0305658	0.196604
á	0.0766728	0.0402204	0.0264399	0.433383	0.208034	0.00974482	0.205505
a	0.0171912	0.00382946	0.00298218	0.310067	0.50491	0.0404818	0.120538
l	0.00196251	0.00237166	0.0102146	0.320352	0.525115	0.0656647	0.0743194
o	0.00330818	0.00308973	0.00490059	0.280804	0.447619	0.0547033	0.205576
p	0.00108646	0.000218973	0.00148852	0.0437157	0.142607	0.709573	0.10131
ε	0.000314303	0.000803733	0.00108143	0.00760089	0.0309816	0.94266	0.0165584
p	8.4707e-05	0.00029535	0.000573984	0.0130914	0.0905262	0.856435	0.0389933
ε	0.00325965	0.00217591	0.000697484	0.0103298	0.060907	0.874817	0.0478127
</S>	0.0013137	0.000452947	0.000141723	0.0198497	0.259145	0.538662	0.180435
