 	les	routes	bifurquent	à	cet	endroit	</S>
k	0.485463	0.399123	0.0931002	0.0125841	0.00437923	0.00345178	0.00189818
ó	0.215531	0.71408	0.0402697	0.00772401	0.00812242	0.0113009	0.00297189
ó	0.0577326	0.492784	0.334871	0.0436557	0.013104	0.00715792	0.0506945
l	0.44885	0.285594	0.220954	0.0238837	0.00947673	0.00392853	0.00731406
á	0.151066	0.0915724	0.469249	0.0532671	0.0199493	0.00575331	0.209142
a	0.553365	0.139053	0.118019	0.0810704	0.0510223	0.00899731	0.0484733
k	0.0105483	0.101105	0.780222	0.0519693	0.025302	0.0122141	0.0186398
a	0.016671	0.162344	0.52292	0.107658	0.0423965	0.0889084	0.0591019
l	0.0179207	0.156528	0.36539	0.20888	0.0956999	0.0500094	0.105571
á	0.0365329	0.0391873	0.28848	0.391799	0.0940358	0.0327684	0.117196
á	0.0231254	0.0218218	0.0776848	0.395461	0.304008	0.107645	0.0702539
m	0.0141469	0.0195968	0.06531	0.343317	0.329957	0.154498	0.0731739
ó	0.0126761	0.00162907	0.00259122	0.153115	0.369264	0.276239	0.184486
e	0.0129838	0.00827404	0.0124526	0.0873771	0.152667	0.668411	0.0578338
b	0.0023025	0.0038444	0.00958818	0.055306	0.139727	0.560739	0.228493
é	0.0219413	0.0374706	0.00796629	0.0510503	0.0628546	0.804855	0.0138623
e	0.00213717	0.00451137	0.00417325	0.0506758	0.0678001	0.477583	0.39312
y	0.00176265	0.00119706	0.00302433	0.0641593	0.118741	0.248511	0.562604
í	0.0135835	0.0127661	0.0322054	0.146069	0.168674	0.208221	0.418481
i	0.00963897	0.0175702	0.0064238	0.0493142	0.0786585	0.42034	0.418054
</S>	0.0133505	0.0126098	0.0199442	0.08505	0.10717	0.362244	0.399631
