 	il	a	le	visage	boursouflé	par	les	coups	</S>
w	0.729695	0.217141	0.0436346	0.0050655	0.00115185	0.00160874	0.00146246	0.000208344	3.29412e-05
a	0.694943	0.239282	0.0280266	0.00691993	0.000598124	0.00390135	0.0157747	0.0105138	3.98114e-05
e	0.147689	0.598579	0.184833	0.0425248	0.0048262	0.0112386	0.00701389	0.00125701	0.00203884
l	0.0246579	0.22174	0.46548	0.0707618	0.0302623	0.0867601	0.0314412	0.0178344	0.0510626
é	0.0201503	0.172067	0.496705	0.079424	0.018934	0.0617572	0.0306182	0.00788721	0.112457
n	0.0328125	0.102202	0.513982	0.173375	0.0234026	0.026791	0.0171845	0.00398975	0.10626
g	0.0703267	0.147629	0.511645	0.252418	0.00609453	0.00632185	0.00242408	0.000312673	0.00282769
é	0.0194327	0.0797725	0.420139	0.454981	0.00726908	0.00691044	0.00299595	0.00112143	0.00737804
é	0.169739	0.209546	0.313558	0.17051	0.0472319	0.0360638	0.0258598	0.00807005	0.0194207
d	0.00423578	0.0771387	0.247719	0.470718	0.166955	0.0246532	0.00440934	0.00131014	0.00285971
í	0.00147401	0.0287589	0.242306	0.595717	0.0814903	0.019512	0.0052156	0.00240853	0.0231183
e	0.00706036	0.024796	0.0982886	0.404294	0.323365	0.0433883	0.0197189	0.00534473	0.0737446
f	0.000291687	0.00427988	0.0199646	0.16873	0.765336	0.0314121	0.00298049	0.00172436	0.00528123
ú	0.000171419	0.00266045	0.0129363	0.0488993	0.822135	0.0923048	0.00421831	0.00636004	0.0103149
ú	4.13448e-05	0.000569938	0.00763818	0.0465916	0.873946	0.0229929	0.00385155	0.00119353	0.0431748
s	0.00107615	0.0022352	0.00559131	0.103473	0.593995	0.130619	0.0457959	0.0081931	0.10902
á	0.00449904	0.0038929	0.00925039	0.0729318	0.413068	0.318258	0.0791602	0.00951507	0.0894244
f	0.00575149	0.00431404	0.0100607	0.0387776	0.223277	0.621987	0.0639069	0.0210486	0.0108768
u	0.000947879	0.00245539	0.0027379	0.00329133	0.414833	0.477522	0.0274324	0.0439764	0.0268037
u	7.35084e-05	0.000363346	0.00189208	0.00585481	0.56723	0.305389	0.0190815	0.0170123	0.0831042
s	0.000498161	0.00127746	0.00291118	0.00632648	0.122988	0.610741	0.175375	0.0219818	0.0579008
a	0.0027995	0.00437761	0.00784364	0.0119869	0.0864166	0.45191	0.231783	0.0282633	0.174619
m	0.000828141	0.00165858	0.00290831	0.00525686	0.0337308	0.520305	0.249515	0.0623826	0.123415
b	0.000686877	0.00240173	0.00323922	0.0126476	0.00383589	0.126144	0.366103	0.0868909	0.39805
é	0.000256891	0.000369854	0.00187248	0.00652438	0.00827471	0.20268	0.244785	0.371686	0.163551
á	0.000495544	0.00165584	0.00202556	0.00762574	0.010101	0.26557	0.353854	0.171347	0.187325
l	0.00234203	0.00482562	0.00602108	0.0175281	0.00765186	0.13298	0.411789	0.201521	0.215342
í	0.00250657	0.00954347	0.00902143	0.0139586	0.00979682	0.0763897	0.130222	0.0813824	0.667179
t	0.00192646	0.00303771	0.00342861	0.00436701	0.00632805	0.0847945	0.314573	0.414768	0.166776
s	0.000782899	0.00422353	0.00459283	0.00201061	0.0383129	0.149571	0.219156	0.475885	0.105465
ω	0.000425652	0.000546038	0.00101054	0.000741247	0.0144529	0.0684197	0.0875436	0.757832	0.0690282
ώ	1.11805e-05	4.77176e-05	0.000227706	0.000513558	0.0169219	0.119542	0.202971	0.483753	0.176012
</S>	0.00035624	0.00057307	0.00122492	0.00347162	0.00396824	0.0285747	0.28144	0.225652	0.454739
