 	il	l'	a	rangé	au-dessous	</S>
w	0.801433	0.171497	0.0195272	0.00594244	0.00155012	5.08807e-05
a	0.678681	0.177229	0.0254443	0.111975	0.00661132	5.91174e-05
á	0.149845	0.678284	0.144909	0.0146816	0.00511912	0.00716189
y	0.0350821	0.575982	0.309685	0.0410243	0.0138268	0.0243996
í	0.010536	0.260654	0.255033	0.253223	0.0599742	0.16058
i	0.0107916	0.0483272	0.207161	0.153205	0.0944362	0.486079
m	0.0202709	0.0619201	0.159336	0.596974	0.135302	0.026197
ú	0.000568609	0.00263385	0.0165166	0.944215	0.00634964	0.0297166
a	0.00128859	0.00524906	0.0571449	0.879798	0.00485064	0.0516684
m	0.00581144	0.024279	0.278682	0.162696	0.336427	0.192104
ó	0.00363732	0.00735159	0.0790807	0.104991	0.251244	0.553695
t	0.00905254	0.0241593	0.10604	0.111667	0.592282	0.156799
s	0.00762937	0.0246515	0.122577	0.0581346	0.495878	0.29113
é	0.00270535	0.00612185	0.0371337	0.0398265	0.617897	0.296315
</S>	0.000496778	0.00132719	0.00632707	0.0072733	0.111376	0.8732
