 	il	se	prosterne	devant	le	chef	</S>
w	0.329955	0.426066	0.190686	0.0270151	0.0174036	0.00822118	0.000652774
a	0.34009	0.443818	0.0469709	0.10352	0.0630147	0.00196016	0.000625933
l	0.263845	0.493061	0.136601	0.0605135	0.0347534	0.000780347	0.0104451
á	0.138724	0.225119	0.0573659	0.0932938	0.066971	0.00311181	0.415414
a	0.195894	0.251767	0.156324	0.17164	0.12235	0.00640397	0.09562
k	0.0286963	0.091285	0.732982	0.0722834	0.0296461	0.0216204	0.0234867
ú	0.0935015	0.0547923	0.557307	0.11273	0.043516	0.0507535	0.0874003
r	0.000861279	0.00425885	0.920554	0.0114201	0.00397036	0.0572844	0.00165064
u	0.0539214	0.0353429	0.731993	0.0780483	0.0453915	0.0278425	0.0274604
m	0.0151522	0.0271353	0.0560685	0.400936	0.44364	0.0295411	0.0275277
á	0.0269903	0.0163888	0.0242137	0.486989	0.351627	0.00837803	0.0854132
o	0.0372214	0.0284313	0.036982	0.186741	0.589356	0.0813801	0.0398877
k	0.000649542	0.000927113	0.00651874	0.00834489	0.0251677	0.943915	0.014477
o	0.000123562	0.00023831	0.0028245	0.00188482	0.00574725	0.981526	0.0076553
n	2.57768e-05	8.9769e-05	0.00283096	0.00191551	0.0032323	0.983821	0.00808454
d	0.000259073	0.00021703	0.0127663	0.00149942	0.00212207	0.935971	0.0471655
z	0.00750528	0.00352856	0.0211626	0.00557566	0.0131222	0.844224	0.104882
i	0.0121927	0.00923016	0.028781	0.0116808	0.0349488	0.798025	0.105142
</S>	0.00977055	0.00652414	0.0105399	0.0140165	0.0616134	0.026469	0.871066
