 	le	sel	se	dissout	dans	l'	eau	</S>
o	0.929785	0.0537696	0.00865414	0.00362233	0.00189219	0.00208403	0.000145824	4.66815e-05
k	0.0482039	0.86617	0.0491961	0.0276222	0.00439843	0.00192106	0.00065474	0.00183363
w	0.00165727	0.991189	0.00212339	0.00148094	0.00227232	0.000479315	9.38298e-05	0.000703474
á	0.0130781	0.895071	0.0655384	0.013756	0.00813897	0.00202539	0.000573128	0.00181895
m	0.255086	0.167089	0.439652	0.042829	0.0285899	0.011685	0.00379725	0.0512721
ó	0.198171	0.0342016	0.483378	0.0500497	0.0550888	0.0281277	0.123098	0.0278857
o	0.39077	0.0221945	0.156247	0.287964	0.0672847	0.0254381	0.0153547	0.034747
s	0.00348402	0.0162797	0.124693	0.43338	0.385786	0.0136569	0.00443023	0.0182899
ε	0.000597201	0.00026833	0.00801728	0.817997	0.155308	0.00364498	0.00106177	0.0131056
n	0.000314178	0.000124348	0.0311745	0.756463	0.167247	0.0132187	0.00150055	0.0299578
y	0.00589967	0.00082731	0.0511935	0.662042	0.195856	0.0673981	0.0102538	0.0065298
έ	0.00422655	0.000677278	0.0388463	0.54315	0.275762	0.0693126	0.021902	0.0461229
έ	0.00292229	0.000112363	0.0284769	0.342099	0.199539	0.3715	0.0492443	0.00610567
s	0.00560078	0.00269271	0.0191556	0.124048	0.258141	0.246284	0.308987	0.0350901
á	0.000846769	5.66901e-05	0.0027992	0.170711	0.256312	0.19974	0.321278	0.0482568
m	0.00185542	0.00026246	0.000580528	0.00911838	0.0233609	0.145807	0.790015	0.0289999
á	6.31275e-05	1.13576e-05	0.000515074	0.00278637	0.00649006	0.0123401	0.920313	0.057481
a	0.00332919	0.000218045	0.00476598	0.00835348	0.0379691	0.12481	0.703468	0.117086
</S>	0.00172804	0.000734043	0.0112359	0.0342614	0.0822105	0.155524	0.240108	0.474198
