 	la	manière	dont	il	m'	a	découragé	je	n'	arrive	même	plus	à	travailler	</S>
e	0.216279	0.656363	0.0386271	0.00677496	0.0104953	0.0163821	0.00591114	0.00431143	0.00537836	0.0068385	0.00623498	0.0128558	0.00319542	0.00241534	0.00793773
k	0.000873939	0.000505519	0.00156034	0.000840942	0.00161893	0.116926	0.862171	0.00137197	0.00137026	0.00125269	0.00295881	0.00334968	0.00255235	0.00255938	8.81513e-05
o	0.00249209	0.00188837	0.000951834	0.00145839	0.00181864	0.0188463	0.950186	0.00235918	0.00303265	0.00269042	0.00488184	0.00370726	0.000526951	0.00449797	0.000662306
b	0.000193699	0.00185233	0.00102442	0.00027257	8.31239e-05	0.0274453	0.954063	0.000726389	0.00173756	0.00184379	0.00339117	0.00418559	0.00233831	0.000582223	0.000260087
h	0.00470844	0.0183615	0.00148901	0.000130427	0.000285137	0.0112854	0.880975	0.0050178	0.00288567	0.00234633	0.00821255	0.0201245	0.013647	0.00702789	0.0235032
í	0.0979279	0.115194	0.0155116	0.00503414	0.0265028	0.0410704	0.401466	0.0257694	0.017306	0.0142149	0.0277629	0.0465654	0.0592598	0.0202426	0.0861726
s	0.025535	0.00799671	0.0213434	0.101912	0.0257093	0.421064	0.0338419	0.0195811	0.045968	0.0252348	0.017697	0.0223501	0.0282122	0.0146283	0.188926
í	0.019876	0.00496479	0.00589901	0.0166865	0.016833	0.349557	0.181787	0.036662	0.0672452	0.068621	0.0413358	0.0296132	0.0371252	0.0207944	0.103001
l	0.306314	0.0265983	0.0384411	0.102617	0.0355558	0.134733	0.0826271	0.0228969	0.0276209	0.0275489	0.0252453	0.0257269	0.0419651	0.0191384	0.0829717
í	0.246643	0.0412455	0.0424336	0.0893152	0.0323814	0.116676	0.0203612	0.0233845	0.0311385	0.0416602	0.0191893	0.0131783	0.0196988	0.0186259	0.244068
y	0.0628333	0.0307842	0.411628	0.212974	0.0525945	0.087093	0.0272681	0.0164546	0.0218538	0.0170703	0.00964517	0.00701715	0.0164675	0.00362468	0.0226912
é	0.165707	0.0303556	0.581937	0.0732208	0.0111869	0.0364994	0.00419017	0.0295963	0.0231606	0.00766344	0.00285094	0.00139151	0.00409651	0.00874086	0.0194032
é	0.309442	0.0268141	0.392455	0.132312	0.0242141	0.0370588	0.0120238	0.0245514	0.0099091	0.00336001	0.00226447	0.0014034	0.00255659	0.00401244	0.0176231
k	0.00942	0.00573436	0.00690111	0.0414186	0.0383411	0.378706	0.389876	0.0166998	0.0160365	0.0328239	0.0172753	0.0113346	0.00661437	0.0121508	0.0166673
ώ	0.000337582	0.000333308	0.000671105	0.00514941	0.00738793	0.16649	0.741738	0.0111485	0.0143554	0.0158952	0.0114412	0.0132591	0.0053445	0.00149809	0.00495072
b	0.000365372	0.000990445	0.00958675	0.00887895	0.00999228	0.0985596	0.789701	0.0268319	0.0102535	0.00716574	0.00681788	0.010388	0.00457636	0.00233879	0.0135532
h	0.00709426	0.00617027	0.0130902	0.025533	0.0239472	0.0615235	0.677538	0.0645026	0.0207069	0.0193919	0.0213283	0.0231293	0.0108207	0.00150305	0.0237207
í	0.0189807	0.0283059	0.0725467	0.0743704	0.0147434	0.016501	0.573232	0.028496	0.0106731	0.00676286	0.00985507	0.0179585	0.0111732	0.00460944	0.111792
s	0.00182805	0.0020853	0.0147376	0.277484	0.336504	0.128402	0.0642103	0.0990414	0.0234166	0.0116291	0.0098851	0.00977118	0.0073417	0.00139084	0.0122724
í	0.0444881	0.0182488	0.0387662	0.155495	0.199362	0.0467173	0.0349448	0.397793	0.0277691	0.00528562	0.00522639	0.00373061	0.0060134	0.00672693	0.00943257
w	0.00234731	0.0011543	0.00665845	0.277894	0.42506	0.0370221	0.0011137	0.174623	0.0464932	0.0131324	0.00480691	0.00199293	0.00323077	0.0016572	0.00281426
a	0.000761601	0.00212197	0.00861461	0.401647	0.379329	0.0365037	0.00216981	0.120949	0.0216786	0.00658009	0.00488149	0.00574763	0.00199055	0.00108429	0.00594052
n	0.000273606	0.000423507	0.00167853	0.128717	0.59079	0.0250568	0.00174685	0.191491	0.0294165	0.00958771	0.00545377	0.00441912	0.00376435	0.00291721	0.00426373
