 	la	brebis	a	mis	bas	un	agnelet	</S>
e	0.889892	0.0522985	0.045043	0.00766588	0.00333098	0.00145812	0.000127162	0.000184141
m	0.0771106	0.918809	0.00249759	0.00103205	0.000381275	6.05749e-05	4.32046e-06	0.000104296
b	0.0268206	0.900843	0.0129122	0.0165791	0.0238342	0.00321302	0.00846606	0.00733223
ω	0.00150947	0.993014	0.000336967	0.00127471	0.00256211	0.000198722	0.000955175	0.000148857
m	0.00925644	0.965675	0.00909331	0.00961735	0.00542566	0.000298476	0.000284585	0.000348815
b	0.288503	0.168911	0.304959	0.0578821	0.072461	0.012377	0.000803684	0.0941027
ω	0.16358	0.743022	0.0353332	0.0169082	0.0289753	0.00203656	0.00466356	0.00548167
é	0.123108	0.0126271	0.829838	0.0180665	0.00827797	0.00504843	0.000789419	0.00224434
m	0.0164898	0.00158133	0.24369	0.537184	0.110102	0.0441936	0.000733736	0.0460253
i	0.0118067	0.00104652	0.113215	0.214986	0.284571	0.296635	0.0297926	0.0479473
b	0.00198496	0.00271659	0.0116417	0.706587	0.202423	0.0580641	0.00614685	0.0104361
ó	0.00042384	0.00253083	0.00387928	0.479109	0.465334	0.0247104	0.0157082	0.008304
r	0.000708366	0.00140742	0.00818096	0.646639	0.307033	0.0201585	0.00100647	0.0148664
á	0.0161941	0.00405793	0.00985737	0.288589	0.418057	0.0504192	0.00287525	0.20995
m	0.00362681	0.000657479	0.0183117	0.0615857	0.143654	0.498086	0.233823	0.0402554
w	0.00534801	0.00711061	0.00483552	0.0127608	0.242407	0.146767	0.500741	0.0800293
á	0.000101092	0.000408489	4.74336e-05	0.000489952	0.0178629	0.00300664	0.977319	0.000764884
n	0.000404282	0.000165826	5.9463e-05	0.000272799	0.0021047	0.00382738	0.98957	0.00359525
a	0.000935093	0.000900866	0.0013618	0.00307159	0.0115401	0.0259506	0.935552	0.0206881
</S>	0.0102951	0.00322347	0.0269751	0.039173	0.0819912	0.201204	0.0407377	0.5964
