 	celle	qui	l'	embrasse	c'	est	sa	femme	</S>
o	0.682077	0.0825243	0.0907663	0.0107227	0.020213	0.0378618	0.0671888	0.00101328	0.00763305
m	0.0130801	0.134171	0.245838	0.540145	0.0245322	0.0224602	0.0025404	0.00595583	0.0112778
u	0.0062619	0.0857833	0.0747481	0.788939	0.0127928	0.00381446	0.00131257	0.0223003	0.00404775
u	0.00101441	0.0479905	0.305514	0.572419	0.0146999	0.017903	0.00105765	0.00100648	0.0383954
m	0.00386643	0.172258	0.481812	0.0770517	0.0308652	0.0254988	0.0027624	0.0016982	0.204187
u	0.0116136	0.134492	0.351091	0.275172	0.138165	0.0178852	0.00929485	0.040065	0.0222208
w	0.00790972	0.129318	0.319782	0.166737	0.246465	0.0399847	0.005662	0.0329919	0.0511493
a	0.044672	0.0827203	0.278741	0.0386002	0.268945	0.0757214	0.056029	0.00993579	0.144636
m	0.0336278	0.0282076	0.0690175	0.125787	0.374073	0.0749393	0.101349	0.0571895	0.135809
b	0.0170212	0.0242548	0.0779324	0.0867961	0.362506	0.0565068	0.0907196	0.226733	0.05753
í	0.00131433	0.034578	0.10575	0.038554	0.203557	0.142745	0.08345	0.335381	0.0546699
m	0.0119784	0.0156928	0.0508048	0.0117438	0.105801	0.142759	0.205913	0.33299	0.122318
w	0.000570106	0.00376745	0.00833136	0.00754346	0.0441892	0.0383644	0.0847965	0.762953	0.0494849
á	0.00052351	0.000992181	0.00160405	0.00447904	0.0171272	0.0229943	0.0081612	0.920012	0.0241065
s	0.00254044	0.00570111	0.00554692	0.000392338	0.00725119	0.0153182	0.51978	0.426703	0.0167668
í	0.0042551	0.00925987	0.0144714	0.00630125	0.116874	0.173822	0.220942	0.198672	0.255402
</S>	0.002816	0.00755333	0.0204225	0.00922369	0.0574583	0.163808	0.451561	0.0260829	0.261074
