 	il	avait	fermé	sa	maison	avant	de	voyager	</S>
w	0.767711	0.184201	0.0185776	0.011219	0.0132745	0.000534488	0.00293564	0.00137814	0.000168102
a	0.686063	0.236705	0.0288583	0.0388612	0.000787959	0.000972272	0.0046601	0.00305176	3.97191e-05
á	0.284993	0.64574	0.0191219	0.0397566	0.0038845	0.000750864	0.00523239	0.000114751	0.000405928
b	0.0369991	0.321817	0.304303	0.0205981	0.0647058	0.116212	0.0763831	0.0119534	0.0470299
h	0.00956702	0.051378	0.845179	0.0275799	0.00716437	0.0378016	0.00850178	0.0025703	0.0102586
á	0.00281118	0.0239498	0.934334	0.00723299	0.00417819	0.0216335	0.00191008	0.000997695	0.00295295
r	0.00205263	0.0532791	0.772785	0.0206637	0.0403381	0.0606071	0.00761872	0.0121727	0.0304833
á	0.0961334	0.219414	0.254942	0.191362	0.219764	0.00445824	0.00455563	0.000279196	0.00909173
á	0.0229846	0.0726401	0.137253	0.272076	0.440332	0.0317711	0.00613891	0.00927069	0.00753384
n	0.00741836	0.0250359	0.0748818	0.103737	0.737213	0.0372185	0.0100058	0.00134511	0.0031445
d	0.00269908	0.00843795	0.00901243	0.0365308	0.935491	0.00226911	0.00180413	0.000344241	0.00341083
é	0.000481529	0.00215405	0.00185311	0.0213548	0.963356	0.00374434	0.000860666	0.000237731	0.0059575
e	0.0169238	0.0884286	0.0303486	0.067739	0.542902	0.114595	0.024636	0.00750173	0.106926
o	0.00440555	0.0214627	0.0640571	0.153829	0.127268	0.335775	0.209797	0.0164604	0.0669453
b	0.000450971	0.0044376	0.00746008	0.0113191	0.00928622	0.766422	0.151644	0.0418484	0.00713127
o	7.99562e-05	0.00289803	0.0364386	0.00279302	0.000388963	0.827435	0.0561128	0.0641942	0.00965975
s	5.51244e-05	0.00119806	0.0231569	0.00494731	0.00307335	0.842706	0.0440853	0.0593688	0.0214089
ó	0.0007279	0.00333012	0.0112209	0.0272084	0.0100335	0.679148	0.108732	0.0856853	0.073914
b	0.00300176	0.00413536	0.0216009	0.0979446	0.00854412	0.116489	0.432019	0.0828845	0.233381
í	0.00688225	0.00888327	0.0815391	0.0607402	0.00437916	0.07002	0.192553	0.351167	0.223837
b	0.00802839	0.00762207	0.0281043	0.145755	0.00439165	0.0264774	0.190118	0.370709	0.218793
h	0.00103036	0.00149806	0.01336	0.0059461	0.000324665	0.0193179	0.0433335	0.902122	0.0130676
é	8.05779e-05	0.000239285	0.00517543	0.000945859	0.000202815	0.0165566	0.0116479	0.954494	0.0106576
m	5.43703e-05	0.000174682	0.00236367	0.00208091	0.000257836	0.0228195	0.0818514	0.779469	0.110928
b	0.0241719	0.0101539	0.00968456	0.0391544	0.000841721	0.0217615	0.21298	0.399248	0.282004
a	0.0380586	0.0236511	0.0330319	0.0431716	0.0114567	0.0296409	0.110416	0.302859	0.407714
</S>	0.00477339	0.00761655	0.00881734	0.0336722	0.00497869	0.00888433	0.32397	0.0408037	0.566483
