 	cette	manière	d'	aiguiser	les	couteaux	est	nouvelle	</S>
e	0.482703	0.297036	0.138573	0.0338368	0.0429765	0.00355232	0.000925159	0.000196211	0.000201442
m	0.0180002	0.197124	0.0267682	0.602638	0.0185942	0.0250983	0.0899119	0.020494	0.00137095
y	0.208648	0.239243	0.044953	0.444377	0.0281068	0.0238068	0.00582545	0.000622459	0.00441772
ώ	0.123072	0.299249	0.0257123	0.525441	0.00350635	0.00423787	0.00841654	0.00560481	0.00476047
n	0.15504	0.248108	0.0178869	0.358521	0.00745537	0.0106229	0.127455	0.00910269	0.0658081
g	0.433163	0.214572	0.0414773	0.0837865	0.0306687	0.0016447	0.0238848	0.0377665	0.133037
í	0.149642	0.219724	0.0462199	0.107201	0.0324397	0.000937597	0.0350748	0.0482879	0.360473
l	0.0503677	0.0267436	0.10679	0.164045	0.141654	0.0282183	0.252891	0.00982328	0.219467
í	0.0877082	0.0326714	0.0489962	0.0334481	0.0357359	0.0249065	0.172293	0.0106335	0.553607
y	0.0289115	0.0866596	0.319868	0.19739	0.11152	0.0511621	0.0532405	0.0123991	0.138849
á	0.127133	0.0916699	0.216247	0.233142	0.0349759	0.0136998	0.0457892	0.0331092	0.204234
a	0.0996532	0.0386336	0.182002	0.308804	0.0816264	0.0541135	0.030844	0.099087	0.105237
b	0.00554884	0.0114876	0.0290602	0.210521	0.0333225	0.552571	0.096995	0.0153977	0.045096
á	0.00141247	0.0156477	0.0147105	0.158157	0.0796114	0.665302	0.0549874	0.00290099	0.0072706
á	0.000987302	0.00469959	0.0541507	0.231384	0.140686	0.357632	0.11244	0.0122499	0.0857704
y	0.0216455	0.0203197	0.141471	0.126945	0.241347	0.113873	0.221773	0.0116486	0.100978
é	0.111776	0.0512946	0.107207	0.187651	0.0691042	0.101639	0.177157	0.0713627	0.122807
y	0.0803047	0.0240295	0.157854	0.143763	0.219922	0.0179696	0.110498	0.123228	0.12243
á	0.181568	0.0399076	0.0738372	0.243466	0.050842	0.0244113	0.0749076	0.270717	0.0403429
p	0.207012	0.0126863	0.0544984	0.084083	0.201717	0.00416761	0.054428	0.281789	0.0996186
á	0.00443279	0.0083883	0.0144436	0.0502162	0.0702953	0.564972	0.101662	0.161305	0.0242845
r	0.00399437	0.00256756	0.0157094	0.0315588	0.0857809	0.2584	0.202305	0.238651	0.161033
á	0.0184382	0.0139599	0.0228151	0.0853814	0.101263	0.0344505	0.168767	0.375014	0.179912
a	0.00313058	0.00360141	0.0217476	0.0191096	0.0643218	0.0145677	0.473886	0.118199	0.281437
d	0.0116411	0.012346	0.0211763	0.0489571	0.0118876	0.00805759	0.557599	0.227291	0.101045
í	0.0222417	0.00720735	0.0124573	0.0163661	0.00545611	0.000556268	0.427171	0.105457	0.403087
</S>	0.02202	0.00359873	0.0141704	0.00989397	0.0508425	0.000669956	0.28773	0.249714	0.36136
