 	les	mauvaises	herbes	ont	beaucoup	poussé	dans	la	parcelle	</S>
m	0.368267	0.391229	0.198638	0.0270491	0.00264158	0.00101805	0.00694532	0.00326942	0.000662671	0.000279609
v	0.0834504	0.63058	0.0784745	0.0930227	0.0179698	0.0107164	0.0211577	0.014875	0.00280352	0.0469502
u	0.0401292	0.765808	0.152447	0.0217363	0.00344584	0.003316	0.00858597	0.00170907	0.00203714	0.00078636
m	0.0314754	0.533743	0.381625	0.014017	0.00303722	0.00169805	0.00195681	0.00227416	0.0228687	0.0073041
b	0.160399	0.457296	0.329635	0.034079	0.0105956	0.00233244	0.00157749	0.00091808	0.000439944	0.00272714
v	0.0922659	0.291554	0.527969	0.0212496	0.00976883	0.0113006	0.004753	0.00385468	0.0109948	0.0262891
ú	0.211439	0.373272	0.313014	0.016757	0.0258002	0.00451595	0.00416658	0.00460563	0.0154618	0.0309679
é	0.0717852	0.0391697	0.401408	0.241338	0.190724	0.0135183	0.0183992	0.00957768	0.00324309	0.0108368
m	0.138698	0.0106552	0.0876751	0.287748	0.295812	0.096779	0.040252	0.0137105	0.00281541	0.0258548
i	0.0246679	0.00883746	0.031877	0.189425	0.26323	0.20415	0.146373	0.0613973	0.00374235	0.0663
f	0.00189141	0.00386446	0.00761689	0.0214628	0.0341725	0.796597	0.104129	0.0137249	0.0045656	0.0119756
u	0.000314326	0.00179564	0.00618946	0.0106756	0.0225194	0.869026	0.060472	0.0114959	0.00380335	0.0137082
á	0.00179712	0.00163761	0.0261769	0.0443081	0.162819	0.48038	0.171337	0.0437528	0.021096	0.0466959
s	0.00568549	0.00171591	0.00537829	0.0536425	0.303338	0.0512731	0.32987	0.188338	0.0349872	0.0257715
é	0.00143126	0.00162668	0.00421698	0.0181403	0.076548	0.0428818	0.264052	0.215116	0.237173	0.138814
f	0.0032901	0.00183031	0.00828673	0.0204637	0.0446055	0.0126855	0.0896771	0.177315	0.555296	0.0865504
u	0.00201523	0.00594677	0.0254229	0.0103587	0.00751803	0.0268342	0.0851235	0.200028	0.525349	0.111404
n	0.000229426	0.00140293	0.00743165	0.00258277	0.00443455	0.0503222	0.151302	0.141669	0.370702	0.269924
d	0.000703324	0.00256059	0.00851437	0.00264651	0.0371983	0.0372769	0.157447	0.179707	0.523612	0.0503344
u	0.00163124	0.00147289	0.00734981	0.00310495	0.0244149	0.0140857	0.103057	0.152205	0.576407	0.116271
</S>	0.00651269	0.00319933	0.00415241	0.00364364	0.0419292	0.00755514	0.109601	0.269056	0.238698	0.315652
