 	ils	s'	arrêtèrent	en	bordure	du	village	</S>
b	0.96134	0.0174586	0.00698555	0.00423082	0.00130714	0.00812646	0.000424229	0.000127413
á	0.969636	0.0102407	0.00666948	0.00990016	0.000202879	0.00326444	3.31312e-05	5.3657e-05
a	0.972315	0.0122826	0.0134958	0.00114503	8.27174e-05	0.000368516	0.00010184	0.000208177
b	0.391031	0.462734	0.118966	0.0103557	0.00376442	0.0026457	6.93469e-05	0.0104333
á	0.461987	0.371252	0.0923103	0.0409243	0.00425955	0.0132463	1.31226e-05	0.0160071
a	0.396232	0.215393	0.195799	0.105215	0.0212537	0.0214313	0.00120875	0.0434676
s	0.00853235	0.28771	0.486149	0.14689	0.055359	0.00469357	0.000383046	0.0102839
ú	0.000400097	0.0498826	0.925005	0.0216627	0.0016425	7.15683e-05	1.90017e-05	0.00131662
á	0.0426802	0.340355	0.448509	0.136718	0.0175901	0.00167266	0.000562844	0.0119125
m	0.00710055	0.0682584	0.0847982	0.277292	0.139569	0.324291	0.0623071	0.0363849
ó	0.00294212	0.0492368	0.0601126	0.420493	0.0750337	0.162037	0.0454071	0.184737
p	0.00115313	0.00564988	0.00519408	0.157799	0.32928	0.0458778	0.431969	0.0230762
ε	0.000184084	0.00044931	0.000397788	0.0308708	0.85663	0.00643773	0.0920696	0.0129603
l	9.51061e-05	0.000392728	0.00220512	0.0468524	0.854145	0.0168136	0.0571408	0.0223551
έ	0.000673507	0.00332678	0.00237551	0.0460098	0.626414	0.132682	0.045413	0.143105
m	6.38304e-05	0.00189177	0.000794547	0.0388271	0.129387	0.56168	0.0347898	0.232566
á	0.00174613	0.0110247	0.0100047	0.0688225	0.0772411	0.332583	0.199783	0.298795
p	0.00321349	0.00271233	0.00332753	0.0231867	0.0287942	0.0305618	0.870025	0.0381784
o	0.000349593	0.000185553	0.000223873	0.00152182	0.0619244	0.00173853	0.926065	0.00799129
o	0.000418808	0.000141355	0.000504958	0.00519268	0.0802976	0.00657235	0.876636	0.0302359
</S>	0.00175901	0.013902	0.00947606	0.0444699	0.0190333	0.104897	0.0421573	0.764306
