 	cette	jeune	fille	a	perdu	la	raison	depuis	qu'	on	lui	a	jeté	un	mauvais	sort	</S>
e	0.404175	0.498743	0.0416073	0.00679693	0.00566227	0.00721588	0.00583732	0.0129178	0.00423042	0.00618536	0.00137227	0.000651008	0.00235357	0.000439869	0.00153512	6.36632e-05	0.000213271
p	0.444372	0.474466	0.0372251	0.00312789	0.00798727	0.00621773	0.00175955	0.00134204	0.00223824	0.00247813	0.00175964	0.00477569	0.00254079	0.00267255	0.000744076	0.00320032	0.0030928
f	0.269044	0.164644	0.218816	0.0176104	0.03187	0.0240851	0.0296997	0.0397263	0.0479832	0.0343273	0.0237998	0.0261393	0.018753	0.0185844	0.00369466	0.0141157	0.0171066
u	0.584209	0.116709	0.0584798	0.0126607	0.0709831	0.0328132	0.00353976	0.0176831	0.018625	0.0179915	0.0154059	0.0131898	0.0119982	0.0094753	0.00262502	0.0110184	0.00259257
a	0.561597	0.156151	0.130844	0.0114178	0.00971442	0.0119499	0.00359181	0.00792581	0.0117768	0.00941262	0.0114964	0.0098838	0.0110477	0.0104203	0.00968308	0.0172097	0.0158777
y	0.416074	0.117537	0.122607	0.0635926	0.0196176	0.0223717	0.0129265	0.0337453	0.0274911	0.0265964	0.0234363	0.0208289	0.0160794	0.019841	0.0174163	0.00341854	0.0364193
ó	0.24976	0.0457764	0.146023	0.0922955	0.0322113	0.0363843	0.00963103	0.0458904	0.0860382	0.0331761	0.0727627	0.0257672	0.00469418	0.0196359	0.015972	0.0272665	0.0567155
y	0.342917	0.0628088	0.226679	0.0951643	0.0202492	0.024933	0.0108264	0.0320526	0.0277917	0.0209956	0.0314208	0.0127418	0.00649124	0.0118806	0.0114041	0.0104744	0.0511691
ú	0.498581	0.0500784	0.351967	0.0393331	0.00912511	0.009082	0.00080969	0.00272127	0.00662302	0.00227853	0.00505776	0.00124672	0.000117713	0.001231	0.000655025	0.0184508	0.00264186
r	0.603141	0.0477318	0.0858146	0.093625	0.025573	0.0267673	0.00327285	0.019349	0.0229512	0.0121546	0.0102969	0.00404097	0.000766478	0.00400496	0.00431563	0.0208772	0.0153171
u	0.52606	0.0632347	0.184147	0.0707477	0.0285539	0.0380099	0.00180272	0.00706043	0.0190942	0.0080314	0.00929455	0.00407222	0.000576962	0.0037872	0.00220891	0.0210288	0.0122897
y	0.0640278	0.0139947	0.0703453	0.539165	0.0372491	0.0340099	0.040787	0.0304837	0.0254116	0.0232184	0.0234363	0.017829	0.0108496	0.0159293	0.0308901	0.00420236	0.0181712
