 	l'	arrière	de	la	pirogue	s'	enfonce	</S>
n	0.750206	0.181843	0.0414023	0.00475122	0.0165371	0.00378984	0.00129404	0.000176511
g	0.0629463	0.934526	0.00208098	9.37956e-05	3.15689e-05	0.000278838	2.93262e-05	1.30519e-05
ω	0.0111243	0.984905	0.00279908	0.000419174	0.000415553	0.000147446	0.000155253	3.38504e-05
n	0.00311083	0.991746	0.00214268	0.000378784	0.000772675	0.000322011	0.000540228	0.000986715
g	0.0899588	0.550105	0.137871	0.0260025	0.00128812	0.0119778	0.0057444	0.177053
ω	0.195143	0.747718	0.0439178	0.00388309	0.00154885	0.00184655	0.00292316	0.00301978
y	0.0654611	0.0484283	0.793719	0.0541669	0.00381031	0.0243138	0.00125674	0.0088441
á	0.713957	0.0714517	0.119194	0.0323461	0.00288201	0.043802	0.00118898	0.0151775
b	0.25947	0.020827	0.247102	0.297739	0.0447971	0.0945707	0.0128139	0.0226803
v	0.0969375	0.00915442	0.0703193	0.139896	0.609523	0.0128805	0.0548091	0.00648007
á	0.000383055	3.37304e-05	0.00220053	0.0202766	0.975431	0.000150409	0.00109744	0.000426905
r	0.00408361	0.00227362	0.120461	0.316502	0.510431	0.010037	0.0295598	0.0066513
e	0.0577033	0.0254044	0.226168	0.196758	0.30096	0.0201007	0.0310108	0.141895
y	0.019422	0.00264623	0.339262	0.346806	0.0249896	0.231552	0.00860386	0.0267185
é	0.179248	0.0439004	0.268014	0.184933	0.0181586	0.224266	0.0126289	0.0688514
e	0.0423398	0.00219137	0.0993583	0.146877	0.0481691	0.50393	0.0706284	0.086506
l	0.0029389	0.00130547	0.0190268	0.215025	0.0517018	0.24897	0.335723	0.125309
i	0.000445757	0.000181887	0.00752181	0.420762	0.12678	0.0603929	0.34291	0.0410056
n	0.000125992	0.000190655	0.00660175	0.38354	0.0477132	0.0268408	0.418764	0.116224
d	0.00211977	0.00198796	0.0326278	0.144756	0.0617583	0.114609	0.423721	0.21842
a	0.00217301	0.003018	0.0304246	0.07749	0.0183128	0.0325953	0.503383	0.332603
</S>	0.00374693	0.000753102	0.0168805	0.0357028	0.00467315	0.212582	0.174766	0.550895
