 	le	boy	prépare	le	repas	</S>
m	0.595698	0.402855	7.26903e-05	0.00103514	0.0002369	0.000101548
w	0.487975	0.348383	0.00435281	0.0597382	0.00513269	0.094419
á	0.529919	0.437423	0.0171369	0.00448912	0.00737548	0.00365628
n	0.63571	0.315354	0.00403138	0.00824897	0.0145591	0.0220963
a	0.276689	0.163091	0.12365	0.0177763	0.00533164	0.413463
i	0.680661	0.280675	0.0167553	0.0143203	0.0020841	0.0055043
s	0.328223	0.271833	0.212825	0.0388247	0.0120911	0.136203
á	0.0653088	0.0714486	0.837421	0.00417061	0.000198564	0.0214522
l	0.0565008	0.0358962	0.824929	0.00602444	0.00188419	0.074765
a	0.521621	0.218275	0.0496126	0.0674484	0.0231219	0.119922
b	0.167394	0.368116	0.101698	0.295815	0.0145883	0.0523887
ó	0.19019	0.496217	0.0197292	0.0586593	0.223334	0.0118696
l	0.135574	0.356915	0.0791829	0.288235	0.087037	0.0530549
á	0.0341048	0.0452222	0.246953	0.0866799	0.0196643	0.567376
a	0.0621052	0.0511291	0.129333	0.479674	0.131326	0.146433
l	0.00688889	0.00323283	0.933381	0.027486	0.00290161	0.0261099
á	0.00220853	0.00234889	0.967226	0.0100525	0.00225791	0.0159058
m	0.0404174	0.0188028	0.793635	0.0654393	0.0207535	0.0609523
b	0.108664	0.0434098	0.126784	0.135344	0.310425	0.275373
á	0.0139214	0.0151739	0.0166642	0.0788739	0.141418	0.733948
b	0.00516415	0.00652386	0.00292297	0.28005	0.612579	0.0927605
e	0.00119272	0.00532338	0.000952924	0.010075	0.977963	0.00449306
a	0.000928724	0.00202804	0.00498372	0.035941	0.825882	0.130236
</S>	0.0036724	0.00324657	0.00409265	0.145113	0.33181	0.512065
