 	j'	ai	compris	tout	ce	que	tu	as	dit	</S>
n	0.949745	0.0247894	0.00698806	0.00741871	0.00422493	0.00281427	0.00231525	0.000896715	0.000766261	4.14112e-05
g	0.891097	0.0911232	0.000570542	0.0010353	0.00117284	0.00175208	0.00464833	0.00801827	0.000468357	0.000114027
á	0.640068	0.326067	0.000481358	0.000764399	0.000985002	0.0020146	0.011374	0.0158597	0.00201175	0.000374104
í	0.0958708	0.413676	0.00576253	0.00815559	0.00568605	0.013532	0.0320205	0.126873	0.0702022	0.228222
k	0.0221189	0.713993	0.19271	0.00766275	0.0037903	0.00353031	0.00429045	0.0170275	0.00938136	0.0254953
o	0.000546664	0.0259102	0.894515	0.0193405	0.00981377	0.00612314	0.00398457	0.00464023	0.0192224	0.0159037
b	0.000560478	0.0369413	0.928317	0.00713378	0.00303269	0.00173895	0.00112841	0.000829828	0.00776027	0.0125578
h	0.00109874	0.0209631	0.681224	0.191125	0.032251	0.0172314	0.00927652	0.00573196	0.00527189	0.0358267
i	0.000592896	0.0040205	0.661064	0.139196	0.0814524	0.0438835	0.00967267	0.00827284	0.00737702	0.0444676
p	0.00436744	0.0390909	0.0787421	0.61357	0.132987	0.0616469	0.0196141	0.0175507	0.00701441	0.025417
ώ	0.000968056	0.000901202	0.158203	0.659845	0.0774828	0.0300912	0.0168	0.00302725	0.0189308	0.0337508
ω	0.0022219	0.00342565	0.125348	0.465532	0.067881	0.0711854	0.0786722	0.0201474	0.0399088	0.125678
é	0.000162543	0.00864541	0.104518	0.487838	0.274391	0.0846965	0.0136169	0.00678572	0.00461743	0.0147278
t	0.000440677	0.00644432	0.0594699	0.218683	0.42678	0.167067	0.0273425	0.0157557	0.0191006	0.0589168
s	3.92653e-05	0.00184832	0.160225	0.269806	0.178861	0.0969983	0.0499908	0.0104423	0.118987	0.112801
ω	2.90816e-05	0.000827849	0.243301	0.289695	0.227966	0.103391	0.0333471	0.00706543	0.0384524	0.0559244
y	2.96586e-05	0.0011198	0.0315016	0.200093	0.274369	0.298514	0.0893648	0.0184205	0.0335835	0.0530045
é	0.00104347	0.00232761	0.00768458	0.184732	0.214152	0.202014	0.156094	0.0318902	0.0890952	0.110966
é	0.00037372	0.000841924	0.00230723	0.0608025	0.22651	0.31402	0.182817	0.0549524	0.0902174	0.0671576
t	0.000339411	0.0101843	0.0116449	0.0410882	0.106744	0.115212	0.110182	0.1387	0.295507	0.170399
i	1.56128e-05	0.000839597	0.0157945	0.0530653	0.0902969	0.069056	0.0488947	0.0233086	0.483954	0.214775
í	1.49162e-05	0.000768951	0.0145411	0.061032	0.1077	0.102588	0.0722922	0.0349877	0.251445	0.35463
n	0.00196415	0.00350641	0.00155306	0.0114107	0.033578	0.0787297	0.132398	0.42573	0.117096	0.194034
ω	0.00250706	0.00429788	0.00019937	0.00218915	0.0251613	0.0862518	0.251313	0.36825	0.104031	0.155799
</S>	0.00091949	0.000683305	8.92303e-05	0.00414048	0.0158939	0.0642394	0.202334	0.166849	0.109101	0.435751
